BB,HR,Player
14,0,M Yepez
6,1,B Klafczynski
26,1,J Comerota
0,1,J Guevara
30,5,J Simon
28,6,M Murray
45,8,M Littlewood
38,8,L Orr
15,1,Y Cabezas
14,0,J Shepherd
2,0,T Garcia
21,0,J Miller
5,0,M Jensen
2,0,A Hedges
4,0,Y Aponte
11,4,T Bream
5,1,C Moore
10,6,R Cuneo
20,12,S McQuail
9,1,N Melendres
10,0,J Minyety
18,5,K Patterson
1,0,J Swift
22,0,W Moss
10,4,R Sierra
1,1,R Rua
18,4,R Morla
6,1,J Ballard
50,2,J Peterson
27,11,J Hilt
0,0,N Urbanus
10,2,E Garcia
0,0,D Fitzgerald
25,0,D Tate
24,2,L Reyes
11,0,S Rodriguez
9,0,B McDade
8,2,O Zapata
10,5,L Ochoa
21,7,T Massey
40,1,H Onaka
1,0,K Quackenbush
1,0,M Johnson
9,4,G Maines
4,3,J Crousset
29,0,W Darvill
13,2,D Hernandez
5,0,J Izturis
13,2,R Odor
14,5,G Buechele
0,0,J Pozo
29,0,S Payne
7,0,M Bourgeois
23,9,J Wood
3,0,A Aguilera
10,1,K Jenkins
1,0,M Mercedes
0,0,C Romero
7,1,M Stokes
3,0,C Tyrell
27,1,G Pimentel
14,6,B Krill
13,2,Z Jones
2,0,V Bieneme
