USG%,STL%,Date,Opp,GS
16.1,3.7,2006-12-05,PHO,1
22.0,0.0,2006-12-15,UTA,0
16.4,2.1,2006-11-16,GSW,0
13.8,0.0,2006-11-15,MEM,0
0.0,0.0,2006-11-03,CHI,0
31.0,0.0,2007-04-03,DAL,0
16.5,7.4,2007-02-28,CHA,0
12.9,0.0,2007-04-10,MEM,0
29.5,2.0,2007-02-23,NJN,0
24.3,15.3,2007-02-10,SEA,0
13.7,3.1,2007-03-19,ATL,0
15.5,17.5,2007-04-01,LAL,0
19.4,3.5,2007-04-06,UTA,0
30.5,0.0,2006-12-18,DAL,0
9.3,0.0,2006-11-19,SAS,0
27.4,0.0,2007-03-21,MIN,0
17.1,2.0,2006-11-22,UTA,0
22.1,0.0,2007-04-13,GSW,0
30.5,11.6,2007-02-14,NOK,0
15.9,0.0,2006-11-08,DET,0
10.5,11.0,2007-03-02,LAL,0
0.0,0.0,2006-12-21,WAS,0
19.8,0.0,2006-12-30,GSW,0
89.5,0.0,2007-01-17,TOR,0
16.2,0.0,2007-03-08,SAS,0
