Date,Opponent,Score,g,a,pts,fpg-fps,gb,dc,to,ct,sh,sh%,sog,sog%
Feb 23,at Wesley,"L, 16-2",-,-,-,-,-,-,-,-,-,-,-,-
Mar 12,Mount St. Vincent,"L, 14-4",1,0,1,0-0,2,0,7,3,1,100.0,1,100.0
Mar 14,at SUNY Maritime,"L, 23-8",0,0,0,0-0,0,0,0,0,0,-,0,-
Mar 16,at Muhlenberg,"L, 14-0",0,0,0,0-0,0,0,0,0,0,-,0,-
Mar 19,at Old Westbury,"L, 18-7",0,0,0,0-0,0,1,2,0,1,0.0,0,0.0
Mar 23,St. Elizabeth,"L, 21-8",0,0,0,0-0,0,0,0,0,0,-,0,-
Apr 13,at FDU-Florham,"L, 16-2",-,-,-,-,-,-,-,-,-,-,-,-
Apr 15,Farmingdale State,"L, 16-2",-,-,-,-,-,-,-,-,-,-,-,-
Apr 17,at Drew,"L, 15-3",-,-,-,-,-,-,-,-,-,-,-,-
Apr 21,at Mount St. Vincent,"L, 19-3",-,-,-,-,-,-,-,-,-,-,-,-
Apr 27,at St. Joseph (CT),"L, 21-10",-,-,-,-,-,-,-,-,-,-,-,-
