SO,R,AVG,3B
43,32,.211,0
13,11,.301,0
1,1,.474,0
18,15,.224,2
39,22,.235,0
43,32,.283,1
26,14,.247,0
54,18,.300,1
32,25,.254,1
44,34,.301,4
15,17,.201,0
15,20,.384,0
10,7,.128,0
22,15,.272,1
24,9,.239,0
38,28,.248,1
58,30,.277,1
32,13,.243,2
32,19,.221,0
3,2,.214,0
41,31,.261,4
27,5,.185,0
4,2,.333,0
47,32,.292,1
44,24,.263,2
83,31,.219,3
48,19,.218,0
88,45,.219,2
16,13,.195,0
27,31,.285,6
22,7,.302,1
14,11,.192,2
49,42,.294,7
56,25,.256,0
51,20,.250,0
33,37,.332,2
46,18,.163,0
19,6,.228,0
84,30,.200,0
39,45,.272,2
43,20,.285,0
21,6,.221,1
16,2,.136,0
40,31,.273,2
31,19,.259,1
49,17,.185,2
8,2,.000,0
44,37,.291,5
32,37,.306,3
35,25,.230,0
15,15,.347,3
75,37,.270,5
16,7,.233,1
20,11,.211,0
6,2,.192,0
2,0,.167,0
23,17,.184,2
25,7,.206,0
77,33,.260,1
3,2,.235,0
44,38,.304,2
37,20,.271,2
0,1,.364,0
28,20,.276,1
17,8,.170,0
68,36,.242,5
2,1,.000,0
21,11,.246,1
15,21,.267,1
53,48,.243,5
32,24,.283,4
16,5,.172,0
23,8,.229,1
19,33,.258,2
57,37,.201,2
7,3,.370,0
52,24,.235,1
8,3,.182,1
21,15,.222,0
0,0,.000,0
32,17,.242,0
56,29,.269,2
37,29,.326,0
34,25,.259,0
46,32,.239,5
77,32,.243,1
58,15,.226,0
25,5,.156,1
15,8,.175,0
13,13,.347,0
51,24,.201,3
46,49,.276,3
10,5,.200,0
14,10,.179,0
