SO,AVG,AB,OBP,G,2B,Player,CS
24,0.238,105,0.336,29,5,J Henry,1
49,0.27,204,0.355,53,13,J Whitaker,3
16,0.122,41,0.28,14,1,K Von Tungeln,1
96,0.286,493,0.356,122,19,T Jankowski,14
83,0.265,359,0.349,96,14,D Kandilas,5
32,0.194,144,0.295,51,6,T Hairgrove,0
134,0.251,407,0.323,111,15,J Duran,6
77,0.251,251,0.319,63,20,Y Rodriguez,3
82,0.287,258,0.337,68,13,J Garcia,3
11,0.188,32,0.316,17,0,C Ellison,1
121,0.258,504,0.304,129,32,K Waldrop,8
116,0.275,396,0.381,115,32,C Epps,8
12,0.211,57,0.297,16,2,R Richardson,1
85,0.258,283,0.358,80,16,J Blash,8
93,0.3,476,0.368,128,21,T Belza,7
45,0.326,298,0.384,75,18,P Tucker,0
65,0.238,189,0.279,52,7,J Crousset,2
140,0.296,477,0.36,125,29,S Schebler,5
28,0.346,208,0.37,51,15,D Peralta,0
88,0.337,407,0.403,112,22,Z Borenstein,5
13,0.133,45,0.22,15,2,D Shines,1
78,0.246,183,0.343,57,6,G Mitchell,2
2,0.385,13,0.429,4,1,C Crawford,0
16,0.3,70,0.372,18,4,C Adamson,1
76,0.249,289,0.313,78,20,J Simon,0
49,0.228,184,0.279,55,12,K Jenkins,2
2,0.214,14,0.267,4,0,W Bernard,1
159,0.276,449,0.343,113,31,B Crocker,9
1,0.429,7,0.556,2,0,S Van Slyke,0
60,0.229,223,0.343,69,14,E Blair,6
105,0.258,446,0.331,120,18,C Lofton,13
60,0.257,222,0.283,53,12,J Arias,10
18,0.333,63,0.358,15,3,G Pimentel,0
127,0.297,485,0.381,128,36,K Rivers,3
63,0.278,500,0.376,128,32,A Aplin,6
123,0.258,508,0.318,129,40,D Harris,1
