VORP,LG,oppAVG,SLG,oppOBP,oppSLG,AVG,PA,YEAR
6.6,AL,0.26,0.436,0.317,0.4,0.271,359,2013
10.1,NL,0.252,0.291,0.315,0.392,0.234,305,2013
4.2,AL,0.253,0.407,0.318,0.404,0.265,376,2013
21.2,NL,0.25,0.421,0.304,0.381,0.274,857,2013
35.4,NL,0.244,0.404,0.304,0.374,0.246,905,2013
16.6,NL,0.246,0.42,0.306,0.379,0.285,800,2013
17.7,NL,0.25,0.351,0.309,0.389,0.233,707,2013
18.1,NL,0.247,0.307,0.31,0.385,0.207,730,2013
23.7,NL,0.245,0.375,0.306,0.377,0.239,865,2013
0.0,AL,0.258,0.451,0.32,0.411,0.285,642,2013
3.1,AL,0.249,0.439,0.315,0.392,0.244,324,2013
20.1,NL,0.249,0.371,0.308,0.393,0.234,722,2013
23.2,AL,0.251,0.418,0.315,0.388,0.262,672,2013
5.1,NL,0.252,0.298,0.318,0.396,0.201,338,2013
-2.7,AL,0.256,0.408,0.319,0.406,0.226,823,2013
0.1,AL,0.258,0.375,0.318,0.398,0.259,461,2013
5.7,AL,0.256,0.357,0.321,0.402,0.223,336,2013
0.9,AL,0.25,0.516,0.315,0.396,0.314,406,2013
15.0,NL,0.255,0.336,0.313,0.398,0.253,469,2013
5.8,NL,0.249,0.45,0.309,0.388,0.295,457,2013
12.1,NL,0.244,0.368,0.302,0.382,0.196,420,2013
6.7,NL,0.248,0.367,0.31,0.389,0.234,376,2013
26.3,AL,0.256,0.389,0.318,0.408,0.253,903,2013
15.5,NL,0.253,0.454,0.312,0.388,0.268,717,2013
3.7,AL,0.262,0.488,0.323,0.415,0.305,384,2013
26.0,AL,0.258,0.369,0.32,0.402,0.251,946,2013
16.2,NL,0.25,0.346,0.309,0.385,0.232,384,2013
33.2,NL,0.25,0.375,0.309,0.379,0.253,816,2013
0.2,AL,0.255,0.507,0.317,0.404,0.311,820,2013
15.0,NL,0.246,0.363,0.307,0.387,0.245,534,2013
-11.9,AL,0.258,0.453,0.321,0.407,0.289,707,2013
16.7,AL,0.25,0.277,0.315,0.398,0.199,416,2013
-1.3,NL,0.252,0.402,0.31,0.39,0.262,514,2013
-7.3,AL,0.252,0.547,0.314,0.399,0.317,611,2013
32.5,AL,0.258,0.357,0.321,0.407,0.242,823,2013
9.5,AL,0.254,0.413,0.317,0.396,0.257,579,2013
18.1,AL,0.258,0.413,0.319,0.398,0.271,608,2013
-0.9,NL,0.255,0.414,0.312,0.397,0.242,352,2013
0.2,NL,0.248,0.384,0.31,0.385,0.264,802,2013
37.2,NL,0.25,0.282,0.307,0.38,0.209,690,2013
15.4,NL,0.246,0.384,0.306,0.377,0.269,714,2013
10.6,AL,0.256,0.437,0.319,0.401,0.258,667,2013
13.3,NL,0.253,0.389,0.314,0.396,0.248,841,2013
10.0,AL,0.258,0.422,0.319,0.408,0.242,943,2013
-18.9,NL,0.253,0.426,0.315,0.391,0.257,518,2013
27.5,AL,0.252,0.361,0.314,0.399,0.246,913,2013
31.9,NL,0.252,0.265,0.315,0.395,0.182,681,2013
6.5,AL,0.256,0.447,0.319,0.4,0.307,618,2013
11.8,AL,0.258,0.381,0.322,0.406,0.237,498,2013
8.9,NL,0.251,0.369,0.312,0.388,0.243,431,2013
17.1,NL,0.255,0.314,0.314,0.399,0.224,666,2013
3.3,NL,0.252,0.387,0.313,0.39,0.244,332,2013
15.2,AL,0.257,0.425,0.32,0.404,0.26,663,2013
3.2,NL,0.251,0.491,0.311,0.389,0.318,608,2013
1.8,AL,0.252,0.364,0.315,0.389,0.251,315,2013
13.3,AL,0.262,0.348,0.325,0.416,0.258,586,2013
8.0,AL,0.26,0.45,0.321,0.408,0.274,737,2013
54.0,NL,0.25,0.277,0.309,0.384,0.195,908,2013
30.9,NL,0.252,0.355,0.31,0.391,0.234,717,2013
10.0,AL,0.26,0.458,0.322,0.414,0.297,682,2013
16.2,NL,0.253,0.423,0.311,0.392,0.268,841,2013
21.8,NL,0.251,0.335,0.311,0.388,0.231,801,2013
-0.4,NL,0.247,0.344,0.308,0.378,0.261,493,2013
-4.8,AL,0.258,0.485,0.321,0.407,0.277,583,2013
18.3,AL,0.256,0.411,0.317,0.409,0.275,784,2013
38.7,NL,0.252,0.368,0.314,0.394,0.232,876,2013
21.8,AL,0.256,0.43,0.32,0.405,0.276,876,2013
4.9,NL,0.252,0.388,0.316,0.395,0.241,356,2013
16.7,AL,0.257,0.312,0.319,0.404,0.222,803,2013
-8.0,AL,0.257,0.503,0.322,0.405,0.306,576,2013
20.7,NL,0.251,0.367,0.313,0.39,0.278,476,2013
9.6,AL,0.256,0.38,0.321,0.405,0.238,859,2013
26.2,AL,0.26,0.392,0.323,0.418,0.249,824,2013
8.0,NL,0.248,0.427,0.306,0.379,0.284,437,2013
3.8,NL,0.249,0.436,0.308,0.386,0.281,777,2013
10.2,AL,0.255,0.343,0.316,0.402,0.216,642,2013
25.0,AL,0.256,0.395,0.319,0.405,0.247,832,2013
30.2,AL,0.252,0.334,0.317,0.399,0.194,841,2013
2.3,AL,0.257,0.455,0.321,0.405,0.241,365,2013
8.1,AL,0.257,0.492,0.321,0.407,0.293,642,2013
-4.2,NL,0.248,0.421,0.308,0.383,0.261,601,2013
26.2,NL,0.249,0.307,0.308,0.386,0.203,803,2013
7.5,NL,0.256,0.363,0.316,0.392,0.249,451,2013
4.7,NL,0.249,0.404,0.307,0.385,0.261,847,2013
6.3,AL,0.258,0.368,0.321,0.409,0.226,525,2013
