Date,Opponent,Score,s,k,e,ta,pct,a,sa,se,re,digs,bs,ba,be,tot,bhe,pts
Aug 30,vs. Augsburg College (Minn.),"L, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aug 30,at Colorado College,"L, 3-0",3,1,0,2,.500,6,0,0,0,4,0,0,0,0,1,1.0
Aug 31,vs. Central College (Iowa),"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aug 31,vs. Pacific University (Ore.),"W, 3-2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 6,vs. Roger Williams University,"L, 3-0",1,0,0,0,-,2,0,0,0,0,0,0,0,0,0,0.0
Sep 6,vs. Sage College (N.Y.),"W, 3-1",1,0,0,1,.000,1,0,0,0,0,0,0,0,0,0,0.0
Sep 7,vs. Bowdoin College,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 7,vs. Eastern University (Pa.),"L, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 11,Keene State College,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 20,vs. Rochester Institute of Technology,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 20,vs. SUNY New Paltz,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 21,at NYU,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 21,vs. DeSales University,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 26,at Rhode Island College,"W, 3-0",1,0,0,0,-,1,1,0,0,0,0,0,0,0,0,1.0
Sep 28,vs. Connecticut College,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 28,at Tufts University,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 3,Wellesley College,"L, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 8,at University of Southern Maine,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 11,Trinity College (Conn.),"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 12,Endicott College,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 12,vs. Haverford College (Pa.),"L, 3-2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 13,Babson College,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 13,Colby-Sawyer College,"L, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 15,UMass Dartmouth,"W, 3-0",1,0,0,0,-,3,2,1,0,1,0,0,0,0,0,2.0
Oct 18,vs. Rivier University,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 19,vs. Western New England University,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 19,at MIT,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 22,at Eastern Connecticut State University,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 26,at Western Connecticut State University,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 26,vs. Clark University (Mass.),"L, 3-1",4,0,1,1,-1.000,21,0,3,0,10,0,0,0,0,2,0.0
Oct 29,Plymouth State University,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 1,at Roger Williams University,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 2,vs. University of Wisconsin Oshkosh,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 2,at Vassar College,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 9,Western Connecticut State University,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 10,Keene State College,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 15,vs. Wellesley College,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 16,vs. Roger Williams University,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 17,at Williams College,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 21,vs. Calvin College,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
