Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,GfM,Opposition,Ground,Match Date
Scotland,won,19,16,3,1,1,3,1,0,v Samoa,Aberdeen,27 Nov 2010
Scotland,won,21,17,4,0,0,6,1,0,v South Africa,Murrayfield,20 Nov 2010
Scotland,lost,3,49,-46,0,0,1,0,0,v New Zealand,Murrayfield,13 Nov 2010
Scotland,won,13,9,4,1,1,2,0,0,v Argentina,Mar del Plata,19 Jun 2010
Scotland,won,24,16,8,0,0,6,2,0,v Argentina,Tucuman,12 Jun 2010
Scotland,won,23,20,3,1,0,5,1,0,v Ireland,Croke Park,20 Mar 2010
Scotland,draw,15,15,0,0,0,4,1,0,v England,Murrayfield,13 Mar 2010
Scotland,lost,12,16,-4,0,0,3,1,0,v Italy,Rome,27 Feb 2010
Scotland,lost,24,31,-7,2,1,2,2,0,v Wales,Millennium Stadium,13 Feb 2010
Scotland,lost,9,18,-9,0,0,3,0,0,v France,Murrayfield,7 Feb 2010
Scotland,lost,6,9,-3,0,0,2,0,0,v Argentina,Murrayfield,28 Nov 2009
Scotland,won,9,8,1,0,0,2,1,0,v Australia,Murrayfield,21 Nov 2009
Scotland,won,23,10,13,2,2,3,0,0,v Fiji,Murrayfield,14 Nov 2009
Scotland,lost,12,26,-14,0,0,4,0,0,v England,Twickenham,21 Mar 2009
Scotland,lost,15,22,-7,0,0,5,0,0,v Ireland,Murrayfield,14 Mar 2009
Scotland,won,26,6,20,2,2,4,0,0,v Italy,Murrayfield,28 Feb 2009
Scotland,lost,13,22,-9,1,1,2,0,0,v France,Stade de France,14 Feb 2009
Scotland,lost,13,26,-13,1,1,2,0,0,v Wales,Murrayfield,8 Feb 2009
Scotland,won,41,0,41,6,4,1,0,0,v Canada,Aberdeen,22 Nov 2008
Scotland,lost,10,14,-4,1,1,1,0,0,v South Africa,Murrayfield,15 Nov 2008
Scotland,lost,6,32,-26,0,0,2,0,0,v New Zealand,Murrayfield,8 Nov 2008
Scotland,won,26,14,12,2,2,4,0,0,v Argentina,Buenos Aires,14 Jun 2008
Scotland,lost,15,21,-6,0,0,5,0,0,v Argentina,Rosario,7 Jun 2008
Scotland,lost,20,23,-3,2,2,2,0,0,v Italy,Rome,15 Mar 2008
Scotland,won,15,9,6,0,0,5,0,0,v England,Murrayfield,8 Mar 2008
Scotland,lost,13,34,-21,1,1,2,0,0,v Ireland,Croke Park,23 Feb 2008
Scotland,lost,15,30,-15,0,0,5,0,0,v Wales,Millennium Stadium,9 Feb 2008
Scotland,lost,6,27,-21,0,0,1,1,0,v France,Murrayfield,3 Feb 2008
Scotland,lost,13,19,-6,1,1,2,0,0,v Argentina,Stade de France,7 Oct 2007
Scotland,won,18,16,2,0,0,6,0,0,v Italy,Saint-Etienne,29 Sep 2007
Scotland,lost,0,40,-40,0,0,0,0,0,v New Zealand,Murrayfield,23 Sep 2007
Scotland,won,42,0,42,6,6,0,0,0,v Romania,Murrayfield,18 Sep 2007
Scotland,won,56,10,46,8,8,0,0,0,v Portugal,Saint-Etienne,9 Sep 2007
Scotland,lost,3,27,-24,0,0,1,0,0,v South Africa,Murrayfield,25 Aug 2007
Scotland,won,31,21,10,5,3,0,0,0,v Ireland,Murrayfield,11 Aug 2007
Scotland,lost,19,46,-27,3,2,0,0,0,v France,Stade de France,17 Mar 2007
Scotland,lost,18,19,-1,0,0,6,0,0,v Ireland,Murrayfield,10 Mar 2007
Scotland,lost,17,37,-20,2,2,1,0,0,v Italy,Murrayfield,24 Feb 2007
Scotland,won,21,9,12,0,0,7,0,0,v Wales,Murrayfield,10 Feb 2007
Scotland,lost,20,42,-22,2,2,2,0,0,v England,Twickenham,3 Feb 2007
Scotland,lost,15,44,-29,2,1,1,0,0,v Australia,Murrayfield,25 Nov 2006
Scotland,won,34,22,12,4,4,1,1,0,v Pacific Is,Murrayfield,18 Nov 2006
Scotland,won,48,6,42,7,5,1,0,0,v Romania,Murrayfield,11 Nov 2006
Scotland,lost,15,29,-14,2,1,1,0,0,v South Africa,Port Elizabeth,17 Jun 2006
Scotland,lost,16,36,-20,1,1,3,0,0,v South Africa,Durban,10 Jun 2006
Scotland,won,13,10,3,1,1,1,1,0,v Italy,Rome,18 Mar 2006
Scotland,lost,9,15,-6,0,0,3,0,0,v Ireland,Lansdowne Road,11 Mar 2006
Scotland,won,18,12,6,0,0,5,1,0,v England,Murrayfield,25 Feb 2006
Scotland,lost,18,28,-10,2,1,2,0,0,v Wales,Millennium Stadium,12 Feb 2006
Scotland,won,20,16,4,2,2,2,0,0,v France,Murrayfield,5 Feb 2006
