Age,GmSc,USG%,TOV%,STL%,Rk
35-339,1.7,10.8,0.0,0.0,34
35-333,1.4,21.6,50.0,0.0,32
35-307,-3.5,35.3,28.8,3.0,21
35-270,3.7,19.2,33.8,0.0,6
35-264,-2.5,16.3,33.3,0.0,2
35-303,3.8,9.3,25.8,0.0,19
35-327,-0.6,13.8,25.0,0.0,29
36-048,10.4,15.4,0.0,0.0,62
36-024,-0.3,10.9,0.0,0.0,52
35-277,1.8,5.9,0.0,10.6,9
36-001,2.9,9.5,0.0,0.0,45
36-053,-0.7,21.9,66.7,0.0,64
35-350,3.5,9.4,0.0,2.7,37
35-348,0.3,7.6,0.0,0.0,36
35-293,0.9,0.0, ,0.0,14
35-322,3.1,11.9,0.0,0.0,26
36-067,5.5,17.3,26.6,0.0,70
36-058,9.2,21.7,12.5,3.1,66
36-036,0.4,19.3,33.3,0.0,57
35-351,1.0,15.2,0.0,0.0,38
36-062,-0.1,5.6,0.0,0.0,67
35-335,0.0,16.9,0.0,0.0,33
36-039,0.5,12.0,0.0,0.0,59
36-031,1.8,7.1,0.0,0.0,55
36-034,-2.5,25.1,25.0,7.5,56
36-045,7.4,23.7,0.0,0.0,61
35-315,0.2,13.3,0.0,0.0,23
36-023,6.8,21.4,17.0,0.0,51
36-065,7.8,13.6,0.0,2.2,69
36-064,4.8,10.6,0.0,0.0,68
35-317,3.0,20.4,0.0,0.0,24
35-320,-1.0,13.6,100.0,0.0,25
35-359,-0.4,50.2,25.8,0.0,43
35-291,1.5,21.6,20.5,0.0,13
35-301,0.0,23.2,12.5,3.3,18
36-027,-1.4,14.9,100.0,0.0,53
36-051,9.6,22.8,6.1,1.7,63
35-294,0.9,23.9,33.3,0.0,15
35-329,5.6,16.1,14.3,5.5,30
36-009,-0.5,23.8,33.3,0.0,47
35-324,0.4,8.2,53.2,0.0,27
