VORP,OBP,oppTAv,AVG,TEAM,GS,AGE
9.6,0.375,0.262,0.324,DET,0,29
3.9,0.26,0.26,0.209,SFN,0,27
-6.8,0.434,0.264,0.371,MIN,7,33
-0.1,0.524,0.27,0.412,SFN,1,27
3.2,0.327,0.265,0.265,CLE,2,28
-0.2,0.417,0.264,0.316,TOR,0,28
-0.7,0.308,0.261,0.25,DET,0,23
-3.0,0.529,0.278,0.515,BOS,2,25
14.1,0.305,0.256,0.254,LAN,33,33
-1.8,0.327,0.26,0.205,PHI,1,26
4.2,0.316,0.262,0.241,MIL,0,30
10.9,0.256,0.266,0.166,OAK,0,25
-1.5,0.469,0.246,0.37,CHN,0,27
3.3,0.5,0.237,0.333,CHA,0,34
-1.9,0.531,0.247,0.318,BOS,0,26
14.1,0.359,0.256,0.296,PHI,23,24
2.2,0.291,0.263,0.228,ARI,0,32
-7.2,0.337,0.258,0.209,DET,0,26
-1.6,0.456,0.261,0.37,COL,3,29
-2.6,0.36,0.268,0.305,MIN,16,23
-1.9,0.356,0.258,0.251,MIA,20,31
3.0,0.281,0.253,0.233,SDN,5,27
26.4,0.243,0.258,0.208,ATL,12,26
13.2,0.285,0.268,0.207,PIT,0,35
3.9,0.301,0.258,0.215,SFN,0,27
3.9,0.353,0.258,0.281,SEA,0,29
0.7,0.374,0.259,0.3,SFN,0,38
0.4,0.4,0.26,0.4,ARI,0,29
-1.7,1.0,0.299,1.0,PIT,0,29
2.7,0.326,0.262,0.225,CIN,0,28
9.6,0.283,0.264,0.207,CLE,0,27
0.5,0.349,0.261,0.273,KCA,0,28
10.9,0.322,0.25,0.28,ARI,21,31
2.3,0.293,0.261,0.201,OAK,0,28
9.7,0.282,0.269,0.214,TOR,0,41
3.1,0.333,0.266,0.328,COL,0,28
-0.4,0.337,0.267,0.313,MIN,11,36
-0.8,0.4,0.272,0.0,TEX,0,22
6.5,0.245,0.261,0.191,SLN,0,30
-1.4,0.348,0.262,0.273,CHN,0,29
-0.0,0.333,0.264,0.1,SFN,0,27
4.9,0.296,0.263,0.252,MIN,16,27
4.6,0.304,0.259,0.248,ATL,28,36
0.6,0.52,0.251,0.476,BOS,0,28
10.2,0.332,0.26,0.275,CHA,22,23
8.3,0.254,0.264,0.2,TBA,0,36
2.8,0.225,0.261,0.179,CLE,0,28
-1.8,0.307,0.26,0.228,CLE,0,28
1.2,0.396,0.258,0.356,ANA,0,29
11.3,0.293,0.263,0.2,NYN,10,23
7.8,0.308,0.262,0.224,BOS,9,26
5.6,0.364,0.259,0.27,WAS,6,27
1.2,0.25,0.257,0.217,ATL,1,21
2.2,0.329,0.266,0.236,CLE,0,24
-11.5,0.339,0.267,0.29,TOR,31,22
-1.3,0.361,0.263,0.258,SFN,0,32
0.6,0.367,0.251,0.24,CHA,1,32
2.1,0.311,0.253,0.247,PIT,3,24
9.4,0.263,0.259,0.215,BAL,0,26
5.1,0.313,0.264,0.261,CHA,0,35
1.1,0.316,0.261,0.28,CLE,4,27
6.6,0.332,0.258,0.266,NYA,0,26
6.0,0.347,0.263,0.281,KCA,32,28
7.3,0.337,0.268,0.276,TEX,12,35
-0.6,0.25,0.261,0.182,NYA,0,28
1.5,0.296,0.263,0.242,SLN,3,37
2.2,0.347,0.268,0.277,MIL,0,27
-1.3,0.419,0.256,0.242,OAK,0,25
1.4,0.311,0.261,0.227,CHN,0,25
1.5,0.38,0.253,0.304,SDN,9,29
6.7,0.267,0.274,0.21,WAS,0,24
21.9,0.299,0.262,0.249,DET,26,28
-2.6,0.381,0.265,0.297,HOU,0,25
7.9,0.356,0.261,0.295,MIA,0,26
4.7,0.338,0.259,0.25,SDN,0,30
9.9,0.311,0.262,0.272,BAL,0,34
0.3,0.349,0.257,0.276,CHA,16,29
12.5,0.278,0.261,0.216,PHI,0,31
-0.0,0.338,0.256,0.282,SLN,28,34
-0.4,0.238,0.26,0.158,LAN,0,25
2.0,0.311,0.263,0.209,SEA,0,33
5.7,0.296,0.266,0.194,BOS,0,27
0.6,0.5,0.249,0.455,DET,0,27
-0.5,0.35,0.261,0.222,SDN,0,24
8.4,0.289,0.269,0.248,KCA,14,33
1.2,0.357,0.265,0.205,CHN,0,23
0.6,0.383,0.26,0.322,SDN,6,22
-0.7,0.436,0.259,0.412,DET,3,24
4.6,0.321,0.264,0.248,KCA,0,27
