Course Number,Section Number,Course Title,Call Number,Instructor,Days,Times,Location,Min-Max Credits,60/90 Rule,Years,Notes
815,7.0,Appellate Advocacy II (other moot court: IPSO: Giles Rich),85899.0,"Ghosh, S.", , , ,1-3,60,L2-L3,Requires consent of instructor.
852,6.0,Trial Advocacy (Mock Trial: BLSA),78243.0,"Meyn, I.", , , ,2-3,*,L2-L3,PF only; requires consent of instructor
940,8.0,L&CP: I.P. for Business Lawyers,78101.0,"Frenchick, G.", , , ,2-3,60,L2-L3,Course cancelled.
854,18.0,Clinical Program: Law Externship,78306.0,"Heymann, J.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
991,1.0,Directed Reading, , , , , ,1-3,90,L2-L3,requires consent of instructor
990,1.0,Directed Research, , , , , ,1-12,90,L2-L3,requires consent of instructor
955,1.0,Public Sector Labor Law,78104.0,"Davis, P.", , , ,2-3,60,L2-L3,Course cancelled
950,3.0,Lawyering Skills: Public Speaking for Lawyers,78288.0,"Peterson, J. Plum, C.", , , ,2-2,90,L2-L3,PF only; limit: 16 students; meets first eight weeks of semester.
950,4.0,Lawyering Skills: Public Speaking for Lawyers,78269.0,"Plum, C.", , , ,1-1,90,L4-L5,LLM-LI students; limit: 16 students; meets first eight weeks of semester.
950,5.0,Lawyering Skills: Risk Management,78290.0,"Kaiser, A.", , , ,1-2,60,L2-L3,Course cancelled
940,14.0,L&CP: Construction Law,78128.0,"Aiken, J.", , , ,2-2,60,L2-L3,Course cancelled
940,5.0,L&CP: Comparative Constitutions: Egypt & the Arab Spring,85426.0,"Williamson Jr., B.", , , ,3-3,90,L2-L3,Course cancelled
915,1.0,SP Crim. J. Admin: Federal Criminal Appeals,78137.0,"Stevenson, A.", , , ,2-2,60,L2-L3,PF only; req. consent of instructor; limited to clinical participants. Meeting time TBD based on participant schedules. Project/presentation
918,1.0,SP International Law: International Environmental Law & Policy,78298.0,"Atapattu, S.", , , ,3-3,60,L2-L3,Cource cancelled.
918,4.0,SP International Law: Vis Competition,85570.0,"Yackee, J.", , , ,3-3,60,L2-L3,PF only
899,1.0,Wisconsin Law Review,78095.0,"Desai, A.", , , ,1-3,90,L2-L3,Admission to Journal LW
896,1.0,"WI Journal of Law, Gender & Society",78094.0,"Quraishi-Landes, A.", , , ,1-3,90,L2-L3,Admission to Journal LW
895,1.0,WI International Law Journal,78093.0,"Klug, H.", , , ,1-3,90,L2-L3,Admission to Journal LW
862,1.0,Legal Assistance to Institutionalized Persons (LAIP),78092.0,"Dickey, W.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor. LW
854,13.0,Clinical Program: Family Law Project (FLP),78292.0,"Shear, L.", , , ,1-7,*,L2-L3,PF only; Req. consent of instructor
854,14.0,Clinical Program: Prosecution Project,78160.0,"Kempinen, B.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,15.0,Clinical Program: Midwestern Environmental Advocates Externship,78217.0,"Tai, S.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor
854,16.0,Clinical Program: Criminal Appeals Project,78219.0,"Pray, J. Wiercioch, G. Bushnell, T.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,2.0,Clinical Program: Disability Rights Wisconsin,78088.0,"Kerschensteiner, K.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,4.0,Clinical Program: Defense Project,78113.0,"LaVigne, M.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,5.0,Clinical Program: Department of Justice,78090.0,"Sullivan, F.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,6.0,Clinical Program: Family Court Clinic,78091.0,"Mansfield, M.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor. Meeting time TBD. LW
854,7.0,Clinical Program: Domestic Violence,78337.0,"Meuer, T.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor; pre-req: L&CP Domestic Violence.
854,11.0,Clinical Program: Restorative Justice Project,78275.0,"DeWind, P.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,10.0,Clinical Program: Labor Law Clinical,78185.0,"Clauss, C.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
815,5.0,Appellate Advocacy II (Pace Competition),78293.0,"Tai, S.", , , ,1-3,60,L2,PF only; consent of instructor; environmental moot court at Pace Univ.
815,2.0,Appellate Advocacy II (moot board & coaches),78078.0,"Tai, S.", , , ,1-3,60,L2-L3,Requires consent of instructor.
815,3.0,Appellate Advocacy II (other moot court),85413.0,"Tai, S.", , , ,1-3,60,L2-L3,Requires consent of instructor.
815,1.0,Appellate Advocacy II (moot court competitors),78077.0,"Tai, S.", , , ,1-3,60,L2-L3,Requires consent of instructor.
854,21.0,Clinical Program: Federal Appeals Project (Oxford Federal Project),85463.0,"Stevenson, A.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor; LW
940,16.0,L&CP: Population Health Law Seminar,78340.0,"Zabawa, B. Borisy-Rudin, F.", , , ,2-2,60,L2-L3,Course cancelled Paper/project
815,6.0,Appellate Advocacy II (other moot court-BLSA),78348.0,"Bushnell, T.", , , ,1-3,60,L2,PF only; consent of instructor; environmental moot court at Pace Univ.
854,23.0,Clinical Program: Re-Entry Project,85806.0,"Streit, K.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
815,8.0,Appellate Advocacy II (other moot court-LLSA),86186.0,"Plummer, C.", , , ,1-3,60,L2-L3,Requires consent of instructor.
815,9.0,Appellate Advocacy II (other moot court-ILSA),86187.0,"Monette, R.", , , ,1-3,60,L2-L3,Requires consent of instructor.
854,3.0,Clinical Program: Consumer Law Clinic,78089.0,"Orr, S.",T,1100-100,3260,1-7,*,L2-L3,PF only; requires consent of instructor. LW
953,1.0,SP Business Orgs: Transactional IP,78309.0,"Ghosh, S.",MW,1100-100,5223,3-3,60,L2-L3,PF; consent of instructor required (ghosh7@wisc.edu); Bus. Orgs or an IP course required. LW Paper
742,2.0,Taxation I,78305.0,"Schnur, R.",TR,1100-100,2211,4-4,60,L2-L3,PF Exam: May 4
904,2.0,SP Con Law: First Amendment,85422.0,"Desai, A.",MW,1100-100,5229,4-4,60,L2-L3,No PF; Con Law I required; meets Con Law II Req. Exam: May 6 (8-hour take-home)
854,17.0,Clinical Program: Government & Legislative Law Clinic (GLLC),78239.0,"McBride, E.",F,1100-1155,3261,1-7,*,L2-L3,PF only; requires consent of instructor
850,3.0,Professional Responsibilities,78236.0,"Mansfield, M.",MW,1100-1155,3250,2-2,*,L2-L3,PF; limit: 40 students; meets Prof. Respon. Req. Exam: May 6
641,2.0,Sociology of Law (Law student section),78331.0,"Conti, J.",TR,1100-1215,TBD,3-3,90,L2-L3,Limit: 10 Law students; cross-listed with Sociology 641; meets Legal Process requirement. 3Ls: note exam is scheduled for Law School commencement date. Exam: May 17
854,8.0,Clinical Program: Innocence Project,78206.0,"Lichstein, B.",M,1100-1220,5240,1-7,*,L2-L3,PF only; requires consent of instructor. LW
765,1.0,Equal Employment Law (Employment Discrimination),85545.0,"Clauss, C.",TR,1100-1220,3253,3-4,60,L2-L3,PF Exam: May 4
918,3.0,SP International Law: Globalization of Capital Markets,78318.0,"Davis, K.",TR,1100-1220,5223,3-3,60,L2-L3,PF; Bus Orgs I or II recommended Take-home exam
977,1.0,SP in Policing,78187.0,"Scott, M.",TR,1100-1220,3261,3-3,60,L2-L3,No PF; limit: 15 students; Role of Police (Law 760) recommended; required for Hayes Police-Prosec. Clinical.. LW Paper/project
817,1.0,Business Organizations I,78080.0,"Davis, K.",MW,1100-1220,2260,3-3,60,L1/L2-L3,PF for 2Ls/3Ls only; limit: 100 2Ls/3Ls. Exam: May 6
827,1.0,International Law,78214.0,"Huneeus, A.",MW,1100-1220,3253,3-3,60,L1,No PF; 1Ls only; meets Legal Process Req. Exam: May 6
743,1.0,Negotiation/Mediation,78073.0,"Heymann, S.",TR,1100-1220,5246,3-3,60,L2-L3,No PF; limit 16 students.
744,1.0,Administrative Law,78138.0,"Ohnesorge, J.",TR,1100-1220,2260,3-3,60,L1/ L2-L3,PF for 2Ls/3Ls only; limit: 100 2Ls/3Ls; meets Legal Process requirement; Exam: May 4
736,1.0,Secured Transactions,78070.0,"Cohen, A.",MW,1100-1220,3260,3-3,60,L2-L3,PF Exam: May 6
602,1.0,Legal Sources,78268.0,"Chang, N.",TR,1100-1220,3250,3-3, ,L4-L5,LLM-LI students only; Exam: May 4
935,1.0,Intro to Health Care,85524.0,"Davis, S. Skindrud, M.",MW,1100-1220,2225,3-3,60,L2-L3,PF; limit 40 students. Take-home exam
854,22.0,Clinical Program: Immigrant Justice Clinic,85713.0,"Taeuber, S.",TR,1100-1220,5240,1-7,*,L2-L3,PF only; req. consent of instructor; LW
723,11.0,Legal Research & Writing II,78059.0,"Baumgartner, M.",MW,1100-1220,3247,3-3,90,L1,No PF; limit: 20 students.
723,13.0,Legal Research & Writing II,85988.0,"Dowdal, M.",MW,1100-1220,5246,3-3,90,L1,No PF; limit: 20 students.
723,15.0,Legal Research & Writing II,85990.0,"Peterson, K.",TR,1100-1220,3247,3-3,90,L1,No PF; limit: 20 students.
850,1.0,Professional Responsibilities,78083.0,"Kaiser, A.",TR,120-215,2225,2-2,*,L2-L3,No PF; meets Prof. Respon. Req. Exam: May 14
940,12.0,L&CP: Fundamentals of Business Transactions II,78312.0,"Heymann, S.",MWF,120-215,3226,3-3,60,L2-L3,No PF; pre-req: Fund. Bus. Trans. I.
724,1.0,Property,78061.0,"Church, L.",MTWRF,120-215,5240,4-4,60,L1,No PF; meets Property Req. Exam: May 16
724,2.0,Property,78062.0,"Klug, H.",MTWRF,120-215,2211,4-4,60,L1,No PF; meets Property Req. Exam: May 16
724,3.0,Property,78063.0,"Mitchell, T.",MTWRF,120-215,5229,4-4,60,L1,No PF; meets Property Req. Exam: May 16
724,4.0,Property,78260.0,"Camic, N.",MTWRF,120-215,5246,4-4,60,L1,No PF; meets Property Req. Exam: May 16
822,1.0,Family Law I,78120.0,"Brito, T.",MW,120-240,5223,3-3,60,L2-L3,PF Exam: May 11
817,2.0,Business Organizations I,85414.0,"Alexander, L.",TR,120-240,3260,3-3,60,L2-L3,PF Exam: May 14
906,1.0,"Law, Science & Biotech",78308.0,"Charo, R.",T,120-320,3247,2-2,60,L2-L3,"No PF; Admin Law and Con Law I and II recommended, not required. LW Paper"
845,1.0,Water Rights Law (Water Law & Policy),78335.0,"Scanlan, M.",R,120-320,3247,3-3,60,L2-L3,No PF; Limit: 8 Law students; Administrative Law required. LW Paper; project/presentation
940,6.0,L&CP: Chinese Law,78099.0,"Ohnesorge, J.",W,120-320,3247,2-3,90,L2-L3,"No PF; limit: 20 students; meets Legal Process Req. LW Paper, project"
821,1.0,Bankruptcy,78332.0,"Kramer, G.",W,120-320,2260,2-2,60,L2-L3,PF Exam: May 11
904,3.0,SP Con Law: Institutions in Constitutional Theory & Practice,85423.0,"Coan, A.",M,120-320,3247,3-3,60,L2-L3,No PF; Con Law I required; Con Law II recommended; meets Con Law II Req; consent of instructor required. LW Paper
953,2.0,SP Business Orgs: Law & Entrepreneurship,78313.0,"Ibrahim, D.",M,120-320,2260,3-3,60,L2-L3,No PF; limit: 20 students; Bus Org I or II recommended; LW Paper
940,4.0,L&CP: Defense Function,78098.0,"LaVigne, M.",MW,120-320,3260,3-3,60,L2-L3,No PF; requires consent of instructor.
940,21.0,L&CP: Defense Function: 'Hanging out a Shingle',78314.0,"LaVigne, M.",MW,120-320,3260,3-3,60,L3,PF only; 3Ls only; former Defender Project students not eligible.
723,7.0,Legal Research & Writing II,78055.0,"Strange, J.",MW,1200-115,3226,3-3,90,L2,No PF; limit: 15 students.
723,2.0,Legal Research & Writing II,78050.0,"Derwinski, J.",TR,1200-115,3226,3-3,90,L2,No PF; limit: 15 students.
Lg.Studies, ,Legal Studies: Law In Action (Undergraduates), ,"Various, .",MW,1205-1255,2211, , ,Undergra,"Legal Studies 444 students only. Discussion sections meet Fridays at 850 (Rm 3226), 1205 (Rm 2211), and 225 (Rm 2225)."
950,1.0,Lawyering Skills Course,78103.0,"Viney, G.",MTWRF,1225-325,3250,7-7,*,L2-L3,PF only; limit 64 students.
840,1.0,Taxation II,78082.0,"Tahk, S.",TR,1230-150,2260,3-3,60,L2-L3,PF; pre-req: Tax I; meets Real Estate Law Concentration req. Exam: May 14
725,1.0,Introduction to Criminal Procedure,78064.0,"Klingele, C.",MTWR,225-320,5229,3-3,60,L1,No PF; meets Crim. Pro. Req. Exam: May 10
735,1.0,Payments,78262.0,"Cohen, A.",MW,225-345,3226,3-3,60,L2-L3,PF Exam: May 12
725,2.0,Introduction to Criminal Procedure,78065.0,"Findley, K.",MW,225-345,2211,3-3,60,L1,No PF; meets Crim. Pro. Req. Exam: May 10
721,1.0,Contracts II,85405.0,"Macaulay, S.",TR,225-345,5246,3-3,60,L1/ L2-L3,PF for 2Ls/3Ls only; limit: 50 2Ls/3Ls; pre-req: Contracts I. Exam: May 5
731,4.0,Constitutional Law I,85408.0,"Weston, C.",TR,225-345,5240,3-3,60,L1,No PF; meets Con Law I Req. Exam: May 13
723,16.0,Legal Research & Writing II,85991.0,"Peterson, K.",TR,225-345,2225,3-3,90,L1,No PF; limit: 20 students.
723,20.0,Legal Research & Writing II,85996.0,"Tinglum, T.",MW,225-345,5246,3-3,90,L1,No PF; limit: 20 students.
852,4.0,Trial Advocacy,78087.0,"Kempinen, B.",F,225-425,3260,2-2,*,L2-L3,PF only; consent required; Prosecution Project students only; meets after Spring Recess
940,10.0,L&CP: Prosecution Function,78102.0,"Kempinen, B.",MW,225-425,5240,3-3,60,L2-L3,Requires consent of instructor. Project/presentation
850,2.0,Professional Responsibilities,78084.0,"Streit, K.",MW,330-425,3250,2-2,*,L2-L3,PF; meets Prof. Respon. Req. Exam: May 12
740,1.0,Constitutional Law II,78071.0,"Althouse, A.",TR,330-450,3260,3-3,60,L2-L3,PF; Con Law I required; satisfies Con Law II Req. Exam: May 5
988,1.0,SP Environmental Law: Natural Resources Law,78215.0,"Tai, S.",TR,330-450,3268,3-3,60,L2-L3,PF; Admin Law recommended. LW Exam: May 5
723,4.0,Legal Research & Writing II,78052.0,"Nowicki, B.",TR,330-450,3226,3-3,90,L2,No PF; limit: 15 students.
723,14.0,Legal Research & Writing II,85989.0,"Moritz, D.",MW,330-450,3247,3-3,90,L1,No PF; limit: 20 students.
723,1.0,Legal Research & Writing II,78049.0,"Rich, J.",TR,330-450,5229,3-3,90,L2,No PF; limit: 15 students.
918,2.0,SP International Law: Law of Armed Conflict,78207.0,"Kelly, K.",R,330-530,3247,3-3,60,L2-L3,PF Paper/presentation
940,1.0,L&CP: Nonprofit & Philanthropic Organizations,78097.0,"Sidel, M.",M,330-530,3260,3-3,60,L2-L3,PF; LW Paper
957,1.0,Intro. to Estate Planning,78184.0,"Bensky, J. Verhoff, L.",T,330-530,3261,2-2,60,L2-L3,No PF; T&E I & II (4 credits of T&E) required; limit: 12 students. LW Drafting Assignments
904,1.0,SP Con Law: Supreme Court Seminar,78096.0,"Church, L. Paff, F.",W,330-530,3253,3-3,60,L2-L3,PF; Con Law I recommended; meets Con Law II Req; limit: 25 students LW Paper
854,20.0,Clinical Program: Law & Entrepreneurship,78289.0,"Englund, E. Smith, A. Burkes, R.",W,330-530,WI Institutes for Discovery,1-7,*,L2-L3,PF only; req. consent of instructor; LW
772,1.0,Use of Trusts in Estate Planning,78283.0,"Schmidt, P.",M,330-530,3261,2-2,60,L2-L3,No PF; limit: 12 students; T&E I required. LW Drafting assignments
773,1.0,Law and the Elderly,78238.0,"Annen, J.",W,330-530,3261,2-2,60,L2-L3,No PF; T&E I required (can be concurrent) Exam: May 12
808,1.0,Advanced Legal Writing: Contract Drafting,78076.0,"Page, P.",W,330-530,3260,2-2,90,L2-L3,No PF; limit: 15 students; LW Papers
743,3.0,Negotiation/Mediation,78263.0,"Frankel, M. Phillips, M.",T,330-530,3250,2-2,60,L2-L3,PF only; limit: 14 students
771,2.0,Trusts & Estates II,85412.0,"Erlanger, H.",TR,330-530,2260,2-2,60,L2-L3,PF; Pre-req: T&E I; course meets starting March 12th. Exam: May 5
771,1.0,Trusts & Estates I,85411.0,"Erlanger, H.",TR,330-530,2260,2-2,60,L2-L3,"PF; limit: 90 students; meets Wills/Estates Req. Meets through March 7th only. Note: Final Exam will be Saturday, March 16."
854,1.0,Clinical Program: Mediation Clinic,78336.0,"Erez-Navot, D.",M,330-630,3268,1-7,*,L2-L3,PF only; requires consent of instructor. LW
928,1.0,SP Land Law: Real Estate Process,78280.0,"Johnson, M.",MW,400-515,Grainger 3560,3-3,60,L2-L3,Required for Real Estate Concentration; meets with Real Estate 706; limit: 15 Law students.
950,2.0,Lawyering Skills: Guardian ad Litem Practice in Wisconsin,78161.0,"Viney, G.",TR,400-530,5223,1-1,60,L2-L3,"PF only; short course: starts late in term; meets nine times. Required: Family Law I or II, or Elder Law, or Family Law Project, or Family Court Clinic (concurrent okay) or consent of instructor. Project/presentation"
731,1.0,Constitutional Law I,78067.0,"Althouse, A.",MW,435-555,5229,3-3,60,L1,No PF; meets Con Law I Req. Exam: May 13
723,3.0,Legal Research & Writing II,78051.0,"Lloyd, K.",MW,435-555,3226,3-3,90,L2,No PF; limit: 15 students.
725,4.0,Introduction to Criminal Procedure,85407.0,"Lichstein, B.",TR,435-555,2211,3-3,60,L1,No PF; meets Crim. Pro. Req. Exam: May 10
949,1.0,Adv. Civil Procedure: Complex Litigation,85428.0,"Brito, T.",MW,435-555,5223,3-3,60,L2-L3,PF; Civ Pro II required (concurrent okay); short paper/presentation required in addition to exam. Exam: May 9
768,1.0,Clinical Program: Health Advocacy & Patient-Centered Care,78285.0,"Gaines, M. Davis, S.",W,435-600,TBA,1-7,*,L2-L3,PF only; requires consent of instructor.
940,17.0,L&CP: From Patient to Policy: Models of System Level Advocacy,78291.0,"Gaines, M. Davis, S.",T,435-600,TBA,2-2,60,L2-L3,PF; requires consent of instructor. For students enrolled in the Consumer Health Advocacy Certificate. Project/presentation
940,9.0,L&CP: Food Law,78240.0,"Levenson, B.",T,435-635,2225,3-3,60,L2-L3,No PF; limit: 24 students. LW
801,1.0,Evidence,78074.0,"Meyer, S.",MW,435-635,2211,4-4,60,L2-L3,PF; limit: 60 students; meets Evidence Req. Exam: May 9
749,1.0,Trademarks,78264.0,"Frenchick, G.",T,435-635,3253,2-3,60,L2-L3,PF; Paper
940,11.0,L&CP: Worker's Compensation Law,78122.0,"Aplin, R. Neal, J.",W,500-700,3247,2-2,60,L2-L3,PF; limit: 12 students
852,5.0,Trial Advocacy,78242.0,"LaVigne, M.",R,500-700,3260,2-2,*,L2-L3,PF only; consent required; Defense Project students only.
837,1.0,Regulated Industries: Energy Law Workshop,85629.0,"Gilles, D.",T,500-700,3226,2-2,60,L2-L3,PF; limit: 15 students; Admin Law recommended. paper/project
870,1.0,International Tax,78307.0,"Misey, R.",R,500-740,1195 Grainger,3-3,60,L2-L3,Tax I required. Exam: May 9~
848,1.0,Environmental Law,78265.0,"Tai, S.",MW,540-700,2225,3-3,60,L2-L3,PF; Admin Law recommended. Exam: May 9
723,6.0,Legal Research & Writing II,78054.0,"Barber, T.",TR,540-700,3247,3-3,90,L2,No PF; limit: 15 students.
802,2.0,Civil Procedure II,78334.0,"Shumaker, R.",TR,540-720,5229,3-3,60,L2-L3,PF; meets Juris. Cts. Req. Exam: May 15
940,20.0,L&CP: Sexual Orientation & the Constitution,78341.0,"Gendreau, C. Packard, T.",M,540-740,3253,2-2,60,L2-L3,PF; limit 20 students
940,18.0,L&CP: Privacy Law in the Info Age,78294.0,"Ashley, C. Bilder, A.",T,540-740,5223,2-3,60,L2-L3,PF; limit: 20 students
852,1.0,Trial Advocacy,78085.0,"Farnsworth, E.",T,540-740,3260,2-2,*,L2-L3,PF only; limit 16 students; Evidence required (or concurrent)
849,1.0,Pre-Trial Advocacy,78266.0,"Edwards, T. Lubinsky, L. Furlow, J.",W,540-740,3260,3-3,60,L2-L3,PF only; Limit: 36 students.
852,2.0,Trial Advocacy,78315.0,"Erlandson, A.",M,540-740,3260,2-2,*,L2-L3,PF only; limit 16 students; Evidence required
852,3.0,Trial Advocacy (Mock Trial competition),78086.0,"Dowdal, M.",MTWRF,540-800,3250,2-3,*,L2-L3,PF only; meeting times TBD; Trial Advocacy for Mock Trial Team; consent of instructor; pre req: Evidence;
940,19.0,L&CP: Mental Health Law,78316.0,"Van Rybroek, G.",M,545-745,3247,2-2,60,L2-L3,PF; limit 20 students
723,8.0,Legal Research & Writing II,78056.0,"Turner, A.",MW,610-730,5229,3-3,90,L2,No PF; limit: 15 students.
ELPA,841.0,Legal Aspects of Higher Education,63508.0,"Dunek, L.",M,715-945 pm,Education 145,3-3,60,L2-L3,Ed. Leadership 841; non-Law School grading; credits count as law credits; interested Law students can enroll directly.
872,1.0,Legal Issues: North America & East Asia,78189.0,"Irish, C.",W,730-930,3261,2-2,90,L2-L3; L4-L5,No PF; limit: 6 JD students; course meets for the last seven weeks of term. LW Paper; project
873,1.0,Immigration Law,85566.0,"Sovern, G.",MW,800-920,2225,3-3,60,L2-L3,PF Exam: May 13
743,2.0,Negotiation/Mediation/Arbitration,78208.0,"Peppard, T.",MW,815-945,3260,3-3,60,L2-L3,PF; limit 16 students
854,9.0,Clinical Program: Judicial Internship,78115.0,"Schultz, D. Cagle, R.",R,820-920,2225,1-7,*,L2-L3,PF only; requires consent of instructor; section meets at Law School approx seven times during term.
723,5.0,Legal Research & Writing II,78053.0,"Pardon, E.",MW,825-945,3226,3-3,90,L2,No PF; limit: 15 students.
751,1.0,Patent Law,78127.0,"Ossorio, P.",MW,830-1050,5229,4-4,60,L2-L3,"PF; Intro. to I.P., Admin Law recommended. Take-home exam"
940,2.0,L&CP: Human Trafficking & Involuntary Servitude,78121.0,"Sidel, M.",M,850-1050,5246,3-3,60,L2-L3,PF; LW Paper/project
944,1.0,SP Amer Legal History: 20th Century Constitution,85427.0,"Snyder, B.",W,850-1050,5246,3-3,60,L2-L3,PF; Con Law I required; Con Law II recommended; meets Con Law II and Legal Process requirements. LW Paper
601,1.0,Intro to American Law,78267.0,"Bowen, J. Jones, D.",F,850-1150,3268,3-3, ,L4-L5,No PF; LLM-LI/LLM/SJD students only. Exam: May
850,4.0,Professional Responsibilities,85728.0,"Schweitzer, N.",MW,850-945,3250,2-2, ,L4-L5,Section strictly limited to LLM-LIs only. Exam: May 5
815,4.0,Appellate Advocacy II (moot court-Heffernan),78079.0,"Tai, S.",T,900-1050,3250,2-2,60,L2,PF only; 2Ls only; limit: 20 students not already on the Moot Court Board.
838,1.0,Real Estate Transactions II,78237.0,"Ishikawa, J.",TR,930-1050,3226,3-3,60,L2-L3,PF; pre-req: Real Estate Trans. I Exam: May 7
828,1.0,International Business Transactions,78186.0,"Yackee, J.",TR,930-1050,3260,3-3,60,L2-L3,PF; meets Legal Process Req. Exam: May 7
823,1.0,Family Law II,78081.0,"Camic, N.",TR,930-1050,2225,3-3,60,L2-L3,PF Exam: May 7
802,1.0,Civil Procedure II,78075.0,"Weston, C.",TR,930-1050,5240,3-3,60,L1/ L2-L3,PF for 2Ls/3Ls only; limit: 65 2Ls/3Ls; meets Juris. Cts. Req. Exam: May 7
731,3.0,Constitutional Law I,78261.0,"Snyder, B.",TR,930-1050,5229,3-3,60,L1,No PF; meets Con Law I Req. Exam: May 13
731,2.0,Constitutional Law I,78068.0,"Coan, A.",MW,930-1050,2211,3-3,60,L1,No PF; meets Con Law I Req. Exam: May 13
725,3.0,Introduction to Criminal Procedure,78066.0,"Kempinen, B.",TR,930-1050,2211,3-3,60,L1,No PF; meets Crim. Pro. Req. Exam: May 10
723,10.0,Legal Research & Writing II,78058.0,"Baumgartner, M.",MW,930-1050,3247,3-3,90,L1,No PF; limit: 20 students.
723,12.0,Legal Research & Writing II,78060.0,"Dowdal, M.",MW,930-1050,2225,3-3,90,L1,No PF; limit: 20 students.
723,17.0,Legal Research & Writing II,85992.0,"Robarts, R.",MW,930-1050,5223,3-3,90,L1,No PF; limit: 20 students.
723,18.0,Legal Research & Writing II,85993.0,"Robarts, R.",TR,930-1050,5223,3-3,90,L1,No PF; limit: 20 students.
723,19.0,Legal Research & Writing II,85994.0,"Tinglum, T.",MW,930-1050,3253,3-3,90,L1,No PF; limit: 20 students.
723,9.0,Legal Research & Writing II,78057.0,"Moritz, D.",TR,930-1050,3247,3-3,90,L2,No PF; limit: 15 students.
854,12.0,Clinical Program: Neighborhood Law Project,78129.0,"Mitch, .",W,930-1130,TBD,1-7,*,L2-L3,PF only; requires consent of instructor. LW
808,2.0,Advanced Legal Writing,85569.0,"Kaiser, A.",MW,955-1050,3260,2-3,90,L2-L3,No PF; limit: 15 students; LW Papers
860,1.0,Adv. Criminal Procedure: Rep. Criminal Appellant,78188.0,"Pray, J.",MWF,955-1050,3250(M) 3226(WF),3-3,60,L2-L3,PF only; requires consent of instructor; LW Project/presentation
741,1.0,Business Organizations II,78072.0,"Ibrahim, D.",MWF,955-1050,5240,3-3,60,L2-L3,PF; Bus. Orgs. I recommended. Exam: May 8
940,7.0,L&CP: Tax Policy,78100.0,"Tahk, S.",W,955-1155,3261,2-2,60,L2-L3,PF; Tax I required; limit 20 students. LW Paper
940,3.0,L&CP: Housing & Community Development,78116.0,"Alexander, L.",M,955-1155,3261,2-3,60,L2-L3,No PF; limit: 15 students. LW Paper
854,19.0,Clinical Program: Domestic Violence Immigration Clinic,78297.0,"Frazier, R.",W,955-1155,3268,1-7,*,L2-L3,PF only; requires consent of instructor. Immigration Law with Grant Sovern recommended. LW
730,1.0,Federal Indian Law (Advanced Seminar),78162.0,"Monette, R.",T,955-1155,3268,2-3,60,L2-L3,PF; meets Legal Process req.; Fed Law & Indian Tribes required (or instructor consent); LW
940,13.0,L&CP: WI Constitution & Government Seminar,78117.0,"Monette, R.",R,955-1155,3268,2-3,60,L2-L3,PF Paper
940,15.0,L&CP: Law & Politics Nexus,78241.0,"Davis, S.",M,955-1155,3226,2-3,90,L2-L3,PF
