Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Aneury Tavarez,Gre,191,26,49,8,2,4,16,8,5,6,57,0.257,0.286,0.382,0.669
Jose Vinicio,Gre,130,18,25,7,1,1,13,5,5,4,31,0.192,0.228,0.285,0.513
Kendrick Perkins,Gre,61,7,19,8,1,1,5,2,3,4,18,0.311,0.364,0.525,0.888
Cody Koback,Gre,73,13,25,5,0,0,10,5,2,9,13,0.342,0.417,0.411,0.828
Drew Turocy,Gre,106,11,33,11,2,0,6,1,2,5,24,0.311,0.342,0.453,0.795
Felix Sanchez,Gre,43,9,9,2,0,0,4,2,2,6,18,0.209,0.333,0.256,0.589
Bryan Johns,Gre,25,4,7,0,1,2,9,0,1,4,8,0.28,0.367,0.6,0.967
Mario Martinez,Gre,112,14,31,5,0,2,17,0,1,6,32,0.277,0.331,0.375,0.706
Reed Gragnani,Gre,39,5,11,3,0,0,5,2,1,2,7,0.282,0.326,0.359,0.685
Jayson Hernandez,Gre,71,5,20,1,0,0,6,0,1,6,6,0.282,0.37,0.296,0.666
Nick Moore,Gre,30,3,5,1,0,1,4,0,1,3,20,0.167,0.242,0.3,0.542
Mike Miller,Gre,15,2,8,3,0,0,0,0,0,2,1,0.533,0.588,0.733,1.322
Sean Coyle,Gre,6,1,2,0,0,1,3,0,0,1,2,0.333,0.429,0.833,1.262
Alex Hassan,Gre,7,0,3,0,0,0,2,0,0,4,0,0.429,0.636,0.429,1.065
Mookie Betts,Gre,86,17,25,9,0,2,12,7,0,19,13,0.291,0.419,0.465,0.884
David Chester,Gre,119,14,34,12,0,3,17,1,0,18,30,0.286,0.397,0.462,0.859
Kevin Heller,Gre,41,4,13,1,2,0,4,1,0,4,7,0.317,0.391,0.439,0.83
Keaton Briscoe,Gre,67,10,19,3,2,1,8,2,0,7,19,0.284,0.36,0.433,0.793
Jesus Loya,Gre,42,3,14,2,0,0,3,2,0,1,4,0.333,0.349,0.381,0.73
Tim Roberson,Gre,65,6,17,1,0,2,10,0,0,3,9,0.262,0.294,0.369,0.663
Kevin Mager,Gre,18,4,4,2,0,0,1,0,0,2,4,0.222,0.3,0.333,0.633
Dreily Guerrero,Gre,55,9,12,3,0,0,2,1,0,6,19,0.218,0.295,0.273,0.568
Jordan Weems,Gre,75,5,15,3,0,0,4,0,0,10,23,0.2,0.31,0.24,0.55
Boss Moanaroa,Gre,105,12,16,5,1,2,16,0,0,15,37,0.152,0.26,0.276,0.536
Leonel Escobar,Gre,12,0,2,0,0,0,1,0,0,1,4,0.167,0.231,0.167,0.397
