Date,GS,DRB%,ORB%,eFG%
1990-04-22,0,0.0,7.9,.667
1990-01-02,0,32.4,9.8,.600
1989-12-17,0,16.7,9.5,.500
1990-02-16,0,0.0,8.9,.333
1990-03-26,0,12.7,33.6,.333
1989-12-09,0,36.9,20.0,1.000
1990-02-20,0,22.9,0.0,.000
1990-01-23,0,13.0,8.9,.625
1990-02-21,0,0.0,0.0,.250
1990-03-31,0,0.0,0.0,1.000
1989-12-29,0,19.5,33.3,.333
1989-11-05,0,36.8,11.3,1.000
1989-11-08,0,0.0,0.0, 
1990-01-04,0,0.0,18.5,.400
1990-01-18,0,7.6,16.9,.375
1990-02-13,0,15.2,13.0,.400
1989-11-14,0,0.0,100.0,.000
1989-11-10,0,0.0,0.0,.000
1989-12-05,0,0.0,0.0,.500
1990-01-12,0,16.0,0.0,.500
1989-12-27,0,19.4,12.8,.000
1989-11-12,0,0.0,0.0, 
1990-02-04,0,20.8,0.0,.500
1990-03-10,0,0.0,0.0, 
1990-02-25,0,28.6,0.0,.500
1989-12-26,0,0.0,0.0,1.000
1990-01-09,0,10.1,0.0,1.000
1989-11-03,0,5.8,4.5,.333
1990-03-08,0,12.8,17.1,.571
1989-11-29,0,14.0,0.0,1.000
1990-03-12,0,0.0,0.0,.000
