2B,SF,SH,HR,BB,SO,3B,AVG
23,2,0,12,25,52,1,0.28
22,4,1,14,66,115,7,0.234
1,0,1,0,4,10,1,0.23
18,2,2,2,21,29,4,0.32
7,2,7,3,50,35,1,0.245
1,0,0,0,1,3,0,0.143
17,4,0,2,21,43,4,0.28
2,0,1,0,2,16,1,0.253
0,0,0,0,0,2,0,0.2
24,5,6,3,30,24,2,0.266
22,1,3,9,34,51,1,0.305
2,0,2,0,6,36,1,0.157
9,0,2,2,21,35,1,0.217
10,3,2,6,19,38,2,0.269
24,2,2,8,38,56,2,0.263
2,0,2,0,11,23,2,0.181
0,0,0,0,0,1,0,0.5
31,2,5,24,52,98,4,0.283
2,0,1,0,7,17,0,0.125
1,0,0,0,2,3,0,0.375
0,0,0,1,1,5,1,0.219
3,0,0,0,2,3,0,0.25
3,0,2,0,3,2,0,0.224
0,0,0,0,0,1,0,0.0
6,1,5,1,23,24,1,0.283
6,0,1,1,3,23,1,0.2
35,1,0,6,53,72,0,0.289
0,0,0,0,1,0,0,0.0
10,2,3,1,29,26,3,0.263
0,0,0,0,0,0,0,0.0
4,0,0,0,10,8,0,0.333
29,3,3,8,40,62,3,0.305
24,6,0,21,39,93,7,0.261
1,1,1,0,5,14,0,0.205
12,0,0,5,20,17,2,0.357
15,5,0,4,29,30,0,0.28
0,0,0,0,0,0,0,0.0
35,4,1,9,23,57,5,0.316
15,1,0,7,25,76,0,0.274
15,7,0,10,22,100,2,0.213
6,0,0,1,4,6,0,0.347
22,1,4,8,47,60,5,0.302
2,0,0,1,5,11,0,0.193
1,0,3,1,5,11,0,0.228
0,0,5,1,4,20,0,0.218
3,0,1,1,13,21,0,0.213
13,0,6,1,20,41,1,0.23
13,0,4,3,19,47,5,0.264
8,0,7,0,4,28,0,0.2
20,2,8,6,23,36,2,0.326
4,0,0,1,5,10,1,0.243
