SF,AB,POS,SO,3B
5,596,2B,86,2
0,128,2B,27,0
1,97,2B,22,0
1,141,2B,46,0
0,158,2B,38,2
0,149,SS,28,0
5,423,SS,69,2
0,14,2B,6,0
1,319,2B,40,1
1,41,SS,17,0
1,70,SS,17,0
1,402,2B,71,3
3,208,2B,51,4
2,540,SS,60,4
3,593,SS,183,3
0,29,SS,5,0
3,400,2B,100,1
3,538,SS,100,4
0,161,SS,33,0
0,3,2B,0,0
1,102,SS,18,0
2,494,2B,97,5
0,39,2B,13,0
0,98,2B,16,1
0,144,2B,40,1
1,204,2B,77,1
2,178,2B,38,0
0,179,2B,48,0
2,513,SS,70,6
2,355,SS,73,0
4,560,SS,112,0
0,53,2B,18,0
0,9,SS,2,0
1,119,SS,30,1
1,147,2B,38,0
0,13,2B,6,0
2,512,2B,88,3
0,70,SS,10,0
3,609,2B,107,12
6,536,SS,86,10
4,440,2B,67,3
1,269,2B,33,2
