AB,G,H,SB
278,67,99,12
293,76,92,3
415,114,95,16
146,48,28,2
114,35,24,0
472,123,146,0
94,29,27,0
198,52,52,1
397,108,103,3
108,32,20,0
461,134,114,1
4,1,0,0
91,24,29,2
258,68,69,4
482,126,124,2
362,107,97,9
163,43,37,0
106,28,18,5
396,113,129,10
369,105,101,7
71,21,12,1
276,74,93,11
502,132,132,0
421,113,99,28
264,66,65,4
448,119,117,10
480,128,120,1
427,127,121,16
451,127,118,16
350,96,83,1
158,55,34,0
205,57,63,5
325,94,78,1
66,19,15,0
61,21,18,0
271,71,77,6
349,95,102,1
42,13,5,1
97,27,22,1
