DRB%,eFG%,Opp,GmSc,TRB%,STL%,GS,TS%,Tm
24.4, ,CHH,-0.4,12.0,2.0,1, ,WSB
7.3,.500,CHI,5.5,5.3,5.6,1,.500,WSB
26.8,.500,UTA,7.7,21.4,1.4,1,.512,WSB
12.0, ,NJN,-0.1,6.0,0.0,1, ,WSB
35.5,1.000,LAC,13.6,23.9,0.0,1,.922,WSB
26.1,.600,BOS,6.8,15.2,2.4,1,.600,WSB
24.1,.500,MIA,3.5,16.5,0.0,1,.500,WSB
21.3,.600,SEA,8.2,21.0,5.0,1,.600,WSB
15.6,.500,CHH,3.7,10.2,0.0,1,.500,WSB
0.0,1.000,SAS,0.2,3.3,2.7,1,1.000,WSB
25.3,.000,POR,2.4,14.2,2.5,1,.000,WSB
15.4,.000,NYK,0.1,19.0,0.0,1,.000,WSB
11.1,.250,ATL,3.1,6.9,4.5,1,.250,WSB
25.9,.500,LAL,-0.8,17.1,0.0,1,.500,WSB
11.5,1.000,SAC,4.6,9.5,0.0,1,1.000,WSB
8.2,.000,NYK,-3.6,4.4,0.0,1,.000,WSB
25.6,1.000,CLE,6.5,13.0,2.1,1,.798,WSB
27.8,.000,MIL,4.1,21.1,0.0,1,.347,WSB
5.7, ,PHI,5.8,8.2,5.0,1,.852,WSB
20.4,.333,IND,3.4,12.5,0.0,1,.333,WSB
25.7,1.000,DAL,11.1,17.8,1.8,1,1.000,WSB
15.4,1.000,POR,1.0,8.2,0.0,1,1.000,WSB
17.2,.000,LAL,0.0,12.9,2.0,0,.000,WSB
30.1,.400,NJN,5.3,20.1,0.0,1,.400,WSB
16.3,.333,LAC,1.3,11.2,3.7,1,.333,WSB
27.3,.500,DEN,1.9,14.5,0.0,0,.500,WSB
10.4, ,NYK,3.9,7.3,4.8,1, ,WSB
6.7,.750,CHI,7.3,6.8,0.0,1,.788,WSB
14.6,1.000,BOS,2.1,11.5,0.0,1,1.000,WSB
32.7,1.000,DET,5.3,16.1,4.5,0,1.000,WSB
19.0,.000,PHI,0.7,15.6,0.0,1,.362,WSB
0.0,.500,DET,4.7,5.3,0.0,1,.500,WSB
