Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 27,Ky. Christian,"L, 20-6",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 3,at Pikeville,"L, 63-18",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 10,Lindsey Wilson,"L, 33-25",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 17,Radford,"W, 63-6",1,0,1,-,-,1,-,-,-,-,-,-,-,-
Oct 8,at Guilford,"W, 55-24",0,1,1,-,-,0,-,-,-,-,-,-,-,-
Oct 15,Brevard,"L, 41-21",2,1,3,-,-,0,-,-,-,-,-,-,-,-
Oct 22,at Apprentice,"L, 23-21",2,0,2,-,-,1,-,-,-,-,-,-,-,-
Oct 29,at George Mason,"W, 48-26",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 5,at Webber Int'l,"L, 63-6",2,0,2,-,-,1,-,-,-,-,-,-,-,-
Nov 12,Edward Waters,"L, 38-15",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 19,Ave Maria,"W, 27-24",5,1,6,4,23,4,-,1,-,-,-,-,-,-
