FGM,3P%,PPG,SPG,FTA,APG,FTM
3.0,0.521,8.7,0.9,1.5,1.4,1.1
2.8,0.292,8.2,0.8,2.6,1.2,2.2
3.5,0.0,9.2,0.6,4.2,0.4,2.2
3.1,1.0,7.4,0.2,1.5,0.3,1.1
4.4,0.338,13.7,1.5,3.7,3.1,3.0
2.8,0.418,8.6,0.7,1.5,1.2,1.2
2.4,0.315,8.1,1.4,2.4,5.8,1.7
2.0,0.394,6.0,0.4,1.4,1.1,1.1
3.6,0.432,9.8,0.6,1.7,2.5,1.3
1.7,0.208,4.7,0.3,1.4,0.8,0.9
3.4,0.333,8.9,0.7,2.0,1.0,1.4
5.8,0.344,18.8,0.5,5.7,5.3,5.0
4.2,0.377,12.7,1.0,2.6,4.9,2.2
1.5,0.0,4.4,0.4,1.9,0.4,1.4
2.9,0.375,7.7,0.7,1.4,1.5,1.0
1.4,0.222,3.8,0.4,1.5,0.9,0.9
1.4,0.431,5.2,0.4,1.8,1.2,1.6
4.9,0.164,12.4,1.1,3.7,6.3,2.5
2.9,0.342,7.3,0.4,1.3,0.4,1.0
2.4,0.311,7.2,1.0,2.5,3.0,1.8
3.2,0.333,8.0,0.3,1.6,1.0,1.4
4.3,0.445,13.2,0.3,2.3,2.2,2.0
3.9,0.325,11.4,0.7,3.2,0.9,2.8
2.7,0.323,7.9,0.9,1.3,2.8,1.2
3.3,0.443,9.3,1.2,1.3,2.3,1.0
4.9,0.397,13.8,0.8,2.8,3.9,2.4
4.0,0.517,9.9,0.5,1.4,0.8,1.1
2.8,0.0,7.1,0.3,2.1,0.4,1.5
3.1,0.265,8.6,1.0,2.6,2.5,1.8
2.0,0.5,5.2,0.2,2.0,0.8,1.1
4.2,0.367,12.3,0.7,2.7,3.0,2.2
4.7,0.0,11.5,0.9,2.7,1.0,2.0
4.1,0.312,10.5,0.2,1.7,1.0,1.2
5.1,1.0,13.4,0.9,3.6,1.3,3.1
