ORtg,Age,TOV%,Opp,MP,USG%,ORB%
 ,24-207, ,LAC,2:00,0.0,0.0
 ,24-166, ,ATL,1:00,0.0,0.0
 ,24-089, ,WSB,3:00,0.0,0.0
203,24-195, ,LAL,5:00,0.0,22.3
122,24-117,0.0,ATL,5:00,7.9,0.0
0,24-156,66.7,CLE,12:00,10.1,0.0
 ,24-192, ,SEA,3:00,0.0,0.0
104,24-242,33.3,NYK,21:00,11.8,20.2
87,24-198,33.3,GSW,31:00,8.2,11.1
208,24-165, ,IND,5:00,0.0,0.0
 ,24-131, ,CLE,1:00,0.0,0.0
104,24-225,0.0,CLE,13:00,9.3,10.5
0,24-212,100.0,CHI,1:00,86.8,0.0
 ,24-081, ,NJN,1:00,0.0,0.0
 ,24-110, ,NYK,1:00,0.0,0.0
0,24-109,100.0,PHI,4:00,9.9,0.0
99,24-103,0.0,IND,3:00,29.4,0.0
0,24-123,50.0,POR,9:00,8.5,0.0
204,24-240, ,DET,3:00,0.0,34.0
 ,24-193, ,POR,1:00,0.0,0.0
113,24-172,0.0,GSW,12:00,17.6,0.0
