Loc #,Frequency,Emission,Class,Units,Pag,Pwr,Lat,Long,City,County,State
1,473.5125,20K0F3E,FX1,1,0,30.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,473.5125,20K0F1D,FX1,1,0,30.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,473.5375,20K0F1D,FX1,1,0,30.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,473.5375,20K0F3E,FX1,1,0,30.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.6625,20K0F1D,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.6625,20K0F3E,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.6875,20K0F3E,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.6875,20K0F1D,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.7125,20K0F1D,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.7125,20K0F3E,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.7375,20K0F1D,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.7375,20K0F3E,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.7625,20K0F3E,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.7625,20K0F1D,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.7875,20K0F1D,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
1,485.7875,20K0F3E,FX1,1,0,25.0,34.10778,-118.05783,TEMPLE CITY,LOS ANGELES,CA
