SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1985 - 1986,Lukko,Liiga,36,15,1,20,-,-,160,192,31,8,Did not make playoffs
1986 - 1987,Lukko,Liiga,44,16,8,20,-,-,158,179,40,8,Did not make playoffs
1987 - 1988,Lukko,Liiga,44,24,1,19,-,-,168,140,49,4,Final loss
1988 - 1989,Lukko,Liiga,44,22,1,21,-,-,187,185,45,7,Did not make playoffs
1989 - 1990,Lukko,Liiga,44,17,4,23,-,-,166,170,38,9,Did not make playoffs
1990 - 1991,Lukko,Liiga,44,16,3,25,-,-,178,177,35,11,Saved in relegation
1991 - 1992,Lukko,Liiga,44,20,9,15,-,-,162,121,49,4,Quarterfinal loss
1992 - 1993,Lukko,Liiga,48,23,8,17,-,-,165,138,54,5,Quarterfinal loss
1993 - 1994,Lukko,Liiga,48,26,4,18,-,-,165,142,56,4,Bronze game win
1994 - 1995,Lukko,Liiga,50,29,9,12,-,-,210,134,67,2,Bronze game loss
1995 - 1996,Lukko,Liiga,50,25,9,16,-,-,205,177,59,3,Bronze game win
1996 - 1997,Lukko,Liiga,50,16,5,29,-,-,136,170,37,10,Did not make playoffs
1997 - 1998,Lukko,Liiga,48,20,6,22,-,-,131,143,46,9,Did not make playoffs
1998 - 1999,Lukko,Liiga,54,16,7,31,-,-,126,176,39,11,Did not make playoffs
1999 - 2000,Lukko,Liiga,54,28,9,17,-,-,159,125,65,4,Quarterfinal loss
2000 - 2001,Lukko,Liiga,56,21,14,21,-,-,146,146,56,6,Quarterfinal loss
2001 - 2002,Lukko,Liiga,56,13,9,34,-,-,110,181,35,12,Did not make playoffs
2002 - 2003,Lukko,Liiga,56,21,8,25,-,-,130,153,55,9,Did not make playoffs
2003 - 2004,Lukko,Liiga,56,24,14,18,-,-,154,127,65,5,Quarterfinal loss
2004 - 2005,Lukko,Liiga,56,28,-,18,4,6,152,130,98,5,Bronze game loss
2005 - 2006,Lukko,Liiga,56,16,-,32,3,5,121,150,59,13,Did not make playoffs
2006 - 2007,Lukko,Liiga,56,21,-,22,5,8,183,191,81,8,Playoffs Qualifier loss
2007 - 2008,Lukko,Liiga,56,18,-,28,4,6,137,156,68,9,Playoffs Qualifier loss
2008 - 2009,Lukko,Liiga,58,21,-,28,6,3,144,150,78,11,Saved in play-out
2009 - 2010,Lukko,Liiga,58,30,-,16,5,7,178,136,107,3,Quarterfinal loss
2010 - 2011,Lukko,Liiga,60,27,-,22,6,5,175,157,98,4,Bronze game win
2011 - 2012,Lukko,Liiga,60,21,-,28,7,4,162,167,81,9,Playoffs Qualifier loss
2012 - 2013,Lukko,Liiga,60,24,-,25,3,8,151,170,86,10,Bronze game loss
2013 - 2014,Lukko,Liiga,60,30,-,23,4,3,153,138,101,3,Bronze game win
2014 - 2015,Lukko,Liiga,60,24,-,12,7,17,163,147,103,3,Bronze game loss
