Movable-Bascule,Arch-Thru,Arch-Deck,Box Beam or Girders (Single or Spread),Truss-Deck,Slab,Suspension
0,3,305,42,8,447,0
0,1,33,0,0,38,2
0,1,17,2,3,312,0
4,1,94,15,3,193,0
0,0,41,0,1,266,0
41,4,48,4,4,430,2
3,21,667,613,38,379,10
0,4,21,0,1,101,0
1,5,38,21,9,"1,299",3
0,6,69,123,4,842,5
11,10,174,54,43,"1,249",7
1,4,113,130,5,90,0
0,0,12,134,5,190,0
0,0,1,12,0,15,0
0,0,32,4,2,109,0
2,0,32,6,1,411,0
25,0,130,9,5,193,2
2,3,32,1,2,59,0
0,6,18,50,3,48,1
0,0,2,10,1,47,0
0,0,4,0,4,82,0
0,0,1,1,2,126,0
0,1,3,6,1,56,0
8,1,10,4,1,11,1
0,0,11,125,0,176,0
1,11,10,1,4,96,0
19,0,32,0,4,354,0
0,5,81,4,1,854,0
0,0,1,0,1,7,0
