SB,AB,SH
3,202,2
8,455,2
0,16,0
2,491,0
19,398,11
4,160,3
6,333,2
3,221,0
8,273,4
3,157,2
3,85,0
0,3,0
0,4,1
0,79,2
12,526,0
2,261,0
1,259,0
0,72,0
3,71,1
1,75,1
0,32,0
0,19,0
7,249,3
4,98,1
0,132,1
4,249,1
4,157,1
0,56,1
0,15,0
2,354,4
0,9,0
11,283,0
0,70,1
0,100,0
8,203,5
0,94,1
0,71,1
0,6,0
6,423,7
1,65,1
0,237,2
0,5,0
1,55,0
0,14,3
8,236,1
1,33,1
1,37,2
0,46,1
1,326,2
9,457,0
0,31,0
14,347,9
8,218,4
4,450,0
3,67,1
1,74,3
2,118,2
3,43,3
5,497,0
7,126,1
14,326,0
0,12,0
1,119,0
18,282,4
7,364,1
3,109,1
0,6,0
1,120,0
18,384,0
0,166,0
0,49,0
8,418,4
1,81,6
9,443,3
13,465,9
0,3,0
0,8,0
1,44,1
0,144,1
1,15,0
6,128,0
0,0,0
3,115,3
1,22,0
1,73,0
1,99,2
3,103,2
2,129,4
12,266,2
24,344,5
7,155,1
2,272,0
2,429,2
3,211,8
34,406,4
1,243,2
8,171,0
0,10,0
5,223,0
1,5,0
0,6,0
0,82,2
0,16,0
6,147,4
2,82,2
1,281,1
7,240,8
30,232,1
1,170,8
50,532,4
0,74,2
0,171,0
6,450,1
0,0,0
0,226,1
2,37,0
19,404,1
3,169,6
0,17,1
1,463,0
3,144,3
1,14,0
0,27,0
0,2,0
8,335,7
0,68,2
0,0,0
3,284,3
0,133,3
4,544,31
0,97,0
0,12,1
1,139,4
0,55,0
2,108,3
0,30,1
9,320,11
0,17,0
6,335,5
11,193,0
27,424,1
5,136,3
0,49,0
0,1,0
4,21,0
0,36,0
0,18,0
1,305,2
6,496,0
6,447,0
3,195,0
0,198,0
15,433,7
21,491,16
0,7,0
22,470,7
