SF,SB,SLG,3B,G,AVG,BB
0,0,.406,0,8,.250,5
0,0,.364,1,8,.273,3
0,0,.533,0,4,.267,0
0,8,.511,3,63,.316,22
3,0,.430,2,56,.280,17
0,0,.300,0,8,.200,3
0,9,.366,1,36,.276,6
0,2,.286,1,34,.226,16
3,9,.315,1,46,.238,17
0,1,.698,1,12,.419,5
0,2,.309,1,39,.228,5
0,0,--,0,0,--,0
0,2,.276,0,11,.241,3
1,1,.371,1,33,.181,5
1,10,.593,6,63,.362,13
1,1,.667,1,19,.362,9
0,0,.185,0,9,.111,3
4,13,.488,5,60,.285,14
3,4,.528,3,70,.312,27
2,3,.584,7,67,.319,26
0,0,.200,0,6,.200,2
2,5,.439,2,63,.307,12
3,1,.479,2,29,.302,10
2,21,.406,3,57,.257,29
0,2,.414,0,15,.328,3
2,0,.395,0,29,.286,4
0,0,.391,0,42,.263,16
2,1,.603,1,48,.333,19
0,0,.444,0,7,.296,2
0,4,.259,1,49,.222,9
2,3,.425,3,57,.271,17
2,3,.254,0,43,.175,14
0,0,.235,0,6,.176,3
2,6,.461,0,29,.322,16
2,1,.529,8,70,.285,13
1,1,.312,0,25,.260,4
5,24,.568,2,68,.353,36
0,0,.302,0,13,.209,2
0,2,.437,2,45,.272,19
0,3,.513,1,53,.256,16
0,0,.269,0,20,.192,7
1,4,.471,9,68,.273,10
1,2,.493,3,60,.372,16
0,0,.600,0,1,.400,1
0,2,.362,1,29,.333,6
1,1,.515,1,8,.303,1
1,27,.293,3,46,.247,15
1,16,.442,2,32,.265,16
2,28,.330,5,63,.270,39
0,0,.000,0,2,.000,1
1,14,.443,2,45,.307,5
3,1,.478,4,56,.348,17
0,0,1.000,0,2,1.000,0
0,7,.614,2,46,.281,16
1,8,.446,2,26,.348,13
1,5,.421,3,70,.271,35
0,5,.286,1,54,.206,22
1,5,.306,0,39,.289,17
5,1,.393,2,68,.240,33
2,2,.376,0,34,.257,7
0,0,.273,0,8,.182,2
1,0,.341,0,25,.239,13
1,1,.462,1,41,.255,10
0,0,.231,0,4,.154,2
2,1,.471,2,48,.306,27
0,4,.413,2,41,.293,28
0,5,.372,3,43,.255,16
3,0,.408,2,70,.262,24
0,1,.625,1,24,.354,5
2,4,.386,2,43,.298,14
0,0,.000,0,3,.000,0
