LG,PA,AVG,LVL,oppSLG,oppOPS,SLG
NL,504,0.225,MLB,0.393,0.708,0.326
AL,324,0.244,MLB,0.392,0.707,0.439
AL,576,0.306,MLB,0.405,0.727,0.503
AL,740,0.252,MLB,0.408,0.726,0.379
NL,722,0.234,MLB,0.393,0.702,0.371
NL,532,0.259,MLB,0.393,0.701,0.367
AL,769,0.264,MLB,0.404,0.722,0.369
AL,803,0.222,MLB,0.404,0.724,0.312
NL,356,0.241,MLB,0.395,0.712,0.388
NL,703,0.268,MLB,0.389,0.7,0.445
NL,292,0.177,MLB,0.411,0.735,0.273
NL,681,0.182,MLB,0.395,0.71,0.265
AL,705,0.261,MLB,0.407,0.726,0.391
AL,728,0.272,MLB,0.406,0.723,0.442
AL,384,0.305,MLB,0.415,0.738,0.488
AL,642,0.216,MLB,0.402,0.719,0.343
NL,327,0.263,MLB,0.383,0.692,0.346
NL,534,0.245,MLB,0.387,0.695,0.363
NL,777,0.281,MLB,0.386,0.694,0.436
NL,311,0.223,MLB,0.398,0.716,0.319
NL,730,0.207,MLB,0.385,0.695,0.307
AL,415,0.25,MLB,0.392,0.706,0.401
NL,512,0.229,MLB,0.387,0.698,0.395
AL,943,0.242,MLB,0.408,0.727,0.422
AL,387,0.249,MLB,0.394,0.71,0.359
NL,820,0.232,MLB,0.38,0.687,0.382
AL,620,0.269,MLB,0.408,0.729,0.377
AL,667,0.258,MLB,0.401,0.719,0.437
NL,305,0.234,MLB,0.392,0.707,0.291
AL,784,0.275,MLB,0.409,0.727,0.411
NL,636,0.261,MLB,0.378,0.689,0.404
NL,860,0.24,MLB,0.388,0.696,0.376
NL,717,0.234,MLB,0.391,0.702,0.355
AL,881,0.281,MLB,0.393,0.709,0.381
NL,905,0.246,MLB,0.374,0.678,0.404
NL,621,0.281,MLB,0.374,0.676,0.398
AL,792,0.297,MLB,0.401,0.72,0.462
NL,849,0.234,MLB,0.395,0.704,0.369
AL,777,0.247,MLB,0.406,0.723,0.413
NL,783,0.252,MLB,0.382,0.691,0.361
AL,777,0.239,MLB,0.399,0.716,0.367
AL,586,0.318,MLB,0.404,0.727,0.519
AL,754,0.256,MLB,0.407,0.725,0.435
NL,800,0.285,MLB,0.379,0.685,0.42
NL,841,0.268,MLB,0.392,0.702,0.423
AL,736,0.27,MLB,0.395,0.708,0.395
AL,640,0.233,MLB,0.402,0.719,0.358
NL,717,0.268,MLB,0.388,0.7,0.454
NL,476,0.278,MLB,0.39,0.703,0.367
NL,670,0.28,MLB,0.378,0.683,0.431
AL,946,0.251,MLB,0.402,0.721,0.369
NL,841,0.248,MLB,0.396,0.709,0.389
NL,666,0.224,MLB,0.399,0.713,0.314
NL,773,0.261,MLB,0.388,0.7,0.395
NL,376,0.234,MLB,0.389,0.699,0.367
AL,324,0.239,MLB,0.407,0.725,0.451
NL,340,0.262,MLB,0.388,0.7,0.359
AL,712,0.243,MLB,0.403,0.722,0.413
AL,908,0.272,MLB,0.41,0.731,0.445
AL,526,0.274,MLB,0.411,0.733,0.486
NL,335,0.25,MLB,0.392,0.705,0.349
AL,618,0.307,MLB,0.4,0.719,0.447
AL,578,0.228,MLB,0.417,0.742,0.353
AL,663,0.26,MLB,0.404,0.724,0.425
AL,336,0.223,MLB,0.402,0.723,0.357
AL,498,0.237,MLB,0.406,0.728,0.381
NL,760,0.228,MLB,0.387,0.697,0.389
AL,824,0.249,MLB,0.418,0.741,0.392
AL,416,0.199,MLB,0.398,0.713,0.277
NL,473,0.264,MLB,0.392,0.706,0.494
NL,659,0.291,MLB,0.396,0.709,0.452
NL,802,0.264,MLB,0.385,0.696,0.384
NL,467,0.299,MLB,0.389,0.698,0.477
NL,418,0.237,MLB,0.387,0.701,0.339
AL,913,0.246,MLB,0.399,0.713,0.361
AL,461,0.259,MLB,0.398,0.716,0.375
AL,737,0.274,MLB,0.408,0.729,0.45
AL,876,0.276,MLB,0.405,0.725,0.43
AL,642,0.285,MLB,0.411,0.731,0.451
AL,832,0.247,MLB,0.405,0.725,0.395
AL,866,0.23,MLB,0.402,0.724,0.354
NL,908,0.195,MLB,0.384,0.693,0.277
NL,914,0.255,MLB,0.394,0.706,0.411
AL,376,0.265,MLB,0.404,0.722,0.407
NL,338,0.201,MLB,0.396,0.714,0.298
NL,601,0.261,MLB,0.383,0.691,0.421
NL,819,0.231,MLB,0.38,0.685,0.363
AL,315,0.247,MLB,0.392,0.706,0.351
NL,457,0.295,MLB,0.388,0.696,0.45
NL,881,0.247,MLB,0.393,0.706,0.363
AL,419,0.289,MLB,0.414,0.738,0.455
NL,359,0.214,MLB,0.389,0.702,0.336
NL,395,0.291,MLB,0.389,0.696,0.481
NL,865,0.239,MLB,0.377,0.683,0.375
AL,644,0.276,MLB,0.397,0.709,0.426
AL,428,0.231,MLB,0.413,0.737,0.366
NL,816,0.253,MLB,0.379,0.688,0.375
NL,523,0.293,MLB,0.385,0.688,0.401
NL,820,0.258,MLB,0.378,0.685,0.398
AL,634,0.237,MLB,0.408,0.729,0.382
NL,806,0.259,MLB,0.39,0.702,0.406
NL,556,0.26,MLB,0.385,0.692,0.442
AL,608,0.271,MLB,0.398,0.717,0.413
AL,365,0.241,MLB,0.405,0.725,0.455
NL,823,0.258,MLB,0.395,0.706,0.442
AL,845,0.241,MLB,0.414,0.739,0.427
AL,529,0.267,MLB,0.403,0.72,0.407
