Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jack Hannahan,Paw,7,26,6,7,1,0,1,2,0,0,5,7,0.269,0.387,0.423,0.81
Nate Spears,Por,29,117,19,34,6,1,4,18,3,0,10,20,0.291,0.344,0.462,0.805
Ryan Shealy,Paw,13,47,8,11,2,0,3,7,0,0,7,16,0.234,0.333,0.468,0.801
Jacoby Ellsbury,PawGCL,4,12,4,4,0,0,0,0,1,0,2,0,0.333,0.467,0.333,0.8
Mitch Dening,Sal,23,87,17,27,3,2,0,9,7,1,11,11,0.31,0.406,0.391,0.797
Ray Chang,Por,27,107,16,31,6,0,3,11,0,0,9,18,0.29,0.358,0.43,0.788
Curtney Doran,DSL,26,84,12,20,5,1,1,9,4,5,23,21,0.238,0.418,0.357,0.775
Yamaico Navarro,Por,27,105,18,28,4,2,2,19,5,2,18,17,0.267,0.371,0.4,0.771
Oscar Perez,GCL,13,37,4,13,1,0,0,3,1,0,2,11,0.351,0.385,0.378,0.763
Tug Hulett,Paw,22,70,10,19,8,0,0,6,1,1,11,15,0.271,0.373,0.386,0.759
Henry Ramos,GCL,25,78,12,25,5,0,0,8,7,4,6,16,0.321,0.372,0.385,0.757
Jonathan Hee,Sal,17,56,8,17,4,0,0,4,0,0,7,12,0.304,0.381,0.375,0.756
Roberto Duncan,DSL,8,23,2,6,1,0,0,3,1,0,7,3,0.261,0.452,0.304,0.756
Heiker Meneses,GCL,26,107,12,31,5,2,2,10,12,4,5,21,0.29,0.321,0.43,0.751
Jordan Sallis,GCL,2,4,0,1,0,0,0,0,1,1,2,0,0.25,0.5,0.25,0.75
Aly Gonzalez,DSL,10,28,6,8,0,0,0,5,0,0,8,2,0.286,0.459,0.286,0.745
Matt Sheely,Por,22,67,7,17,3,3,1,11,3,2,4,21,0.254,0.311,0.433,0.744
Tim Federowicz,Sal,23,76,10,21,4,1,0,10,0,0,13,15,0.276,0.389,0.355,0.744
Bubba Bell,Paw,15,57,7,16,1,0,2,9,2,0,5,11,0.281,0.339,0.404,0.742
Gil Velazquez,Paw,25,84,10,23,6,2,0,8,2,0,8,19,0.274,0.344,0.393,0.737
Leonel Escobar,GCL,16,36,3,11,0,0,0,3,1,0,5,7,0.306,0.422,0.306,0.728
Ryan Lavarnway,PorSal,25,92,18,22,5,0,2,23,0,0,13,28,0.239,0.364,0.359,0.722
Derrik Gibson,Gre,26,105,21,28,5,2,1,10,9,1,11,20,0.267,0.339,0.381,0.72
Xander Bogaerts,DSL,26,101,16,29,3,0,1,11,1,2,14,20,0.287,0.373,0.347,0.719
Kolbrin Vitek,Low,27,105,14,27,7,2,1,12,6,1,10,29,0.257,0.328,0.39,0.718
