Game Date,Player,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1993-04-10,Mike Draper,NYN,HOU,L 3-6 vs HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1st career game
1993-04-14,Mike Draper,NYN,COL,W 6-3 @COL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1st career hit
1993-04-17,Charlie O'Brien,NYN,CIN,W 4-1 @CIN,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,342,1st career stolen base
1993-04-21,Tim Bogar,NYN,SFN,W 10-0 vs SFN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1st career game
1993-04-23,Bobby Bonilla,NYN,SDN,W 6-1 vs SDN,3,2,2,0,0,2,5,0,0,1,0,0,1,0,0,0,1060,"2 home runs, 5 RBIs"
1993-04-28,Frank Tanana,NYN,SFN,L 3-4 @SFN,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,31,"1st career hit, 1st career RBI"
1993-05-09,Tim Bogar,NYN,FLO,L 4-6 vs FLO,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1st career hit
1993-05-11,Tim Bogar,NYN,SLN,L 4-7 @SLN,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,7,1st career RBI
1993-05-14,Wayne Housie,NYN,MON,L 7-8 @MON,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,1st career RBI
1993-05-30,Tim Bogar,NYN,CIN,L 4-8 vs CIN,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,15,1st career home run
1993-05-30,Bobby Bonilla,NYN,CIN,L 4-8 vs CIN,4,2,2,0,0,2,3,0,0,0,0,0,0,0,0,0,1092,2 home runs
1993-06-10,Bobby Bonilla,NYN,PHI,L 6-7 vs PHI,4,2,2,0,0,2,4,0,0,1,1,0,0,0,0,0,1102,2 home runs
1993-06-12,Dave Telgheder,NYN,PHI,L 0-3 vs PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1st career game
1993-06-13,Doug Saunders,NYN,PHI,L 3-5 vs PHI,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1st career game, 1st career hit"
1993-06-15,Eddie Murray,NYN,ATL,L 1-2 @ATL,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500th career game
1993-06-21,Jeromy Burnitz,NYN,MON,W 8-3 vs MON,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1st career game
1993-06-21,Dave Telgheder,NYN,MON,W 8-3 vs MON,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1st career hit
1993-06-22,Jeromy Burnitz,NYN,MON,L 3-6 vs MON,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1st career hit
