SB,SH,G,AB,Team,SF,SLG
1,0,7,26,MB,0,.385
0,0,1,0,POT,0,--
0,3,26,73,WIL,0,.164
14,10,68,219,WIL,1,.279
1,2,26,84,WIL,0,.357
10,5,122,436,MB,3,.404
0,0,5,16,POT,0,.563
0,0,14,53,FRE,0,.245
1,1,15,45,WS,0,.356
2,0,41,124,SAL,0,.452
22,5,49,211,WS,1,.360
16,0,107,361,POT,3,.388
1,1,39,153,CAR,4,.366
0,0,3,11,MB,0,.182
2,0,62,216,SAL,4,.333
15,0,63,214,SAL,0,.547
0,0,6,19,WIL,0,.158
10,1,87,302,WS,2,.391
0,0,0,0,WS,0,--
3,0,38,124,WS,2,.274
1,1,23,82,CAR,0,.256
3,5,43,147,CAR,3,.238
0,1,73,241,CAR,3,.419
0,3,24,84,LYN,0,.226
10,1,41,131,FRE,0,.397
2,2,29,95,MB,1,.368
0,0,2,3,FRE,0,.000
3,0,30,110,POT,1,.464
5,1,59,191,POT,2,.335
1,1,19,59,SAL,0,.220
18,2,134,518,CAR,2,.400
0,0,75,285,FRE,2,.439
0,0,53,185,CAR,5,.346
1,1,20,71,CAR,0,.380
20,1,51,185,SAL,1,.551
0,0,4,17,FRE,0,.294
19,2,97,364,FRE,0,.313
0,0,1,2,FRE,0,.000
5,0,39,130,WIL,0,.338
15,2,103,323,POT,2,.341
0,0,1,3,POT,0,.000
0,0,12,41,CAR,0,.366
10,1,107,413,CAR,6,.513
6,0,65,229,SAL,1,.424
0,0,1,1,POT,0,.000
2,0,39,132,WIL,2,.394
10,1,135,506,MB,8,.385
5,3,72,272,MB,3,.390
0,0,1,0,SAL,0,--
0,2,89,308,MB,2,.393
5,0,65,244,CAR,2,.381
27,11,124,478,WIL,1,.301
5,1,45,159,FRE,1,.358
3,2,39,152,WIL,2,.395
2,0,71,254,WIL,3,.469
10,0,81,291,SAL,3,.440
11,11,56,202,SAL,2,.327
0,0,4,11,POT,0,.273
2,0,56,186,LYN,1,.392
1,0,10,25,LYN,0,.080
7,1,84,293,FRE,2,.345
11,0,48,195,SAL,4,.513
4,2,101,384,WS,3,.464
43,4,106,415,FRE,2,.287
0,1,16,45,LYN,0,.267
0,0,15,49,WIL,2,.388
8,4,115,416,FRE,7,.291
8,2,117,361,MB,3,.302
2,2,11,35,POT,0,.286
0,0,16,52,WS,0,.519
4,2,53,178,LYN,1,.320
0,2,39,143,CAR,3,.343
2,0,10,32,FRE,0,.281
1,0,16,58,WIL,0,.259
3,1,65,221,FRE,0,.421
0,0,1,1,POT,0,.000
3,2,86,308,MB,6,.334
0,0,1,1,POT,0,.000
8,10,120,428,POT,2,.299
15,1,92,337,CAR,9,.427
2,1,34,108,SAL,2,.222
1,0,74,280,LYN,3,.579
0,0,1,0,SAL,0,--
0,0,6,18,POT,0,.278
0,1,74,285,MB,4,.330
14,2,37,108,CAR,0,.259
51,2,133,509,POT,7,.426
5,0,61,226,FRE,0,.469
3,0,119,422,WS,2,.396
2,0,38,115,FRE,1,.461
8,3,100,365,FRE,5,.293
1,0,60,225,WIL,2,.418
8,1,120,455,FRE,1,.349
14,2,108,448,CAR,1,.424
0,0,1,5,MB,0,.200
1,1,10,35,CAR,0,.200
5,5,70,257,MB,2,.311
0,0,10,34,WIL,0,.265
0,1,4,12,SAL,0,.167
6,4,54,186,SAL,2,.263
2,0,29,99,SAL,1,.475
0,0,2,6,FRE,0,.167
1,1,119,437,WIL,0,.348
4,3,88,297,WIL,8,.293
