Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,11.00K,0.00K
GASTON,LEXINGTON CO.,SC,11/15/2006,23:50,EST-5,Thunderstorm Wind,55 kts. EG,0,0,0.00K,0.00K
COLUMBIA,RICHLAND CO.,SC,11/16/2006,00:15,EST-5,Flash Flood, ,0,0,0.00K,0.00K
BOWMAN,ORANGEBURG CO.,SC,11/16/2006,00:52,EST-5,Thunderstorm Wind,55 kts. EG,0,0,0.00K,0.00K
MANNING,CLARENDON CO.,SC,11/16/2006,01:05,EST-5,Thunderstorm Wind,55 kts. EG,0,0,1.00K,0.00K
MANNING,CLARENDON CO.,SC,11/16/2006,01:19,EST-5,Tornado,F1,0,0,5.00K,0.00K
SUMTER,SUMTER CO.,SC,11/16/2006,01:21,EST-5,Thunderstorm Wind,60 kts. EG,0,0,5.00K,0.00K
LYNCHBURG,LEE CO.,SC,11/16/2006,01:37,EST-5,Thunderstorm Wind,55 kts. EG,0,0,0.00K,0.00K
CHERAW,CHESTERFIELD CO.,SC,11/16/2006,01:53,EST-5,Thunderstorm Wind,55 kts. EG,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,0,11.00K,0.00K
