FGA,3PA,PF,#,FTA,3PM,TOV,FTM
5.6,1.0,2.8,42,2.8,0.2,1.6,2.3
6.2,1.4,2.8,27,2.6,0.6,1.7,1.6
4.2,2.0,1.6,51,1.2,0.7,0.8,1.0
12.0,4.7,2.7,2,6.0,1.7,2.0,5.1
10.1,3.4,1.5,14,4.3,1.0,2.7,3.7
13.2,3.9,2.0,1,6.2,1.3,2.1,4.5
9.4,4.3,2.9,19,2.8,1.7,3.6,2.4
12.6,6.1,2.7,8,3.4,2.1,3.8,3.0
6.7,0.0,3.0,13,5.1,0.0,2.1,3.8
3.8,1.3,1.1,58,1.4,0.5,0.9,1.0
4.1,0.2,2.6,59,1.3,0.0,1.0,0.7
4.2,0.6,2.2,47,1.7,0.2,1.0,1.1
7.6,2.1,1.7,25,1.8,0.4,2.1,1.5
5.3,1.1,2.9,35,2.2,0.2,2.5,1.1
6.7,2.1,2.6,32,2.3,0.7,1.7,1.8
8.3,3.8,2.5,22,1.1,1.5,1.4,0.9
4.8,0.9,1.8,46,1.4,0.2,0.9,0.9
7.1,0.2,2.6,23,5.5,0.0,2.3,2.4
7.4,1.5,1.6,29,2.6,0.5,1.4,2.0
8.6,4.0,1.0,26,1.7,1.4,2.2,1.2
4.9,3.9,1.3,44,0.9,1.6,1.2,0.9
9.9,0.8,2.7,17,2.3,0.3,1.0,1.2
4.6,0.0,2.3,43,2.5,0.0,1.0,1.6
5.4,0.2,2.3,37,2.8,0.0,1.6,1.6
6.6,2.7,1.9,24,1.5,1.1,1.9,1.0
7.4,3.9,2.2,31,1.3,1.3,1.1,0.8
4.2,1.7,1.2,56,1.6,0.4,0.8,1.2
