Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jarrod Saltalamacchia,Bos,121,405,55,89,17,1,25,59,0,1,38,139,0.22,0.286,0.452,0.738
Cody Ross,Bos,130,476,70,127,34,1,22,81,2,3,42,129,0.267,0.326,0.481,0.807
Adrian Gonzalez,Bos,123,484,63,145,37,0,15,86,0,0,31,81,0.3,0.343,0.469,0.812
Mike Aviles,Bos,136,512,56,128,28,0,13,60,14,5,23,77,0.25,0.282,0.381,0.663
Will Middlebrooks,Bos,75,267,34,77,14,0,15,54,4,1,13,70,0.288,0.325,0.509,0.835
Daniel Nava,Bos,88,267,38,65,21,0,6,33,3,0,37,63,0.243,0.352,0.39,0.742
Kelly Shoppach,Bos,48,140,16,35,12,2,5,17,1,0,11,62,0.25,0.327,0.471,0.798
Dustin Pedroia,Bos,141,563,81,163,39,3,15,65,20,5,48,60,0.29,0.347,0.449,0.797
David Ortiz,Bos,90,324,65,103,26,0,23,60,0,1,56,51,0.318,0.415,0.611,1.026
Pedro Ciriaco,Bos,76,259,32,76,15,2,2,19,16,3,8,47,0.293,0.315,0.39,0.705
Jacoby Ellsbury,Bos,74,303,43,82,18,0,4,26,13,3,19,43,0.271,0.313,0.37,0.682
Ryan Sweeney,Bos,63,204,22,53,19,2,0,16,0,0,12,43,0.26,0.303,0.373,0.675
Ryan Lavarnway,Bos,46,153,11,24,8,0,2,12,0,0,11,41,0.157,0.211,0.248,0.459
Kevin Youkilis,Bos,42,146,25,34,7,1,4,14,0,0,14,39,0.233,0.315,0.377,0.692
Scott Podsednik,Bos,63,199,19,60,7,0,1,12,8,2,6,35,0.302,0.322,0.352,0.674
Nick Punto,Bos,65,125,13,25,6,0,1,10,5,0,19,33,0.2,0.301,0.272,0.573
Mauro Gomez,Bos,37,102,14,28,5,2,2,17,0,0,8,26,0.275,0.324,0.422,0.746
Ryan Kalish,Bos,36,96,12,22,3,0,0,5,3,2,6,26,0.229,0.272,0.26,0.532
Carl Crawford,Bos,31,117,23,33,10,2,3,19,6,0,3,22,0.282,0.306,0.479,0.785
Marlon Byrd,Bos,34,100,9,27,2,0,1,7,0,2,2,21,0.27,0.286,0.32,0.606
Darnell McDonald,Bos,39,84,16,18,7,0,2,9,1,1,12,17,0.214,0.309,0.369,0.678
Jose Iglesias,Bos,25,68,5,8,2,0,1,2,1,0,4,16,0.118,0.2,0.191,0.391
James Loney,Bos,30,100,5,23,2,0,2,8,0,0,5,12,0.23,0.264,0.31,0.574
