Date,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
10/26/2013,POR @ CHV,L 5-0,Started,90,0,0,0,0,0,1,0,0
10/23/2013,CHV @ RSL,L 1-2,Started,90,0,0,0,0,1,1,0,0
10/6/2013,CHV @ LA,L 0-5,Started,90,0,0,0,0,1,0,0,0
9/29/2013,SJ @ CHV,L 1-0,Started,90,0,0,0,0,0,1,0,0
9/21/2013,CHV @ HOU,L 1-5,Started,90,0,0,0,0,1,1,0,0
9/14/2013,POR @ CHV,T 1-1,Started,77,0,0,0,0,0,0,0,0
9/8/2013,DC @ CHV,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/4/2013,CHV @ SEA,L 0-1,Started,90,0,0,2,0,1,0,1,0
9/1/2013,CHV @ VAN,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/25/2013,NY @ CHV,W 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
8/21/2013,DAL @ CHV,L 3-1,Started,90,0,0,1,0,0,4,0,0
8/11/2013,COL @ CHV,T 1-1,Started,90,0,0,0,0,0,0,0,0
8/3/2013,CHV @ SJ,L 0-2,Started,90,0,0,0,0,0,0,0,0
7/28/2013,CHV @ SEA,L 1-2,Started,90,0,0,0,0,3,0,0,0
7/17/2013,TOR @ CHV,W 0-1,Started,90,0,0,1,0,2,1,0,0
7/12/2013,CHV @ PHI,L 1-3,Started,90,0,0,0,0,2,3,0,0
7/7/2013,CHV @ MTL,T 1-1,Started,90,0,0,0,0,2,0,0,0
7/4/2013,CHV @ DAL,T 0-0,Started,90,0,0,0,0,1,3,0,0
6/29/2013,NE @ CHV,T 1-1,Started,90,0,0,0,0,0,0,0,0
6/23/2013,LA @ CHV,L 1-0,Started,90,0,0,0,0,0,3,0,0
6/19/2013,CHV @ VAN,L 1-3,Started,90,0,0,0,0,0,1,0,0
6/1/2013,SEA @ CHV,L 2-0,Started,90,0,0,1,1,4,1,0,0
5/25/2013,CHV @ COL,L 0-2,Started,90,0,0,0,0,1,0,0,0
5/19/2013,RSL @ CHV,L 4-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/12/2013,CHV @ POR,L 0-3,Started,90,0,0,0,0,1,3,1,0
5/5/2013,CHV @ KC,L 0-4,Started,90,0,0,0,0,0,0,0,0
4/27/2013,SJ @ CHV,T 2-2,Started,90,1,0,1,1,2,2,1,0
4/20/2013,CHV @ RSL,L 0-1,Started,40,0,0,0,0,1,0,1,0
4/13/2013,COL @ CHV,L 1-0,Started,90,0,0,0,0,0,0,1,0
3/30/2013,VAN @ CHV,W 1-2,Started,90,0,0,0,0,1,0,0,0
3/24/2013,CHV @ CHI,W 4-1,Started,90,0,0,0,0,2,0,0,0
3/17/2013,CHV @ LA,T 1-1,Started,90,0,0,0,0,1,1,0,0
3/10/2013,DAL @ CHV,W 1-3,Started,90,0,0,0,0,1,1,1,0
3/2/2013,CLB @ CHV,L 3-0,Started,90,0,0,1,0,1,0,0,0
