#,3PM,FTM,PTS,FG%,GP
14,14,139,747,0.515,62
32,9,45,374,0.435,43
98,10,7,63,0.411,8
4,162,244,1654,0.425,78
75,11,16,105,0.448,14
94,0,21,71,0.417,12
52,21,32,181,0.368,8
59,37,1,150,0.471,21
70,21,9,122,0.434,18
91,1,18,77,0.475,6
46,33,14,213,0.366,33
28,92,24,486,0.471,50
42,5,51,236,0.476,12
17,11,165,688,0.461,42
96,9,5,66,0.531,5
60,0,27,145,0.527,10
40,24,81,253,0.433,16
84,5,9,86,0.48,8
69,7,14,127,0.442,18
92,14,1,73,0.492,9
63,0,27,143,0.487,39
74,2,26,106,0.549,7
67,11,16,129,0.455,8
55,0,18,168,0.457,15
53,14,36,178,0.492,14
61,0,36,144,0.621,13
27,5,64,517,0.478,73
33,0,67,357,0.487,46
1,67,1190,4313,0.481,246
76,6,31,103,0.33,24
66,12,27,135,0.39,7
44,0,52,230,0.461,18
10,197,119,916,0.38,131
58,24,21,151,0.411,20
50,17,25,194,0.444,13
90,0,13,79,0.508,19
49,0,32,198,0.553,29
19,0,110,680,0.461,136
73,13,24,111,0.407,11
77,0,14,102,0.436,31
39,20,58,304,0.448,12
8,3,237,1082,0.54,62
24,116,33,539,0.392,77
85,6,19,85,0.417,8
34,28,53,353,0.428,27
86,17,7,84,0.357,14
9,50,233,945,0.499,49
89,10,12,80,0.341,19
11,68,167,909,0.462,63
20,37,113,674,0.449,48
12,60,147,883,0.523,39
62,7,24,143,0.538,10
80,4,16,98,0.6,5
51,0,27,191,0.488,18
16,26,124,696,0.48,50
30,48,69,407,0.432,30
