SH,BB,H,AVG
0,0,4,.333
0,20,42,.246
0,1,5,.333
2,21,23,.221
1,5,14,.255
0,0,2,.182
0,5,6,.429
1,8,18,.240
0,3,10,.323
0,4,4,.235
0,7,13,.250
0,1,4,.121
0,2,15,.200
0,3,7,.304
0,10,25,.214
1,13,40,.310
1,18,53,.256
0,7,20,.233
0,1,2,.182
1,18,23,.225
0,8,8,.163
1,2,2,.077
1,13,32,.302
0,4,3,.120
4,10,23,.295
0,2,0,.000
1,4,4,.138
0,9,18,.257
0,4,8,.216
2,10,31,.191
0,13,30,.221
0,5,7,.140
0,25,25,.203
2,20,51,.279
0,1,9,.409
1,16,40,.294
0,13,40,.270
0,3,4,.182
0,0,1,.250
1,11,33,.292
0,1,2,.286
1,33,53,.272
1,19,39,.325
0,18,30,.244
0,6,3,.167
2,17,44,.270
0,19,53,.301
1,7,27,.281
1,6,57,.339
0,19,36,.228
0,0,2,.333
0,1,12,.375
0,17,55,.274
1,14,30,.238
0,6,26,.274
0,1,1,.125
0,8,22,.272
0,4,12,.211
0,2,2,.182
1,16,31,.230
1,3,9,.130
0,1,19,.284
0,9,26,.203
0,15,41,.293
0,3,14,.128
0,11,24,.250
1,3,15,.283
0,2,4,.571
3,8,21,.333
3,26,21,.212
1,9,10,.250
1,1,10,.286
0,12,26,.208
0,22,38,.216
2,6,6,.214
2,13,62,.325
0,2,8,.296
0,1,2,.100
0,12,30,.227
0,19,26,.245
0,3,34,.312
0,2,2,.154
4,20,36,.313
0,6,6,.207
0,1,1,.125
2,12,45,.283
0,1,5,.250
0,3,4,.182
0,1,4,.160
0,11,72,.373
0,29,30,.236
0,16,31,.215
0,15,10,.179
0,8,12,.156
0,4,46,.284
0,10,20,.211
0,4,8,.205
1,20,38,.290
0,1,7,.269
0,6,7,.146
0,27,63,.348
0,16,32,.252
0,21,43,.242
0,2,7,.156
1,7,23,.221
0,3,6,.273
