TOV,FGM,PF,Player,3PM
1.4,3.9,2.6,Carlos Strong,1.9
1.4,2.6,1.1,Jon Iati,1.9
1.8,4.0,2.6,Brian Connelly,0.1
2.0,4.2,2.1,Alvin Abreu,2.1
1.1,5.2,2.5,Cavell Johnson,0.2
3.0,3.7,2.7,Mike Christensen,1.8
1.8,5.9,2.8,Darryl Proctor,0.0
2.6,3.7,2.7,Brian Andre,0.0
2.2,2.7,1.7,Jaret Von Rosenberg,1.1
1.2,2.7,2.2,Reggie Fuller,0.0
3.7,6.0,2.6,Mike Trimboli,2.0
2.5,4.7,2.5,Ricky Lucas,1.9
2.2,1.6,2.4,Nick Vier,0.7
1.3,4.5,2.0,Brian Hodges,2.2
1.3,1.7,1.5,Chris Martin,0.3
1.5,2.1,2.4,Sean McNally,0.3
1.3,1.7,3.3,Dane DiLiegro,0.0
2.1,2.7,2.1,Jay Greene,1.9
2.0,2.5,3.3,Emanuel Neto,0.0
2.1,4.5,2.8,Mike Gordon,1.3
1.1,1.5,2.3,Chretien Lukusa,0.4
2.2,2.2,3.1,Matt Wolff,0.4
2.5,6.8,2.8,Marqus Blakely,0.0
2.0,1.7,1.6,Josh Martin,0.8
2.4,4.2,3.1,Warren McLendon,0.2
1.3,3.8,1.9,Mitchell Beauford,0.5
2.2,3.2,3.3,Scott Brittain,0.0
1.0,1.7,1.7,Jerel Hastings,0.2
3.2,6.3,2.6,Corey Lowe,3.5
1.7,5.4,2.0,Ray Barbosa,2.6
2.9,4.2,2.2,Junior Bernal,0.1
