AST%,GmSc,DRtg,Opp,MP,BLK%,G,TRB%
3.8,1.1,109,DEN,32:00,2.0,42,6.4
5.1,3.8,107,NOH,27:00,0.0,38,2.7
0.0,2.7,109,SAS,36:00,0.0,36,7.5
4.9,0.2,91,IND,27:00,5.0,25,9.4
10.8,11.5,93,ATL,31:00,2.2,30,5.3
10.9,5.9,91,BOS,46:00,0.0,62,5.9
0.0,-2.9,111,SEA,21:00,4.3,7,3.0
7.8,4.7,121,POR,23:00,3.3,64,4.8
0.0,-0.7,89,DEN,31:00,2.2,69,12.0
10.8,1.0,116,GSW,26:00,2.8,20,4.7
4.8,7.4,111,SAS,32:00,0.0,55,4.9
10.5,0.5,96,POR,24:00,0.0,33,0.0
23.8,7.0,101,MEM,18:00,3.9,81,11.4
7.1,3.1,94,UTA,25:00,0.0,9,7.4
39.8,1.2,92,CHI,14:00,6.4,8,8.9
15.0,3.8,103,DET,23:00,0.0,54,4.7
10.8,6.5,96,CHI,39:00,0.0,29,8.1
5.9,4.5,87,UTA,35:00,0.0,51,7.4
12.9,1.1,114,DEN,24:00,0.0,71,6.8
16.3,6.4,97,LAL,34:00,0.0,65,5.2
0.0,-0.3,81,ORL,20:00,0.0,5,11.4
0.0,5.0,116,IND,28:00,4.7,13,6.0
7.6,1.8,126,POR,34:00,0.0,27,7.2
21.8,5.9,103,LAC,25:00,3.3,50,2.2
12.9,12.8,109,PHO,39:00,0.0,41,8.6
5.0,7.8,92,SEA,27:00,6.2,28,13.3
5.5,7.3,92,PHO,26:00,0.0,68,8.3
0.0,2.3,115,UTA,20:00,4.1,80,0.0
10.3,4.0,128,HOU,24:00,3.4,61,2.9
0.0,8.6,107,MEM,28:00,2.4,15,10.0
18.6,4.6,106,DAL,31:00,0.0,16,4.1
7.8,-0.2,107,NOH,20:00,0.0,35,6.3
6.5,2.2,87,DET,24:00,3.3,40,17.4
17.8,-0.2,101,LAL,20:00,0.0,72,4.6
10.7,7.3,109,CLE,34:00,2.0,48,5.9
12.7,10.8,124,POR,29:00,2.7,66,7.0
10.6,4.8,95,CLE,25:00,5.3,11,8.8
24.5,7.5,100,LAC,20:00,0.0,73,6.1
13.8,1.5,109,DAL,30:00,0.0,60,3.0
9.3,1.9,89,MIA,35:00,6.9,34,11.3
