Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Corey Kluber,CLE,4,1,0,0,0,0,0,2,1,0,0.25,0.25,0.25,0.5
Jeremy Guthrie,KC,3,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333
Michael Wacha,STL,3,2,0,0,1,2,0,1,0,0,0.667,0.667,1.667,2.333
Jake Arrieta,CHI-N,3,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
Carlos Carrasco,CLE,3,1,0,0,0,0,0,0,1,0,0.333,0.333,0.333,0.667
Danny Duffy,KC,3,1,0,0,1,1,0,0,0,0,0.333,0.333,1.333,1.667
Jon Lester,CHI-N,3,1,0,1,0,1,0,1,0,0,0.333,0.333,1.0,1.333
Trevor Bauer,CLE,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Kyle Hendricks,CHI-N,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Lance Lynn,STL,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Wade Miley,BOS,3,0,0,0,0,0,1,2,0,0,0.0,0.25,0.0,0.25
Joe Kelly,BOS,2,1,0,1,0,1,0,0,0,0,0.5,0.5,1.5,2.0
Edinson Volquez,KC,2,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Ryan Webb,CLE,2,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Chris Young,KC,2,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Sam Tuivailala,STL,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Kelvin Herrera,KC,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
Trevor Rosenthal,STL,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
Craig Breslow,BOS,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Wade Davis,KC,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Luke Hochevar,KC,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Greg Holland,KC,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ryan Madson,KC,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Justin Masterson,BOS,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Franklin Morales,KC,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Neil Ramirez,CHI-N,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Robbie Ross,BOS,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Marc Rzepczynski,CLE,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Danny Salazar,CLE,1,0,0,0,0,0,3,0,0,0,0.0,0.75,0.0,0.75
Bryan Shaw,CLE,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Junichi Tazawa,BOS,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Kyle Crockett,CLE,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
