so,score,era,2b,bb,h,bk,Opponent
4,1-7,3.39,1,4,11,0,West Georgia
8,5-0,2.94,1,1,4,0,COKER COLLEGE
0,11-3,2.92,3,2,9,0,Barton College
4,1-3,2.87,0,4,9,0,LINCOLN MEMORIAL
11,6-4,2.7,0,3,7,0,Young Harris
4,2-1,2.65,0,3,6,0,ERSKINE COLLEGE
2,2-4,3.12,0,4,5,0,LENOIR-RHYNE
6,5-3,2.91,0,2,7,0,Barton College
2,10-11,3.12,5,5,11,0,Tusculum College
5,3-4,3.5,5,1,10,0,Carson-Newman
4,9-10,4.87,1,0,16,0,Carson-Newman
2,1-3,3.25,0,0,8,0,Newberry College
2,2-6,2.82,1,3,8,0,Lincoln Memorial
7,8-3,2.8,0,4,9,0,UVa-Wise
4,0-3,2.91,1,3,5,0,Mount Olive
3,2-0,2.5,0,0,4,0,Pfeiffer University
5,3-4,2.95,2,2,7,0,Tusculum College
7,2-1,2.97,0,2,8,0,QUEENS UNIVERSITY
6,4-2,3.3,0,2,9,0,NORTH GREENVILLE
2,2-6,3.0,2,6,9,0,YOUNG HARRIS
6,3-0,0.0,1,1,5,0,YOUNG HARRIS
7,0-6,3.23,3,2,7,0,Newberry College
7,5-3,3.37,0,4,7,0,NORTH GREENVILLE
3,2-0,2.84,1,2,2,0,Georgia Southwestern
