OPS,AVG,CS,H,BB,GIDP,RBI,SO,POS
0.741,0.252,7,107,46,16,56,99,OF
0.461,0.155,4,13,6,0,6,44,RF
0.68,0.285,16,114,26,2,34,58,CF
0.502,0.167,2,9,3,0,5,8,OF
0.748,0.273,1,6,4,0,1,5,CF
0.591,0.226,2,43,19,9,14,22,CF
0.71,0.255,2,14,5,2,0,14,OF
0.705,0.27,5,101,25,3,41,87,CF
0.789,0.272,1,128,45,9,86,119,LF
0.771,0.296,7,130,17,2,73,123,OF
0.619,0.182,6,30,29,2,16,76,RF
0.622,0.237,7,40,22,2,13,49,OF
0.802,0.23,1,14,4,0,12,22,LF
0.689,0.269,1,21,5,0,14,12,OF
0.875,0.346,0,36,9,0,15,28,OF
0.777,0.3,2,87,7,5,39,44,LF
0.521,0.193,3,16,11,0,3,24,RF
0.545,0.226,8,99,18,14,33,123,CF
0.755,0.289,9,125,31,10,50,95,RF
0.777,0.302,11,146,39,4,42,91,CF
0.8,0.281,3,102,30,14,54,81,OF
0.594,0.185,0,15,5,1,11,32,RF
0.587,0.208,4,58,19,1,28,111,OF
0.655,0.198,0,21,11,0,9,34,CF
0.805,0.278,2,25,16,1,9,30,OF
0.753,0.3,1,21,3,1,7,15,RF
0.502,0.16,0,4,2,0,2,10,RF
0.626,0.228,2,34,13,1,14,53,OF
1.5,0.75,0,3,0,0,0,0,LF
0.679,0.26,4,60,14,4,20,30,OF
0.712,0.258,10,77,42,3,30,101,CF
0.607,0.25,0,12,3,0,2,15,LF
0.718,0.274,3,62,17,2,23,50,OF
0.826,0.278,6,63,21,3,35,65,CF
0.678,0.245,5,69,25,4,53,85,RF
0.543,0.213,1,26,5,3,10,18,OF
0.584,0.217,2,30,3,4,13,24,CF
0.684,0.255,9,110,35,4,29,108,CF
0.25,0.0,0,0,1,0,0,1,CF
0.63,0.259,23,83,28,7,21,69,CF
0.57,0.202,6,89,13,8,49,158,OF
0.658,0.212,0,11,2,1,6,14,OF
0.734,0.292,10,118,32,9,34,82,RF
0.478,0.208,0,5,2,1,1,8,OF
0.773,0.306,11,67,24,8,22,24,OF
0.686,0.27,20,150,35,5,64,132,CF
0.716,0.281,0,95,25,8,32,78,LF
0.809,0.3,4,90,28,4,40,54,CF
0.716,0.241,0,7,7,0,4,12,OF
0.757,0.297,6,41,9,3,14,27,OF
