Rk,Year,G#,Date,Tm,Opp,Result,Quarter,Type,Dist,Quarterback,Score Before,Score After
1,2009,1,2009-09-13,NYG,WAS,W 23-17,2,Receiving,30,Eli Manning,Lead 3-0,Lead 10-0
2,2009,2,2009-09-20,NYG,DAL,W 33-31,2,Receiving,22,Eli Manning,Trail 13-14,Lead 20-14*
3,2009,5,2009-10-11,NYG,OAK,W 44-7,2,Receiving,30,Eli Manning,Lead 14-0,Lead 21-0
4,2009,6,2009-10-18,NYG,NOR,L 27-48,2,Receiving,15,Eli Manning,Trail 10-27,Trail 17-27
5,2009,14,2009-12-21,NYG,WAS,W 45-12,4,Receiving,25,Eli Manning,Lead 38-12,Lead 45-12
Rk,Year,G#,Date,Tm,Opp,Result,Quarter,Type,Dist,Quarterback,Score Before,Score After
6,2010,2,2010-09-19,NYG,IND,L 14-38,3,Receiving,54,Eli Manning,Trail 0-24,Trail 7-24
7,2010,6,2010-10-17,NYG,DET,W 28-20,2,Receiving,33,Eli Manning,Tied 7-7,Lead 14-7*
8,2010,7,2010-10-25,NYG,DAL,W 41-35,3,Receiving,25,Eli Manning,Lead 24-20,Lead 31-20
9,2010,9,2010-11-14,NYG,DAL,L 20-33,3,Receiving,5,Eli Manning,Trail 6-26,Trail 13-26
10,2010,11,2010-11-28,NYG,JAX,W 24-20,4,Receiving,26,Eli Manning,Trail 9-17,Tied 17-17
11,2010,14,2010-12-19,NYG,PHI,L 31-38,1,Receiving,35,Eli Manning,Tied 0-0,Lead 7-0*
12,2010,14,2010-12-19,NYG,PHI,L 31-38,2,Receiving,33,Eli Manning,Lead 7-3,Lead 14-3
13,2010,15,2010-12-26,NYG,GNB,L 17-45,2,Receiving,85,Eli Manning,Trail 7-14,Tied 14-14
14,2010,16,2011-01-02,NYG,WAS,W 17-14,3,Receiving,92,Eli Manning,Lead 10-7,Lead 17-7
Rk,Year,G#,Date,Tm,Opp,Result,Quarter,Type,Dist,Quarterback,Score Before,Score After
15,2011,7,2011-10-30,NYG,MIA,W 20-17,2,Receiving,7,Eli Manning,Trail 3-14,Trail 10-14
16,2011,8,2011-11-06,NYG,NWE,W 24-20,4,Receiving,10,Eli Manning,Trail 10-13,Lead 17-13*
17,2011,9,2011-11-13,NYG,SFO,L 20-27,3,Receiving,13,Eli Manning,Trail 6-12,Lead 13-12*
18,2011,13,2011-12-11,NYG,DAL,W 37-34,3,Receiving,47,Eli Manning,Trail 15-20,Lead 22-20*
Rk,Year,G#,Date,Tm,Opp,Result,Quarter,Type,Dist,Quarterback,Score Before,Score After
19,2012,5,2012-10-07,SFO,BUF,W 45-3,4,Receiving,10,Alex Smith,Lead 24-3,Lead 31-3
