SF,BB,Opp,HR,Player,C-G#,2B,AB,3B,RBI
0,2,TEX,0,Joe Carter,1704,0,4,0,0
0,0,KCA,2,Alex Gonzalez,35,1,5,0,4
0,0,OAK,0,Roberto Alomar,1085,0,5,0,1
0,2,CHA,0,Shannon Stewart,1,0,3,0,0
0,0,DET,2,Lance Parrish,1935,0,4,0,3
0,0,CHA,0,Ed Sprague,459,0,4,0,0
0,0,CHA,0,Joe Carter,1617,0,5,0,1
0,0,MIL,1,Robert Perez,14,1,4,0,1
0,0,SEA,2,John Olerud,729,0,4,0,5
0,0,OAK,1,Ed Sprague,344,0,3,0,5
0,0,NYA,0,Tim Crabtree,1,0,0,0,0
0,1,CHA,0,Paul Molitor,2230,1,4,1,1
0,2,BOS,0,Howard Battle,7,0,3,0,0
0,1,CLE,0,Joe Carter,1721,1,6,0,0
0,0,CHA,0,Giovanni Carrara,1,0,0,0,0
0,0,SEA,0,Paul Molitor,2192,3,5,0,0
2,1,CLE,0,Devon White,1202,0,2,0,2
0,1,CHA,0,Joe Carter,1618,0,4,0,0
0,1,OAK,1,Tomas Perez,13,0,4,0,3
0,0,CLE,2,Joe Carter,1640,0,4,0,3
0,0,BAL,2,Joe Carter,1663,0,4,0,2
0,0,SEA,0,Devon White,1232,3,4,0,0
0,1,CLE,0,Roberto Alomar,1126,0,4,0,1
0,0,CLE,0,Ed Sprague,371,0,5,0,0
0,0,CHA,1,Paul Molitor,2231,1,4,0,1
0,0,NYA,2,Ed Sprague,355,0,5,0,2
0,0,BOS,0,Shannon Stewart,9,0,5,0,1
0,0,BOS,0,Alex Gonzalez,120,0,5,0,1
0,1,DET,0,Candy Maldonado,1352,1,3,0,0
