Open Date,Close date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration,Change
07.19.2010 15:47,07.19.2010 23:59,AUDNZD,Sell,20.0,-,-,1.2303,1.23015,1.5,239.06,8h 12m,0.01%
07.16.2010 11:30,07.19.2010 23:59,AUDNZD,Sell,20.0,-,-,1.2263,1.23015,-38.5,-6297.21,3d,-0.16%
07.16.2010 10:11,07.19.2010 23:59,AUDNZD,Sell,20.0,-,-,1.2241,1.23015,-60.5,-9803.44,3d,-0.25%
07.16.2010 09:11,07.19.2010 23:59,AUDNZD,Sell,20.0,-,-,1.2219,1.23015,-82.5,-13309.66,3d,-0.34%
07.16.2010 01:00,07.19.2010 23:59,AUDNZD,Sell,20.0,-,-,1.2197,1.23015,-104.5,-16815.89,3d,-0.43%
07.14.2010 15:55,07.16.2010 01:00,AUDNZD,Buy,20.0,-,-,1.22635,1.2196,-67.5,-10403.29,1d,-0.27%
07.14.2010 17:12,07.16.2010 01:00,AUDNZD,Buy,20.0,-,-,1.22415,1.2196,-45.5,-6899.35,1d,-0.18%
07.14.2010 18:51,07.16.2010 01:00,AUDNZD,Buy,20.0,-,-,1.22195,1.2196,-23.5,-3395.41,1d,-0.09%
07.14.2010 21:00,07.16.2010 01:00,AUDNZD,Buy,20.0,-,-,1.21975,1.2196,-1.5,108.53,1d,0.00%
07.15.2010 17:14,07.16.2010 01:00,AUDNZD,Buy,20.0,-,-,1.21575,1.2196,38.5,6218.75,7h 46m,0.16%
07.15.2010 21:19,07.16.2010 01:00,AUDNZD,Buy,20.0,-,-,1.21175,1.2196,78.5,12589.55,3h 41m,0.33%
07.14.2010 00:47,07.14.2010 15:55,AUDNZD,Sell,20.0,-,-,1.23125,1.22635,49.0,7809.33,15h 8m,0.20%
07.13.2010 03:20,07.14.2010 00:47,AUDNZD,Buy,20.0,-,-,1.22835,1.2311,27.5,4466.78,21h 27m,0.12%
07.13.2010 08:14,07.14.2010 00:47,AUDNZD,Buy,20.0,-,-,1.22615,1.2311,49.5,7970.72,16h 33m,0.21%
07.13.2010 18:42,07.14.2010 00:47,AUDNZD,Buy,20.0,-,-,1.22395,1.2311,71.5,11474.66,6h 5m,0.30%
07.08.2010 07:28,07.13.2010 03:20,AUDNZD,Sell,20.0,-,-,1.23745,1.2286,88.5,13620.67,4d,0.35%
07.08.2010 03:32,07.13.2010 03:20,AUDNZD,Sell,20.0,-,-,1.23345,1.2286,48.5,7245.71,4d,0.19%
07.06.2010 23:04,07.13.2010 03:20,AUDNZD,Sell,20.0,-,-,1.22945,1.2286,8.5,225.51,6d,0.01%
07.06.2010 17:00,07.13.2010 03:20,AUDNZD,Sell,20.0,-,-,1.22725,1.2286,-13.5,-3280.71,6d,-0.09%
07.06.2010 08:43,07.13.2010 03:20,AUDNZD,Sell,20.0,-,-,1.22505,1.2286,-35.5,-6786.94,6d,-0.18%
