Model,Overall Length,Overall Height,Overall Width,Interior Length,Interior Height,Interior Width,Door Opening Height,Door Opening Width,Ball Size,Brakes,GVWR,Curb Weight,Payload
508HS,11’8″,7’1″,6’6″,8’5″,5’7″,4’8″,4’10”,4’2″,2″,Opt.,2990,920,2070
510HS,13’8″,7’1″,6’6″,10’5″,5’7″,4’8″,4’10”,4’2″,2″,Opt.,2990,1120,1870
512HS,15’8″,7’1″,6’6″,12’5″,5’7″,4’8″,4’10”,4’2″,2″,Opt.,2990,1220,1770
514HS,17’8″,7’1″,6’6″,14’5″,5’7″,4’8″,4’10”,4’2″,2″,Opt.,2990,1320,1670
608HS,12’4″,7’1″,7’6″,8’5″,5’7″,5’8″,4’10”,5’2″,2″,Opt.,2990,1020,1970
610HS,14’4″,7’1″,7’6″,10’5″,5’7″,5’8″,4’10”,5’2″,2″,Opt.,2990,1160,1830
612HS,16’4″,7’1″,7’6″,12’5″,5’7″,5’8″,4’10”,5’2″,2″,Opt.,2990,1300,1690
614HS,18’4″,7’1″,7’6″,14’5″,5’7″,5’8″,4’10”,5’2″,2″,Opt.,2990,1460,1530
710HS,14’4″,7’1″,8’6″,10’5″,5’7″,6’8″,4’10”,6’2″,2″,Opt.,2990,1380,1610
712HS,16’4″,7’1″,8’6″,12’5″,5’7″,6’8″,4’10”,6’2″,2″,Opt.,2990,1500,1490
714HS,18’4″,7’1″,8’6″,14’5″,5’7″,6’8″,4’10”,6’2″,2″,Opt.,2990,1400,1590
612HT,16’4″,8’6″,7’6″,12’5″,6’8″,5’8″,5’11”,5’2″,2 5/16″,4-Wheel,7000,1860,5140
614HT,18’4″,8’6″,7’6″,14’5″,6’8″,5’8″,5’11”,5’2″,2 5/16″,4-Wheel,7000,2000,5000
616HT,20’4″,8’6″,7’6″,16’5″,6’8″,5’8″,5’11”,5’2″,2 5/16″,4-Wheel,7000,2140,4860
618HT,22’4″,8’6″,7’6″,18’5″,6’8″,5’8″,5’11”,5’2″,2 5/16″,4-Wheel,7000,2280,4720
620HT,24’4″,8’6″,7’6″,20’5″,6’8″,5’8″,5’11”,5’2″,2 5/16″,4-Wheel,7000,2460,4540
712HT,16’4″,8’6″,8’6″,12’5″,6’8″,6’8″,5’11”,6’2″,2 5/16″,4-Wheel,7000,2080,4920
714HT,18’4″,8’6″,8’6″,14’5″,6’8″,6’8″,5’11”,6’2″,2 5/16″,4-Wheel,7000,2200,4800
716HT,20’4″,8’6″,8’6″,16’5″,6’8″,6’8″,5’11”,6’2″,2 5/16″,4-Wheel,7000,2460,4540
718HT,22’4″,8’6″,8’6″,18’5″,6’8″,6’8″,5’11”,6’2″,2 5/16″,4-Wheel,7000,2660,4340
720HT,24’4″,8’6″,8’6″,20’5″,6’8″,6’8″,5’11”,6’2″,2 5/16″,4-Wheel,7000,2860,4140
722HT,26’4″,8’6″,8’6″,22’5″,6’8″,6’8″,5’11”,6’2″,2 5/16″,4-Wheel,7000,3060,3940
724HT,28’4″,8’6″,8’6″,24’5″,6’8″,6’8″,5’11”,6’2″,2 5/16″,4-Wheel,7000,3260,3740
