sb,Date,h,3b,sf,bb,r,avg,2b
1,"Feb 07, 2009",16,0,0,4,14,0.5,5
0,"Apr 11, 2009",6,0,0,2,2,0.291,1
2,"May 03, 2009",5,0,0,1,1,0.276,1
2,"Feb 07, 2009",8,0,0,4,4,0.421,0
0,4.26.09,7,0,0,1,5,0.277,1
3,04-04-09,11,1,0,4,10,0.293,1
0,"Apr 22, 2009",8,0,0,2,6,0.277,0
1,"Mar 08, 2009",12,2,0,2,9,0.296,0
1,"May 02, 2009",14,0,1,2,9,0.279,1
0,"Apr 19, 2009",6,1,1,4,4,0.281,0
0,02/22/09,9,0,0,11,5,0.288,1
6,"Feb 14, 2009",7,0,1,2,8,0.313,0
1,"Feb 13, 2009",8,0,0,0,6,0.364,2
0,"Apr 01, 2009",5,0,0,4,3,0.289,1
2,"Mar 14, 2009",11,0,0,6,11,0.303,4
52,Totals,432,11,3,146,271,0.276,65
0,4.25.09,10,0,0,2,4,0.277,1
1,"Feb 15, 2009",8,0,0,3,7,0.308,0
0,3-18-2009,4,0,0,1,0,0.305,0
3,"Apr 10, 2009",9,0,0,5,7,0.294,2
1,"Feb 08, 2009",14,0,0,4,11,0.432,3
1,"Apr 01, 2009",10,0,0,1,8,0.293,2
