TOV%,DRB%,Tm,BLK%,USG%,ORtg
 ,0.0,NJN,0.0,0.0, 
0.0,0.0,NJN,23.9,28.7,152
0.0,0.0,NJN,0.0,11.6,201
 ,0.0,NJN,0.0,0.0, 
 ,0.0,NJN,0.0,0.0, 
50.0,91.4,NJN,0.0,13.0,19
 ,0.0,NJN,0.0,0.0, 
0.0,36.9,NJN,8.4,14.5,110
18.4,14.1,NJN,0.0,19.9,96
0.0,21.1,NJN,0.0,10.0,200
0.0,26.7,NJN,0.0,7.1,0
0.0,51.9,NJN,0.0,25.9,82
0.0,0.0,NJN,0.0,33.4,92
0.0,21.4,NJN,0.0,12.9,95
50.0,32.4,NJN,0.0,21.3,0
 ,0.0,NJN,0.0,0.0, 
20.0,48.5,NJN,17.0,18.5,86
0.0,25.9,NJN,8.3,20.3,80
 ,0.0,NJN,0.0,0.0, 
50.0,0.0,NJN,0.0,50.8,0
25.0,39.2,NJN,0.0,13.2,64
26.0,23.2,NJN,0.0,22.8,113
0.0,0.0,NJN,0.0,23.2,200
0.0,15.0,NJN,0.0,10.7,27
 ,0.0,NJN,0.0,0.0,201
100.0,0.0,NJN,0.0,12.0,0
66.7,0.0,NJN,0.0,30.4,58
50.0,20.9,NJN,12.5,16.5,0
