eFG%,BLK%,Rk,TRB%,Tm,TOV%,DRB%
.000,14.0,52,26.8,DET,50.0,54.4
 ,3.1,53,18.1,DET,18.5,25.2
.000,0.0,54,24.9,DET,0.0,34.7
 ,0.0,16,9.0,DET,100.0,10.4
.500,0.0,6,18.1,DET,0.0,20.2
 ,0.0,11,25.4,DET, ,35.0
.333,18.6,8,11.5,DET,0.0,26.9
1.000,4.7,15,5.7,DET,75.0,0.0
 ,0.0,41,19.3,DET, ,33.3
 ,0.0,45,13.2,DET,0.0,22.5
 ,7.4,26,19.7,DET,100.0,36.1
 ,4.7,55,15.3,DET,100.0,19.3
.000,0.0,42,20.1,DET,0.0,27.9
 ,0.0,21,13.3,DET, ,30.2
 ,0.0,34,0.0,DET, ,0.0
.000,17.5,49,18.9,DET,0.0,17.3
1.000,0.0,43,6.4,DET,0.0,6.1
.500,3.3,12,8.3,DET,0.0,11.1
.000,0.0,2,7.0,DET,0.0,16.6
.000,0.0,61,12.4,DET,0.0,16.3
.000,0.0,28,32.8,DET,0.0,35.7
 ,14.1,39,18.7,DET,100.0,30.0
.000,0.0,23,26.6,DET,33.3,29.9
1.000,0.0,10,22.3,DET,0.0,50.0
.000,0.0,13,4.9,DET,0.0,10.5
.250,3.2,46,14.0,DET,38.1,16.2
.000,0.0,57,15.3,DET,0.0,23.3
.333,10.1,1,18.3,DET,25.0,24.8
1.000,4.5,17,11.5,DET,0.0,21.3
