RBI,BB,Team,HR
14,19,FW,5
0,0,WM,0
0,5,SB,0
37,22,WIS,6
20,49,LC,4
43,17,FW,9
28,15,QC,2
6,5,QC,2
23,33,DAY,2
18,9,BEL,5
65,32,CLI,16
29,43,QC,4
49,38,BG,1
40,34,CLI,10
10,13,WIS,0
53,21,WIS,7
26,25,LC,0
0,8,KC,0
13,6,CR,2
42,29,QC,8
37,13,PEO,3
17,14,WM,6
24,21,LAN,3
2,1,BEL,0
29,18,DAY,0
76,45,WM,7
20,17,CLI,4
47,31,BUR,6
10,12,SB,1
65,16,WM,16
11,12,BEL,2
6,5,QC,1
29,23,CLI,4
29,22,LAN,4
39,12,WM,13
40,25,DAY,7
16,23,KC,0
81,38,BG,22
10,27,PEO,0
1,1,FW,0
2,5,CLI,0
7,7,QC,3
19,41,WM,5
35,39,LC,3
71,34,DAY,16
0,0,QC,0
0,1,WIS,0
31,17,DAY,1
45,37,GL,12
42,34,KC,3
34,28,BEL,4
27,11,FW,3
72,60,WIS,15
3,3,WM,1
44,86,BG,6
41,25,BEL,7
14,13,WM,2
26,20,PEO,2
1,0,FW,0
1,6,CR,0
9,7,BEL,2
30,14,SB,7
6,3,WIS,0
1,7,GL,0
5,3,WM,0
50,42,FW,5
14,8,KC,3
4,2,LAN,0
13,38,CLI,3
34,27,QC,1
28,46,WM,0
55,44,LAN,14
59,37,BUR,14
0,1,LC,0
0,0,WM,0
3,5,CR,0
24,8,LAN,5
5,4,WIS,1
44,37,GL,7
1,0,DAY,0
69,35,LC,19
1,1,PEO,0
6,2,LC,1
50,36,SB,2
43,53,FW,2
25,47,SB,1
23,19,BEL,2
25,21,QC,5
12,15,CR,3
28,49,PEO,2
60,49,SB,8
22,10,BG,5
1,5,LAN,0
56,29,CLI,18
4,8,CR,0
18,13,LAN,2
17,4,CR,3
24,23,WM,3
10,5,DAY,1
51,43,BG,12
25,21,BEL,1
20,16,CR,0
4,0,LAN,0
44,23,BG,8
2,7,CLI,1
11,10,BG,3
49,59,BUR,7
6,7,WM,0
86,67,LAN,16
1,2,DAY,0
16,15,KC,4
41,37,LAN,3
9,8,WIS,1
30,14,KC,5
7,9,GL,0
10,10,QC,4
5,5,BEL,0
5,7,CLI,0
26,58,QC,2
55,23,BUR,7
37,23,CR,4
51,36,KC,8
19,16,CLI,2
25,28,CLI,4
16,11,QC,1
3,1,BG,1
7,8,CR,0
3,2,BUR,0
42,36,CR,12
42,34,CLI,5
31,48,KC,12
7,8,QC,0
1,0,FW,0
37,16,PEO,2
38,40,WM,3
42,38,WM,8
11,5,CR,1
8,5,WM,0
16,8,PEO,2
15,6,PEO,3
17,18,BUR,0
8,1,GL,3
37,22,CR,4
1,3,PEO,0
21,23,LC,6
46,76,WIS,12
37,15,CR,3
44,31,LC,5
20,24,WIS,2
10,9,CR,0
10,13,QC,0
10,19,GL,1
13,6,FW,1
27,21,PEO,5
13,9,PEO,1
44,30,GL,9
14,7,CLI,0
5,4,QC,0
0,0,BEL,0
35,24,WIS,8
7,4,CLI,0
27,36,KC,4
28,15,PEO,2
6,4,FW,0
0,0,QC,0
25,45,GL,2
0,1,KC,0
29,30,BUR,3
23,12,GL,5
37,25,GL,11
25,31,BG,3
60,32,BEL,15
1,7,SB,0
16,31,CLI,0
1,0,LC,0
19,13,WM,3
24,25,CR,6
2,2,KC,0
35,37,BEL,3
41,14,DAY,3
0,0,BEL,0
7,13,SB,1
30,25,WIS,3
52,24,PEO,5
2,5,FW,0
2,4,FW,0
2,6,QC,0
14,9,KC,1
27,43,BUR,0
24,29,LC,0
16,21,BEL,4
33,19,QC,4
0,1,FW,0
74,55,BEL,16
7,4,CLI,0
46,14,LC,9
7,10,DAY,0
23,9,WIS,3
2,2,LC,0
5,1,WM,1
22,35,GL,2
57,25,CLI,10
22,20,BUR,2
13,14,SB,0
