HR,R,G,SH,3B
3,45,96,5,3
0,1,7,0,0
0,0,2,0,0
1,3,12,0,0
8,43,100,1,1
2,31,87,4,5
0,2,3,0,1
8,32,92,3,1
0,8,41,1,0
2,66,124,6,5
0,0,2,0,0
0,3,7,0,0
16,91,123,1,5
1,8,33,0,1
0,4,22,1,0
0,7,32,3,0
2,13,32,2,1
4,33,105,2,2
2,22,62,0,3
2,29,67,5,2
0,1,3,0,0
1,5,23,0,0
0,0,1,0,0
0,1,4,0,1
0,1,3,0,0
4,19,50,1,0
12,53,106,1,2
0,41,118,9,2
3,33,52,0,5
1,7,26,0,2
1,12,67,2,1
1,6,8,0,0
0,3,11,0,1
0,3,17,1,0
0,12,26,0,0
0,0,9,0,0
3,21,50,0,2
1,16,34,1,0
8,47,114,3,5
2,11,34,4,0
12,37,96,0,1
7,50,125,2,3
0,2,2,0,0
0,0,3,0,0
0,2,15,1,0
2,44,116,4,1
2,53,121,3,2
7,21,49,0,0
0,11,42,1,1
4,32,59,2,3
1,33,68,5,7
0,4,6,0,0
13,63,122,0,4
9,39,105,0,2
1,36,74,7,1
2,34,59,0,2
1,27,92,7,0
2,14,28,0,1
0,2,8,1,0
13,28,73,0,1
0,2,5,0,0
16,61,123,0,1
4,43,112,7,0
0,9,41,3,0
0,1,2,0,0
13,44,101,0,1
0,4,22,0,0
0,1,5,0,0
1,10,12,0,3
3,26,60,2,0
3,31,66,4,2
8,40,90,0,2
0,4,14,0,1
0,1,2,0,0
3,26,86,8,1
2,7,25,0,0
2,50,97,4,5
0,8,24,2,0
0,1,3,0,0
10,32,68,0,0
0,4,21,3,0
1,6,7,0,0
1,21,55,3,1
0,54,99,6,7
5,56,110,1,2
4,68,114,5,11
0,2,3,0,1
3,48,100,6,4
8,40,75,0,3
1,18,49,3,0
0,9,15,0,0
7,37,65,1,6
0,2,5,0,0
0,2,24,3,0
0,15,51,1,2
0,0,4,0,0
0,9,27,0,0
13,53,124,0,4
12,43,113,1,1
2,38,91,4,2
0,0,10,0,0
0,3,14,0,0
0,56,108,7,2
6,18,59,1,2
0,3,8,0,0
6,32,76,0,4
1,9,44,2,2
1,18,32,0,2
2,43,120,8,4
1,27,82,1,3
0,1,3,0,0
1,7,26,0,0
11,53,131,2,2
3,12,29,1,0
1,25,44,1,2
11,46,99,0,2
0,10,29,3,0
18,62,122,2,3
0,5,7,0,0
4,44,110,6,5
0,32,53,1,3
1,7,20,0,1
2,27,64,4,0
10,34,82,0,3
4,36,90,3,4
0,1,3,0,0
4,64,132,7,7
0,2,12,0,0
3,37,67,4,2
11,34,101,0,0
3,11,44,1,1
5,39,95,5,2
0,3,5,0,0
0,7,12,0,0
0,4,4,0,0
1,18,51,2,1
0,2,6,0,0
