Date,Tm,TOV%,ORtg,USG%,G
2004-01-13,SAS,9.9,106,20.1,23
2003-12-28,SAS, , ,0.0,18
2004-03-18,SAS,0.0,95,13.3,48
2004-02-24,SAS,0.0,0,49.8,36
2003-11-15,SAS,0.0,69,17.4,3
2003-11-18,SAS,50.0,64,33.8,4
2004-01-16,SAS,0.0,0,14.9,24
2003-12-15,SAS, , ,0.0,14
2004-01-09,SAS,27.8,135,24.3,21
2003-12-10,SAS,0.0,200,12.1,11
2004-03-01,SAS,0.0,0,48.6,39
2003-11-26,SAS,0.0,135,28.1,7
2003-12-20,SAS,0.0,200,17.0,16
2004-03-23,SAS, , ,0.0,50
2004-03-20,SAS,25.0,55,27.8,49
2004-02-28,SAS,0.0,0,7.3,38
2004-04-09,SAS,15.5,69,21.2,58
2003-11-20,SAS,17.4,127,26.5,5
2004-02-02,SAS,36.8,86,16.0,31
