Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Xander Bogaerts,Sal,194,35,64,16,2,9,38,3,2,22,41,0.33,0.403,0.572,0.975
Brandon Jacobs,Sal,208,36,59,19,0,8,29,12,6,28,57,0.284,0.378,0.49,0.868
Travis Shaw,Sal,165,29,48,15,1,6,31,5,0,20,47,0.291,0.374,0.503,0.877
Michael Almanzar,Sal,234,33,78,23,0,4,24,5,2,21,42,0.333,0.391,0.483,0.874
Sean Coyle,Sal,224,30,58,16,2,3,31,8,0,16,56,0.259,0.327,0.388,0.715
Christian Vazquez,Sal,136,20,34,6,0,3,21,2,0,20,39,0.25,0.354,0.36,0.714
Drew Hedman,Sal,87,17,25,7,2,2,20,4,1,15,18,0.287,0.387,0.483,0.87
Heiker Meneses,Sal,129,22,36,10,3,2,16,11,5,2,26,0.279,0.311,0.45,0.761
Jackie Bradley,Sal,111,29,44,16,1,1,19,7,0,24,20,0.396,0.507,0.586,1.092
David Chester,Sal,21,4,8,1,0,1,5,0,0,1,5,0.381,0.391,0.571,0.963
Keury De La Cruz,Sal,25,1,7,2,0,1,6,1,1,1,2,0.28,0.308,0.48,0.788
Felix Sanchez,Sal,78,8,22,4,1,1,10,11,3,6,22,0.282,0.348,0.397,0.746
Shannon Wilkerson,Sal,189,23,51,8,3,1,18,13,1,10,38,0.27,0.303,0.36,0.663
Matty Johnson,Sal,80,13,18,3,0,1,12,3,4,13,11,0.225,0.326,0.3,0.626
Carson Blair,Sal,77,12,14,4,1,1,9,1,2,7,26,0.182,0.256,0.299,0.555
Zach Gentile,Sal,12,6,5,3,0,0,4,0,0,2,2,0.417,0.5,0.667,1.167
Adalberto Ibarra,Sal,130,13,39,6,1,0,17,5,1,11,16,0.3,0.372,0.362,0.733
James Kang,Sal,55,5,12,3,2,0,3,2,0,4,19,0.218,0.279,0.345,0.624
Lucas LeBlanc,Sal,57,7,13,2,1,0,3,1,0,4,14,0.228,0.313,0.298,0.611
Ryan Kalish,Sal,4,1,1,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5
David Renfroe,Sal,12,1,1,1,0,0,2,0,0,2,4,0.083,0.267,0.167,0.433
Bryan Johns,Sal,7,1,1,0,0,0,0,0,0,1,3,0.143,0.25,0.143,0.393
Matthew Marquis,Sal,13,1,1,1,0,0,0,0,0,1,5,0.077,0.143,0.154,0.297
Jayson Hernandez,Sal,23,2,2,1,0,0,0,0,0,1,6,0.087,0.125,0.13,0.255
