Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 2,vs. Queens University of Charlotte,"L, 11-9",-,-,-,-,-,-,-,-,-,-,-
Feb 2,vs. Queens University of Charlotte,"W, 11-4",-,-,-,-,-,-,-,-,-,-,-
Feb 3,vs. Lincoln Memorial,"W, 4-2",-,-,-,-,-,-,-,-,-,-,-
Feb 3,vs. Lincoln Memorial,"L, 10-6",-,-,-,-,-,-,-,-,-,-,-
Feb 6,at Albany State,"W, 9-1",-,-,-,-,-,-,-,-,-,-,-
Feb 6,at Albany State,"W, 3-0",3,1,1,-,-,-,0,-,-,1,-
Feb 9,Rollins College,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Feb 9,Rollins College,"L, 3-2",3,0,0,-,-,-,0,-,-,-,-
Feb 10,West Georgia,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
Feb 10,West Georgia,"W, 3-2",3,1,0,-,-,-,0,-,2,-,-
Feb 12,at Valdosta State,"L, 8-5",-,-,-,-,-,-,-,-,-,-,-
Feb 12,at Valdosta State,"L, 12-6",2,1,1,-,-,1,1,2,-,-,-
Feb 16,Brewton-Parker College,"W, 2-0",-,-,-,-,-,-,-,-,-,-,-
Feb 16,Brewton-Parker College,"W, 7-2",2,0,0,-,-,-,0,-,-,-,-
Feb 21,at Fort Valley State,"W, 11-1",-,-,-,-,-,-,-,-,-,-,-
Feb 21,at Fort Valley State,"W, 14-0",3,1,0,-,-,-,1,1,1,-,-
Feb 23,at Rollins College,"L, 7-0",-,-,-,-,-,-,-,-,-,-,-
Feb 23,at Rollins College,"L, 6-4",3,0,0,-,-,-,0,-,-,-,-
Feb 24,at Eckerd College,"L, 8-5",-,-,-,-,-,-,-,-,-,-,-
Feb 24,at Eckerd College,"W, 2-0",2,0,2,-,-,-,1,-,-,-,-
Feb 27,at Thomas University (Ga.),"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Feb 27,at Thomas University (Ga.),"W, 12-6",3,2,2,1,-,1,3,-,-,-,-
Mar 1,Fort Valley State,"W, 10-1",3,1,0,-,-,-,0,-,-,-,-
Mar 1,Fort Valley State,"W, 13-2",-,-,-,-,-,-,-,-,-,-,-
Mar 2,UNC Pembroke,"L, 7-4",-,-,-,-,-,-,-,-,-,-,-
Mar 2,UNC Pembroke,"W, 6-5",2,0,1,-,-,-,2,-,-,-,1
Mar 6,Georgia College,"L, 8-4",-,-,-,-,-,-,-,-,-,-,-
Mar 6,Georgia College,"L, 8-0",1,0,1,-,-,-,0,1,-,-,-
Mar 9,at Francis Marion University,"L, 2-1",3,0,1,-,-,-,0,-,-,-,-
Mar 9,at Francis Marion University,"L, 5-3",-,-,-,-,-,-,-,-,-,-,-
Mar 14,Armstrong,"W, 1-0",2,1,1,-,-,1,1,1,-,-,-
Mar 14,Armstrong,"L, 10-1",1,0,0,-,-,-,0,1,-,-,-
Mar 16,Flagler College,"L, 13-0",2,0,1,-,-,-,0,-,-,-,-
Mar 16,Flagler College,"L, 8-1",-,-,-,-,-,-,-,-,-,-,-
Mar 19,King College (Tenn.),"W, 3-1",3,1,1,1,-,-,1,-,1,-,-
Mar 19,King College (Tenn.),"L, 2-0",-,-,-,-,-,-,-,-,-,-,-
Mar 21,at Anderson University (S.C.),"L, 13-3",3,1,1,-,-,-,0,-,-,1,-
Mar 21,at Anderson University (S.C.),"L, 9-3",-,-,-,-,-,-,-,-,-,-,-
Mar 22,at USC Aiken,"W, 1-0",3,0,0,-,-,-,0,-,3,-,-
Mar 22,at USC Aiken,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-
Mar 24,at Lander University,"W, 15-6",5,1,1,-,-,1,2,-,1,-,-
Mar 24,at Lander University,"W, 16-0",-,-,-,-,-,-,-,-,-,-,-
Mar 27,at Columbus State,"L, 1-0",3,0,1,-,-,-,0,-,-,-,-
Mar 27,at Columbus State,"L, 8-0",-,-,-,-,-,-,-,-,-,-,-
Mar 30,Georgia Regents University,"W, 2-1",3,0,0,-,-,-,1,-,1,1,-
Mar 30,Georgia Regents University,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Apr 3,at Brewton-Parker College,"W, 3-2",3,0,0,-,-,-,0,-,1,-,1
Apr 3,at Brewton-Parker College,"W, 4-1",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Young Harris College,"W, 5-4",2,2,1,-,-,1,1,-,-,-,-
Apr 6,at Young Harris College,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 7,at North Georgia,"L, 11-3",4,0,0,-,-,-,0,-,-,-,-
Apr 7,at North Georgia,"L, 4-0",-,-,-,-,-,-,-,-,-,-,-
Apr 9,Albany State,"W, 3-2",3,1,2,-,-,1,2,-,-,-,-
Apr 9,Albany State,"W, 6-1",-,-,-,-,-,-,-,-,-,-,-
Apr 11,at West Georgia, ,-,-,-,-,-,-,-,-,-,-,-
Apr 11,at West Georgia, ,-,-,-,-,-,-,-,-,-,-,-
Apr 20,vs. Armstrong,"L, 6-4",2,1,1,-,-,1,1,-,-,-,-
