3B,HBP,HR,SH,H,SB,Notes,BB,R,SO
0,0,0,0,0,0,4 strikeouts,0,0,4
0,0,1,0,4,0,4 hits,0,1,0
0,0,1,0,4,0,4 hits,0,1,0
0,0,0,0,4,0,4 hits,1,0,0
0,0,1,0,3,0,400th career home run,0,2,1
0,0,1,0,4,0,4 hits,0,1,0
0,0,0,0,4,0,4 hits,0,2,1
0,0,2,0,4,0,"2 home runs, 6 RBIs, 4 hits",0,3,0
0,0,2,0,2,0,2 home runs,0,2,0
0,0,2,0,2,0,2 home runs,0,2,3
0,0,1,0,4,0,4 hits,0,3,0
0,0,1,0,4,0,"5 RBIs, 4 hits",0,2,1
0,0,1,0,1,0,400th career home run,0,1,2
0,0,0,0,3,0,4 runs scored,1,4,0
0,0,3,0,3,0,3 home runs,0,3,0
0,0,0,0,1,0,4 strikeouts,0,1,4
0,1,2,0,2,0,2 home runs,0,3,0
0,0,2,0,3,0,2 home runs,1,2,1
0,0,1,0,3,0,200th career home run,0,2,1
0,0,2,0,3,0,2 home runs,1,2,0
0,0,0,0,1,0,2 sacrifice flies,1,1,0
0,0,2,0,3,0,2 home runs,0,2,0
0,0,0,0,2,0,500th career game,0,1,0
0,0,2,0,4,0,"2 home runs, 4 runs scored, 4 hits",0,4,0
0,0,0,0,3,0,3 Doubles,0,0,0
0,0,0,0,5,0,"6 RBIs, 5 hits",0,2,1
0,0,1,0,4,0,4 hits,0,3,0
0,0,2,0,2,0,"2 home runs, 300th career home run",0,2,1
0,0,2,0,4,0,"2 home runs, 6 RBIs, 4 hits",1,3,0
0,0,2,0,4,0,"2 home runs, 4 hits",1,3,0
0,0,1,0,4,0,4 hits,0,3,0
0,0,0,0,0,0,4 walks,4,0,0
0,0,2,0,2,0,2 home runs,0,2,0
0,0,1,0,4,1,4 hits,1,1,0
0,0,2,0,2,0,2 home runs,0,2,1
0,0,0,0,3,0,4 runs scored,0,4,0
0,0,1,0,4,0,"3 Doubles, 4 hits",0,2,0
0,0,1,0,4,0,"4 runs scored, 4 hits",0,4,0
0,0,0,0,4,0,4 hits,0,1,0
0,0,2,0,4,0,"2 home runs, 4 runs scored, 4 hits",0,4,1
0,0,2,0,2,0,2 home runs,1,2,1
0,0,1,0,4,0,4 hits,0,2,1
0,0,2,0,3,0,2 home runs,0,2,0
0,0,0,0,4,0,4 hits,0,1,0
0,0,2,0,2,0,2 home runs,0,2,0
0,0,0,0,0,0,2 sacrifice flies,0,0,2
0,0,1,0,4,0,4 hits,0,1,0
0,0,1,0,4,0,4 hits,0,3,0
0,0,2,0,2,0,2 home runs,1,2,0
0,0,1,0,4,0,4 hits,0,2,0
0,0,2,0,3,0,2 home runs,1,2,0
0,0,3,0,4,0,"3 home runs, 4 runs scored, 5 RBIs, 4 hits",1,4,0
0,0,1,0,4,0,4 hits,1,1,0
