Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 30,at St. Francis (IL),"W, 35-24",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 8,at Lake Erie,"W, 49-21",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 15,Ashland,"L, 47-32",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 22,Walsh,"W, 20-14",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 29,at Saginaw Valley State,"L, 31-24",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 6,at Grand Valley State,"W, 40-24",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 13,Hillsdale,"L, 30-20",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 20,Michigan Tech,"W, 56-49",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 27,at Wayne State,"W, 35-24",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 3,Northwood,"L, 38-33",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 10,at Northern Michigan,"W, 32-31",-,-,-,-,-,-,-,-,-,-,-,-,-,-
