Year,Team,Played matches,Batting,Defense,Pitching,Catching,1B,2B,3B,Shortstop,Left field,Center field,Right field
1960,Chicago Cubs,24,24,24,0,22,0,0,0,0,0,0,0
1959,Philadelphia Phillies,25,25,25,0,25,0,0,0,0,0,0,0
1959,San Francisco Giants,21,21,21,0,21,0,0,0,0,0,0,0
1958,Detroit Tigers,45,45,45,0,45,0,0,0,0,0,0,0
1958,Philadelphia Phillies,25,25,25,0,25,0,0,0,0,0,0,0
1957,Cleveland Indians,58,58,58,0,58,0,0,0,0,0,0,0
1956,Cleveland Indians,122,122,122,0,118,0,0,0,0,0,0,0
1955,Cleveland Indians,116,116,116,0,111,0,0,0,0,0,0,0
1954,Cleveland Indians,139,139,139,0,137,0,0,0,0,0,0,0
1953,Cleveland Indians,112,112,112,0,106,0,0,0,0,0,0,0
1952,Cleveland Indians,112,112,112,0,107,0,0,0,0,0,0,0
1951,Cleveland Indians,133,133,133,0,129,0,0,0,0,0,0,0
1950,Cleveland Indians,131,131,131,0,129,0,0,0,0,0,0,0
1949,Cleveland Indians,152,152,152,0,152,0,0,0,0,0,0,0
1948,Cleveland Indians,144,144,144,0,142,0,0,0,0,0,0,0
1947,Cleveland Indians,135,135,135,0,133,0,0,0,0,0,0,0
1946,Cleveland Indians,88,88,88,0,87,0,0,0,0,0,0,0
1942,Cleveland Indians,68,68,68,0,66,0,0,0,0,0,0,0
1941,Cleveland Indians,16,16,16,0,16,0,0,0,0,0,0,0
