Rank,Player,PA,R,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,TAv,VORP,BWARP
1,Ian Desmond,410,45,17,2,11,34,22,121,6,3,0.216,0.264,0.359,0.246,10.9,0.6
2,Dan Uggla,124,9,4,2,1,14,16,32,0,1,0.194,0.298,0.296,0.238,1.3,0.0
3,Yunel Escobar,386,49,17,1,6,32,21,51,1,2,0.314,0.36,0.417,0.291,20.9,1.1
4,Matt Den Dekker,55,5,0,1,2,5,5,11,0,0,0.184,0.259,0.347,0.233,0.4,0.0
5,Michael Taylor,317,29,10,1,9,41,19,103,12,3,0.237,0.282,0.369,0.247,2.8,0.6
6,Danny Espinosa,333,45,16,1,10,29,27,78,4,2,0.249,0.32,0.411,0.274,13.8,2.4
7,Ryan Zimmerman,259,23,14,1,6,35,19,48,1,0,0.209,0.266,0.355,0.234,-5.4,-0.8
8,Clint Robinson,210,30,12,1,4,18,21,28,0,0,0.267,0.348,0.406,0.277,5.4,0.3
9,Bryce Harper,410,69,24,1,29,68,74,85,4,4,0.331,0.456,0.672,0.408,66.6,7.6
10,Stephen Strasburg,20,0,0,0,0,0,0,7,0,0,0.0,0.0,0.0,0.043,1.8,-0.3
11,Aaron Barrett,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,Sammy Solis,2,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.346,0.8,0.0
13,Drew Storen,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,Taylor Jordan,6,0,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.25,1.7,0.1
15,Tanner Roark,20,1,2,0,0,0,0,7,0,0,0.211,0.211,0.316,0.19,-1.3,0.1
16,Felipe Rivero,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,Abel De Los Santos,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,Wilmer Difo,8,0,0,0,0,0,0,1,0,0,0.125,0.125,0.125,0.093,-0.9,-0.1
19,Matt Grace,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,A.J. Cole,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.174,0.7,-0.1
21,Taylor Hill,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,Blake Treinen,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.277,4.1,0.1
23,Joe Ross,16,0,0,0,0,0,0,6,0,0,0.125,0.125,0.125,0.078,7.3,0.0
24,Anthony Rendon,113,10,7,0,1,7,12,18,0,2,0.286,0.363,0.388,0.284,5.9,0.4
25,Tyler Moore,153,9,10,0,4,22,10,30,0,0,0.211,0.261,0.366,0.236,-3.1,-0.6
26,Reed Johnson,19,0,1,0,0,2,0,5,0,0,0.222,0.263,0.278,0.197,-1.2,-0.1
27,Matt Thornton,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,Gio Gonzalez,32,1,1,0,0,2,0,10,0,0,0.083,0.154,0.125,0.166,12.4,0.3
29,Jonathan Papelbon,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Casey Janssen,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,Denard Span,265,37,15,0,5,22,24,26,11,0,0.304,0.367,0.43,0.313,22.5,2.4
32,Craig Stammen,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,Xavier Cedeno,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,Jose Lobaton,106,7,1,0,3,11,11,27,0,0,0.204,0.295,0.312,0.233,1.3,0.1
35,Wilson Ramos,319,29,12,0,9,42,12,64,0,0,0.234,0.26,0.363,0.241,8.8,1.1
36,Emmanuel Burriss,5,2,0,0,0,0,2,0,0,0,0.667,0.8,0.667,0.543,1.3,0.1
37,David Carpenter,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,Doug Fister,32,1,1,0,0,0,2,11,0,0,0.231,0.286,0.269,0.223,2.3,0.3
39,Rafael Martin,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,Max Scherzer,48,4,0,0,0,0,0,17,0,0,0.205,0.205,0.205,0.175,35.8,0.4
41,Jordan Zimmermann,43,1,1,0,0,3,0,12,0,0,0.103,0.103,0.128,0.098,12.3,0.0
42,Jayson Werth,141,18,3,0,2,12,13,31,0,0,0.205,0.284,0.279,0.239,1.7,-0.2
