Player,AB,SF,OPS,SO,HR,CS,GIDP
R Andino,24,2,0.394,6,0,0,0
L Gonzalez,149,1,0.625,27,2,1,3
R Durham,498,2,0.898,61,26,2,17
R Belliard,194,0,0.666,36,5,3,9
O Quintanilla,34,0,0.508,9,0,1,1
J Castillo,518,6,0.682,98,14,4,22
D Eckstein,500,3,0.694,41,2,6,7
E Renteria,598,2,0.797,89,14,6,17
A Amezaga,334,1,0.664,46,3,12,5
J Hairston,82,0,0.497,14,0,0,1
H Mateo,26,0,0.56,3,1,0,1
D Sandoval,38,1,0.516,3,0,0,2
R Weeks,359,3,0.766,92,8,5,6
D Uggla,611,8,0.818,123,27,6,5
A Green,86,0,0.56,20,1,0,0
K Greene,412,2,0.747,87,15,1,15
J Hardy,128,1,0.693,23,5,1,4
B Harris,42,0,0.676,7,1,0,2
M Prado,42,0,0.745,7,1,0,2
C Burke,366,2,0.765,77,9,1,6
O Robles,33,0,0.475,5,0,0,0
J Nelson,5,0,0.0,4,0,0,0
A Miles,426,3,0.672,42,2,1,8
G Blum,276,4,0.659,51,4,1,5
