Year,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,OBP,SLG,AVG
2015,Milwaukee,NL,59,230,28,57,10,1,3,21,21,32,0,0,0.311,0.339,0.248
2014,Milwaukee,NL,153,585,73,176,53,2,13,69,66,71,4,4,0.373,0.465,0.301
2013,Milwaukee,NL,147,521,59,146,25,6,18,82,46,69,9,1,0.34,0.455,0.28
2012,Milwaukee,NL,96,316,46,101,17,4,12,58,22,44,4,1,0.368,0.513,0.32
 ,Nashville,AAA,2,7,4,3,0,0,0,1,0,1,1,0,0.5,0.429,0.429
 ,Wisconsin,A,4,12,0,4,1,0,0,2,1,0,1,0,0.385,0.417,0.333
2011,Milwaukee,NL,136,430,45,114,16,1,12,59,29,99,2,1,0.313,0.391,0.265
 ,Huntsville,AA,4,11,3,3,1,0,0,4,6,1,1,0,0.529,0.364,0.273
2010,Milwaukee,NL,75,277,24,70,9,0,4,26,18,44,4,2,0.3,0.329,0.253
 ,Nashville,AAA,21,80,8,19,4,0,2,11,3,14,0,0,0.265,0.363,0.238
 ,Huntsville,AA,10,42,8,19,3,0,0,5,4,3,0,0,0.5,0.524,0.452
2009,Huntsville,AA,125,419,61,112,32,2,9,66,78,66,1,1,0.38,0.418,0.267
2008,Brevard County,A,64,236,31,69,12,1,10,44,28,45,1,2,0.364,0.479,0.292
 ,West Virginia,A,65,239,45,74,16,1,10,33,30,39,8,1,0.391,0.51,0.31
2007,Helena,R,61,234,35,80,18,2,4,39,16,37,0,3,0.383,0.487,0.342
 ,Louisiana-Lafayette,NCAA,62,264,56,95,19,3,18,68,24,32,1,1,0.408,0.659,0.36
2006,Louisiana-Lafayette,NCAA,59,231,50,77,20,4,12,68,25,26,0,0,0.39,0.61,0.333
2005,Louisiana-Lafayette,NCAA,54,182,33,69,15,0,5,48,19,17,1,0,0.427,0.544,0.379
NL,Total,NL,666,2359,275,664,130,14,62,315,202,359,23,9,0.339,0.427,0.281
AAA,Total,AAA,23,87,12,22,4,0,2,12,3,15,1,0,0.286,0.368,0.253
AA,Total,AA,139,472,72,134,36,2,9,75,88,70,2,1,0.394,0.426,0.284
A,Total,A,133,487,76,147,29,2,20,79,59,84,10,3,0.377,0.493,0.302
R,Total,R,61,234,35,80,18,2,4,39,16,37,0,3,0.383,0.487,0.342
NCAA,Total,NCAA,175,677,139,241,54,7,35,184,68,75,2,1,0.407,0.612,0.356
