Player,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Walker Zimmerman,D,7,4,411,2,0,4,3,0/0,50.0,75.0
Stephen Keel,D,8,5,497,1,0,3,1,0/0,33.3,33.3
Mauro Diaz,M,10,5,423,3,2,11,6,0/0,27.3,54.5
Matt Hedges,D,33,32,2793,3,0,13,4,0/0,23.1,30.8
Blas Perez,F,25,21,2019,11,3,56,29,0/0,19.6,51.8
George John,D,24,24,2070,2,0,13,5,0/0,15.4,38.5
Jair Benitez,D,31,28,2473,1,1,7,1,0/0,14.3,14.3
Kenny Cooper,F,31,19,1741,6,1,45,21,2/3,13.3,46.7
Michel,M-D,31,26,2284,3,8,29,10,1/1,10.3,34.5
Je-Vaughn Watson,D,24,15,1372,2,2,20,10,0/0,10.0,50.0
David Ferreira,M,30,26,2419,3,9,32,10,0/0,9.4,31.3
Ramon Nunez,M,10,0,253,1,3,11,3,0/0,9.1,27.3
Andrew Jacobson,M,27,27,2292,3,1,40,9,0/0,7.5,22.5
Jackson,M,30,29,2375,3,3,61,17,0/0,4.9,27.9
Fabian Castillo,M,33,26,2176,2,6,45,16,0/0,4.4,35.6
Bobby Warshaw,D,9,1,130,0,0,2,0,0/0,0.0,0.0
Eric Hassli,F,15,4,429,0,1,16,4,0/0,0.0,25.0
Erick,M,9,8,652,0,0,7,0,0/0,0.0,0.0
Kellyn Acosta,M,13,11,1004,0,0,6,0,0/0,0.0,0.0
London Woodberry,D,8,3,363,0,0,1,1,0/0,0.0,100.0
Peter Luccin,M,3,2,201,0,0,2,0,0/0,0.0,0.0
Raul Fernandez,GK,26,26,2340,0,0,1,0,0/0,0.0,0.0
Zach Loyd,D,25,24,2132,0,0,5,2,0/0,0.0,40.0
Bradlee Baladez,M-F,1,0,27,0,0,0,0,0/0,0.0,0.0
Chris Seitz,GK,8,8,720,0,0,0,0,0/0,0.0,0.0
