Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
DSL Royals,0.271,68,2228,390,603,121,19,9,313,266,380,73,50,18,29,45,0.361,0.354,0.715
DSL Braves,0.268,68,2237,302,599,110,17,17,260,168,375,41,40,17,13,61,0.329,0.355,0.684
DSL White Sox,0.256,70,2276,310,583,125,11,36,254,228,410,44,41,20,18,54,0.331,0.368,0.7
DSL Yankees1,0.255,69,2218,372,565,93,27,37,304,235,431,95,39,17,14,50,0.333,0.371,0.705
DSL Blue Jays,0.253,73,2415,366,612,108,17,23,293,246,537,101,39,27,16,51,0.338,0.341,0.679
DSL Athletics1,0.253,65,2073,294,525,87,16,10,227,249,412,43,26,16,17,63,0.344,0.325,0.669
DSL Indians,0.252,71,2278,383,574,87,21,21,298,296,496,85,52,32,27,41,0.353,0.336,0.689
DSL Phillies,0.251,66,2110,309,529,106,18,15,232,208,374,78,41,15,25,35,0.333,0.339,0.673
DSL Rockies,0.247,72,2259,312,558,94,17,29,244,207,460,111,65,37,18,42,0.329,0.342,0.671
DSL Twins,0.245,72,2303,313,564,102,22,29,266,278,435,44,24,9,22,45,0.338,0.346,0.684
DSL Angels,0.242,67,2155,324,522,93,33,13,256,267,534,98,46,34,24,41,0.333,0.334,0.668
DSL Cubs,0.241,71,2300,332,554,88,25,18,258,211,555,89,47,25,9,31,0.318,0.324,0.643
DSL Pirates,0.24,67,2097,312,504,79,17,23,242,228,479,66,40,53,19,37,0.327,0.327,0.654
DSL Marlins,0.234,70,2184,287,510,85,17,12,230,247,564,69,45,23,13,42,0.326,0.304,0.63
DSL Tigers,0.233,66,1912,321,446,90,8,15,242,320,544,93,42,33,11,26,0.36,0.312,0.673
DSL Yankees2,0.233,71,2285,325,533,102,25,25,269,261,567,68,33,16,16,42,0.326,0.333,0.659
DSL Cardinals,0.232,65,2037,258,473,81,12,28,211,239,512,94,49,20,17,33,0.323,0.325,0.648
DSL Red Sox,0.231,70,2294,299,531,110,19,18,240,261,523,63,25,17,13,58,0.32,0.32,0.64
DSL Mariners,0.231,66,1920,282,443,86,25,21,227,251,509,95,60,30,22,30,0.331,0.334,0.665
DSL Giants,0.227,66,1982,278,449,73,24,21,224,221,513,67,62,57,24,37,0.323,0.319,0.642
DSL Dodgers,0.223,72,2293,328,511,79,18,27,264,270,536,94,41,21,19,32,0.317,0.308,0.625
DSL Mets,0.221,66,2017,274,445,77,12,16,225,223,547,86,36,11,12,28,0.315,0.294,0.61
DSL Astros,0.211,66,2027,216,428,54,13,15,164,187,488,57,33,27,7,43,0.289,0.273,0.562
DSL Athletics2,0.211,64,1990,217,420,63,15,8,171,259,438,67,36,15,8,41,0.314,0.27,0.584
DSL Diamondbacks,0.211,70,2227,255,470,96,21,10,201,253,537,94,48,17,15,37,0.305,0.286,0.591
DSL Nationals1,0.206,66,1918,223,395,67,9,11,159,251,532,79,55,26,9,37,0.315,0.267,0.582
DSL Padres,0.205,66,1875,239,384,66,4,13,189,282,624,44,28,11,18,44,0.324,0.265,0.589
DSL Reds,0.203,67,2040,193,415,68,14,12,157,211,561,47,46,22,15,32,0.291,0.268,0.559
DSL Orioles,0.201,66,2050,217,413,75,12,14,182,285,608,40,39,36,7,52,0.312,0.27,0.582
DSL Rangers,0.194,66,1989,209,386,78,10,12,156,253,543,90,47,16,7,47,0.298,0.261,0.56
DSL Nationals2,0.192,66,1914,184,367,51,4,11,131,210,608,69,42,19,7,36,0.288,0.24,0.528
