Player,Pos,Team,Opp,Rush Yards,Rush TDs,Catches,Receive Yards,Receive TDs,Total Yards,Total TDs,FF Pts
Wes Welker,WR,FA,DAL,0,0,9,150,1,150,1,21.0
Miles Austin,WR,PHI,@NE,0,0,8,120,1,120,1,18.0
Hakeem Nicks,WR,TEN,BUF,0,0,7,120,1,120,1,18.0
Calvin Johnson,WR,DET,SF,0,0,7,110,2,110,2,23.0
Steve Smith,WR,BAL,@ATL,0,0,7,110,1,110,1,17.0
A.J. Green,WR,CIN,IND,0,0,7,110,1,110,1,17.0
Roddy White,WR,ATL,CAR,0,0,6,90,1,90,1,15.0
DeSean Jackson,WR,WAS,@WAS,0,0,5,90,1,90,1,15.0
Mike Wallace,WR,MIN,JAC,0,0,5,90,1,90,1,15.0
Greg Jennings,WR,MIA,STL,0,0,7,90,1,90,1,15.0
Victor Cruz,WR,NYG,BUF,0,0,6,90,1,90,1,15.0
Jimmy Graham,TE,SEA,@TB,0,0,6,80,1,80,1,14.0
Santonio Holmes,WR,FA,MIA,0,0,6,80,1,80,1,14.0
Jordy Nelson,WR,GBP,STL,0,0,4,70,1,70,1,13.0
Fred Davis,TE,FA,PHI,0,0,4,70,1,70,1,13.0
Dez Bryant,WR,DAL,@NE,0,0,4,70,1,70,1,13.0
Jason Witten,TE,DAL,@NE,0,0,6,70,1,70,1,13.0
Deion Branch,WR,IND,DAL,0,0,4,70,1,70,1,13.0
Torrey Smith,WR,SFO,HOU,0,0,4,70,0,70,0,7.0
Tony Gonzalez,TE,FA,CAR,0,0,5,70,0,70,0,7.0
Stevie Johnson,WR,SDC,@NYG,0,0,5,70,1,70,1,13.0
Kevin Walter,WR,FA,@BAL,0,0,4,60,1,60,1,12.0
Johnny Knox,WR,FA,MIN,0,0,4,60,0,60,0,6.0
Anquan Boldin,WR,SFO,HOU,0,0,5,60,1,60,1,12.0
Titus Young,WR,FA,SF,0,0,4,60,0,60,0,6.0
Reggie Wayne,WR,FA,@CIN,0,0,4,60,0,60,0,6.0
Percy Harvin,WR,BUF,@CHI,20,0,3,40,0,60,0,6.0
Owen Daniels,TE,DEN,@BAL,0,0,5,60,0,60,0,6.0
Jeremy Maclin,WR,KCC,@WAS,0,0,4,60,0,60,0,6.0
Pierre Garcon,WR,WAS,@CIN,0,0,3,60,0,60,0,6.0
Vernon Davis,TE,SFO,@DET,0,0,5,60,1,60,1,12.0
Jermichael Finley,TE,FA,STL,0,0,5,60,0,60,0,6.0
Lance Moore,WR,DET,@TB,0,0,3,50,0,50,0,5.0
Antonio Brown,WR,PIT,JAC,0,0,3,50,0,50,0,5.0
Mike Williams,WR,FA,NO,0,0,4,50,0,50,0,5.0
Mario Manningham,WR,FA,BUF,0,0,4,50,0,50,0,5.0
Legedu Naanee,WR,FA,@ATL,0,0,4,50,0,50,0,5.0
Aaron Hernandez,TE,FA,DAL,0,0,4,50,1,50,1,11.0
Mike Sims-Walker,WR,FA,@GB,0,0,4,50,0,50,0,5.0
Brandon Gibson,WR,NEP,@GB,0,0,3,50,0,50,0,5.0
Robert Meachem,WR,FA*,@TB,0,0,2,50,0,50,0,5.0
Mike Thomas,WR,FA,@PIT,0,0,3,50,0,50,0,5.0
Jabar Gaffney,WR,FA,PHI,0,0,3,50,0,50,0,5.0
Mohamed Massaquoi,WR,FA,@OAK,0,0,4,50,0,50,0,5.0
Plaxico Burress,WR,FA,MIA,0,0,3,50,1,50,1,11.0
Marques Colston,WR,NOS,@TB,0,0,4,50,1,50,1,11.0
Darrius Heyward-Bey,WR,PIT,CLE,0,0,3,50,0,50,0,5.0
Brandon Marshall,WR,NYJ,@NYJ,0,0,4,50,0,50,0,5.0
Jason Avant,WR,KCC,@WAS,0,0,3,50,0,50,0,5.0
Santana Moss,WR,FA,PHI,0,0,3,50,0,50,0,5.0
Naaman Roosevelt,WR,FA,@NYG,0,0,3,50,1,50,1,11.0
Danario Alexander,WR,FA,@GB,0,0,2,50,1,50,1,11.0
Harry Douglas,WR,TEN,CAR,0,0,3,40,0,40,0,4.0
Joel Dreessen,TE,FA,@BAL,0,0,3,40,0,40,0,4.0
Jerome Simpson,WR,SFO,IND,0,0,3,40,0,40,0,4.0
Ed Dickson,TE,CAR,HOU,0,0,4,40,0,40,0,4.0
Rob Gronkowski,TE,NEP,DAL,0,0,4,40,0,40,0,4.0
Brandon LaFell,WR,NEP,@ATL,0,0,3,40,1,40,1,10.0
Michael Jenkins,WR,FA,@CHI,0,0,3,40,1,40,1,10.0
James Jones,WR,FA,STL,0,0,2,40,0,40,0,4.0
Jason Hill,WR,FA,@PIT,0,0,3,40,0,40,0,4.0
Laurent Robinson,WR,FA,@NE,0,0,2,40,0,40,0,4.0
Austin Collie,WR,FA,@CIN,0,0,3,40,1,40,1,10.0
