RBI,SO,Player
30,51,J Reinheimer
2,12,J Vega-Rosado
41,44,J Sy
19,34,E Escalante
5,5,J Leblebijian
18,25,L Rymel
1,0,Z Osborne
4,18,D Arcila
5,29,R Kinsella
30,62,J Seager
12,19,L Kauppila
24,74,J Atkinson
16,17,K Bryant
14,22,C Brockmeyer
15,34,Y Gutierrez
0,3,C Moorman
23,39,D Lockhart
33,50,G Roberts
5,16,S Conner
10,16,D Palka
25,24,J Polonius
6,22,B Waldrip
23,25,R Jones
0,3,J Goree
37,46,J Castro
9,18,C Vazquez
16,36,J Jackson
18,23,A Triunfel
1,6,A San Juan
20,58,T Santos
35,47,L Dantzler
29,25,A Fermin
0,13,M Hitt
18,25,K Torres
3,2,M Peguero
3,16,W Castillo
3,10,S Valeriote
11,48,F Blanco
7,41,E Soto
1,4,B Hebert
16,30,J Marra
21,37,R McCurry
8,22,J Hankins
23,34,R Rodriguez
0,3,D Torres
3,14,G Nelson
9,23,J Dore
19,50,B Serrato
3,25,J Leonard
0,4,N Rosario
27,18,D Peterson
0,4,C Kreuter
4,8,M Del Castillo
25,36,M Reeves
22,34,J Leyland
