Age,dWAR,oRAR,Rbat,Salary,Acquired,Rrep,162WL%,Name
31,-0.0,-0,-5, ,Free Agency,0,.500,Jason Hammel
33,0.0,0,0,"$3,850,000",Free Agency,0,.500,Jose Veras
24,-0.2,30,8,"$5,000,000",Amateur Free Agent,18,.503,Starlin Castro
33,-0.0,0,0,"$4,500,000",Free Agency,0,.500,Kyuji Fujikawa*
26,0.0,-1,-1, ,Amateur Draft,0,.499,Rafael Lopez*
28,1.0,1,-9, ,Amateur Draft,7,.501,Darwin Barney
28,-0.0,3,-4,"$500,000",Traded,0,.502,Jake Arrieta
24,0.0,-1,-1, ,Amateur Draft,0,.500,Eric Jokisch
28,0.3,-1,-4, ,Free Agency,4,.498,Chris Valaika
26,0.0,0,-1, ,Traded,0,.500,Felix Doubront*
26,-0.0,0,0, ,Traded,0,.500,Zac Rosscup
26,-0.0,0,0,"$514,000",Rule 5 Draft,0,.500,Hector Rondon
30,0.3,-13,-20,"$5,000,000",Free Agency,11,.487,Nate Schierholtz*
30,-0.0,-2,-3,"$5,000,000",Free Agency,0,.499,Carlos Villanueva
25,0.0,0,-0, ,Amateur Draft,0,.500,Dallas Beeler
25,-0.0,0,-0,"$505,500",Traded,0,.500,Justin Grimm
24,-0.4,45,37,"$1,250,000",Traded,19,.522,Anthony Rizzo*
