Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Justin Verlander,DET,75,19,1,0,1,4,2,9,0,0,0.253,0.273,0.307,0.579
James Shields,SD,58,23,1,1,2,6,3,5,1,0,0.397,0.426,0.552,0.978
Justin Masterson,BOS,58,10,1,0,1,2,3,10,1,0,0.172,0.226,0.241,0.467
Max Scherzer,WAS,58,8,3,0,0,2,5,8,4,2,0.138,0.203,0.19,0.393
Jeremy Guthrie,KC,52,9,3,0,0,1,5,6,1,1,0.173,0.267,0.231,0.497
Rick Porcello,BOS,52,9,0,0,2,2,0,3,0,0,0.173,0.173,0.288,0.462
Nick Blackburn, ,43,15,2,0,0,1,4,2,0,1,0.349,0.417,0.395,0.812
Bruce Chen, ,42,10,1,0,1,2,3,4,0,2,0.238,0.304,0.333,0.638
David Price,TOR,40,9,3,0,0,1,2,4,2,0,0.225,0.262,0.3,0.562
Jon Lester,CHI-N,38,9,3,0,0,4,2,8,1,0,0.237,0.275,0.316,0.591
Corey Kluber,CLE,37,7,3,0,0,1,0,6,0,0,0.189,0.189,0.27,0.459
Carl Pavano, ,35,10,3,0,1,3,1,2,1,1,0.286,0.306,0.457,0.763
Ubaldo Jimenez,BAL,34,8,0,1,0,5,1,6,1,0,0.235,0.257,0.294,0.551
Phil Hughes,MIN,32,9,2,0,1,4,1,2,0,0,0.281,0.303,0.438,0.741
Glen Perkins,MIN,32,9,4,0,1,5,1,3,1,0,0.281,0.303,0.5,0.803
Francisco Liriano,PIT,31,13,2,0,0,5,1,4,1,1,0.419,0.424,0.484,0.908
CC Sabathia,NY-A,30,11,1,0,1,3,1,1,0,0,0.367,0.387,0.5,0.887
Felix Hernandez,SEA,30,8,2,0,0,2,0,6,0,0,0.267,0.267,0.333,0.6
Luke Hochevar,KC,29,10,1,1,1,3,5,2,0,0,0.345,0.441,0.552,0.993
Zack Greinke,LA,29,6,1,0,1,2,0,5,0,0,0.207,0.2,0.345,0.545
Scott Feldman,HOU,28,5,0,0,1,3,2,4,0,0,0.179,0.233,0.286,0.519
Ervin Santana,MIN,27,8,0,0,1,2,1,2,0,0,0.296,0.321,0.407,0.729
Roberto Hernandez,HOU,27,6,1,0,1,5,0,6,0,0,0.222,0.3,0.37,0.67
Brian Duensing,MIN,26,8,1,0,1,1,1,2,0,0,0.308,0.333,0.462,0.795
Carlos Carrasco,CLE,25,7,2,0,1,2,2,4,2,0,0.28,0.333,0.48,0.813
Colby Lewis,TEX,25,6,2,0,0,1,0,5,0,0,0.24,0.24,0.32,0.56
Wade Davis,KC,25,5,0,0,1,3,3,1,0,1,0.2,0.286,0.32,0.606
Trevor Cahill,LA,24,9,1,1,2,9,1,3,0,0,0.375,0.4,0.75,1.15
Hiroki Kuroda, ,24,9,2,1,2,9,0,1,0,1,0.375,0.375,0.792,1.167
Zach McAllister,CLE,24,4,1,0,0,2,3,4,0,2,0.167,0.286,0.208,0.494
Brian Bannister, ,23,9,1,0,1,10,4,2,0,0,0.391,0.448,0.565,1.013
Jered Weaver,ANA,23,7,2,0,0,0,0,6,1,0,0.304,0.333,0.391,0.725
Joe Saunders,SEA,23,6,0,0,0,2,1,0,0,1,0.261,0.292,0.261,0.553
Scott Diamond,TB,23,4,1,0,0,2,1,4,0,0,0.174,0.208,0.217,0.426
Anibal Sanchez,DET,23,4,2,0,0,1,2,1,1,0,0.174,0.24,0.261,0.501
Scott Kazmir,HOU,22,8,2,1,1,6,2,3,0,0,0.364,0.417,0.682,1.098
Doug Fister,WAS,22,7,2,0,0,3,1,0,0,0,0.318,0.348,0.409,0.757
Jason Vargas,KC,21,9,0,0,3,8,0,2,1,0,0.429,0.429,0.857,1.286
C.J. Wilson,ANA,21,7,1,0,0,3,0,1,0,1,0.333,0.333,0.381,0.714
Luis Mendoza, ,21,6,2,0,1,2,0,6,0,1,0.286,0.318,0.524,0.842
Anthony Swarzak, ,21,6,3,0,1,4,0,2,0,1,0.286,0.286,0.571,0.857
Edwin Jackson, ,21,0,0,0,0,1,1,3,0,0,0.0,0.045,0.0,0.045
Ryan Dempster, ,20,7,0,0,1,2,0,1,1,1,0.35,0.35,0.5,0.85
Gil Meche, ,20,6,0,1,1,2,0,4,0,0,0.3,0.3,0.55,0.85
Scott Baker,LA,20,3,1,0,0,2,1,4,0,0,0.15,0.182,0.2,0.382
Kevin Correia,PHI,19,6,1,0,1,3,2,1,0,0,0.316,0.381,0.526,0.907
Kyle Davies,NY-A,19,5,0,0,1,4,0,2,0,0,0.263,0.25,0.421,0.671
Mike Pelfrey,MIN,19,5,2,0,0,2,1,3,0,0,0.263,0.318,0.368,0.687
Josh Beckett, ,19,4,1,0,0,2,0,4,0,0,0.211,0.211,0.263,0.474
Clay Buchholz,BOS,19,4,0,0,1,3,2,5,0,1,0.211,0.273,0.368,0.641
Kevin Slowey, ,17,7,3,0,0,4,0,2,0,0,0.412,0.412,0.588,1.0
Aaron Laffey,COL,17,6,1,0,0,1,0,1,0,0,0.353,0.353,0.412,0.765
Kelvin Herrera,KC,17,5,1,0,1,1,0,2,0,0,0.294,0.294,0.529,0.824
Kevin Millwood, ,17,5,1,0,0,1,0,1,2,0,0.294,0.294,0.353,0.647
Greg Holland,KC,17,4,0,0,0,1,1,5,0,0,0.235,0.278,0.235,0.513
Jeremy Sowers, ,17,4,1,0,1,3,0,2,1,1,0.235,0.235,0.471,0.706
Joe Smith,ANA,17,3,1,0,0,1,0,2,1,1,0.176,0.176,0.235,0.412
Ricky Romero,SF,17,2,0,0,0,0,0,6,1,0,0.118,0.118,0.118,0.235
Danny Salazar,CLE,16,9,2,0,1,3,0,1,1,0,0.563,0.563,0.875,1.438
Brad Penny,CHI-A,16,5,1,0,1,5,1,0,0,1,0.313,0.353,0.563,0.915
Jeremy Bonderman, ,16,4,0,0,1,1,1,4,0,0,0.25,0.294,0.438,0.732
Danny Duffy,KC,16,4,0,0,0,1,1,2,1,0,0.25,0.294,0.25,0.544
Casey Fien,MIN,16,3,0,0,0,3,2,2,0,0,0.188,0.263,0.188,0.451
Tommy Milone,MIN,16,2,0,0,0,0,2,1,0,0,0.125,0.222,0.125,0.347
Brett Anderson,LA,15,4,0,0,0,0,0,2,1,0,0.267,0.267,0.267,0.533
Matt Harrison,PHI,15,4,1,0,0,2,0,2,0,0,0.267,0.267,0.333,0.6
Joakim Soria,PIT,15,4,1,0,0,3,1,2,0,0,0.267,0.313,0.333,0.646
Jeff Samardzija,CHI-A,15,3,1,0,0,0,0,4,0,0,0.2,0.2,0.267,0.467
Bartolo Colon,NY-N,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ricky Nolasco,MIN,14,8,2,0,1,6,0,0,0,1,0.571,0.571,0.929,1.5
Wei-Yin Chen,BAL,14,5,3,0,0,0,0,1,0,0,0.357,0.357,0.571,0.929
Matt Garza,MIL,14,4,2,0,0,0,0,3,0,0,0.286,0.286,0.429,0.714
Dan Haren,CHI-N,14,4,1,0,0,1,0,2,0,0,0.286,0.286,0.357,0.643
Ivan Nova,NY-A,14,3,1,0,0,0,0,3,0,1,0.214,0.214,0.286,0.5
Chris Perez,BAL,14,3,1,0,0,2,1,0,0,0,0.214,0.313,0.286,0.598
Tim Wakefield, ,14,2,0,0,0,1,1,2,3,0,0.143,0.2,0.143,0.343
Jake Arrieta,CHI-N,13,5,0,0,0,1,0,2,0,1,0.385,0.385,0.385,0.769
Jared Burton, ,13,5,1,0,0,2,0,0,0,0,0.385,0.429,0.462,0.89
R.A. Dickey,TOR,13,5,1,0,2,5,2,0,0,0,0.385,0.467,0.923,1.39
David Huff,LA,13,5,0,0,2,5,2,2,0,0,0.385,0.467,0.846,1.313
Trevor Bauer,CLE,13,4,0,0,1,4,0,5,0,0,0.308,0.308,0.538,0.846
Bryan Shaw,CLE,13,4,1,0,0,3,0,2,0,0,0.308,0.308,0.385,0.692
Mitch Talbot, ,13,4,1,0,0,0,0,1,0,0,0.308,0.308,0.385,0.692
Jake Westbrook, ,13,4,1,0,0,1,0,0,1,0,0.308,0.308,0.385,0.692
Felix Doubront,OAK,13,3,0,0,0,0,1,1,0,0,0.231,0.286,0.231,0.516
Kyle Gibson,MIN,13,3,1,0,1,3,0,1,0,0,0.231,0.231,0.538,0.769
Gio Gonzalez,WAS,13,3,0,0,0,1,3,1,1,0,0.231,0.375,0.231,0.606
Dallas Keuchel,HOU,13,3,0,0,0,1,0,1,0,0,0.231,0.214,0.231,0.445
Armando Galarraga, ,13,2,0,0,0,1,1,1,0,0,0.154,0.2,0.154,0.354
John Lackey,STL,13,2,1,0,0,0,2,2,0,0,0.154,0.267,0.231,0.497
Alexi Ogando,BOS,13,2,0,0,1,3,0,1,1,0,0.154,0.154,0.385,0.538
Mark Buehrle,TOR,12,6,2,0,0,0,0,0,0,0,0.5,0.5,0.667,1.167
Liam Hendriks,TOR,12,6,0,1,1,4,1,1,0,1,0.5,0.5,0.917,1.417
Tommy Hunter,CHI-N,12,6,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0
Jeanmar Gomez,PHI,12,5,0,0,0,2,0,1,0,0,0.417,0.417,0.417,0.833
Jason Hammel,CHI-N,12,5,1,0,1,2,1,0,0,1,0.417,0.462,0.75,1.212
Jeremy Hellickson,AZ,12,5,1,0,0,2,0,1,0,0,0.417,0.417,0.5,0.917
Al Alburquerque,DET,12,4,0,0,0,0,2,2,0,0,0.333,0.429,0.333,0.762
Matt Guerrier,MIN,12,4,0,1,0,1,0,1,0,0,0.333,0.333,0.5,0.833
Eddie Bonine, ,12,3,0,0,1,1,1,4,0,1,0.25,0.308,0.5,0.808
Dallas Braden, ,12,3,0,0,0,0,0,3,0,0,0.25,0.25,0.25,0.5
Trevor May,MIN,12,3,2,0,0,1,0,1,0,0,0.25,0.25,0.417,0.667
Fernando Rodney,SEA,12,3,0,0,0,0,1,1,1,0,0.25,0.308,0.25,0.558
Robinson Tejeda, ,12,3,0,0,0,1,0,4,0,0,0.25,0.25,0.25,0.5
Jeff Niemann, ,12,2,0,0,0,0,0,3,1,1,0.167,0.167,0.167,0.333
